Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,No. of Valid Votes Casted,No. of Registered Electors,Select Constituency,District,Constituency Type,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No. of Terms Held by Winner,Turncoat,No. of Turncoat Candidates,% of Candidates Turncoat,Incumbent,Recontest,No. of Recontesting Candidates,% of Candidates Recontesting,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
16,9,2014,4,0,4,1,KRUPAL BALAJI TUMANE,M,SHS,519892,SC,1050316,1677266,Ramtek (SC),Nagpur,SC,,23,62.62,49.5,no,175791,16.74,2.7,GEMH80044,State-based Party,18691,True,2,SHS,18691,RAMTEK,1,1,1,False,0,0,False,True,2,8.69565217391304,Graduate,Business,,,,
16,10,2014,4,0,4,1,GADKARI NITIN JAIRAM,M,BJP,587767,GEN,1085038,1900784,Nagpur,Nagpur,GEN,,33,57.08,54.17,no,284848,26.25,2.63,GEMH15523,National Party,1605,True,1,,,,,,1,False,0,0,False,False,3,9.09090909090909,Graduate Professional,Agriculture,,,,
16,11,2014,4,0,4,1,NANABHAU FALGUNRAO PATOLE,M,BJP,606129,GEN,1197196,1655852,Bhandara - Gondiya,Bhandara,GEN,,26,72.3,50.63,no,149254,12.47,2.44,GEMH6978,National Party,1605,False,2,IND,10809,BHANDARA - GONDIYA,1,0,1,False,0,0,False,True,3,11.5384615384615,Graduate,Agriculture,,,,
16,11,2014,4,0,4,1,NANABHAU FALGUNRAO PATOLE,M,BJP,606129,GEN,1197196,1655852,Bhandara - Gondiya,Gondia,GEN,,26,72.3,50.63,no,149254,12.47,2.44,GEMH6978,National Party,1605,False,2,IND,10809,BHANDARA - GONDIYA,1,0,1,False,0,0,False,True,3,11.5384615384615,Graduate,Agriculture,,,,
16,12,2014,4,0,4,1,ASHOK MAHADEORAO NETE,M,BJP,535982,ST,1027129,1468437,Gadchiroli-Chimur (ST),Chandrapur,ST,,11,69.95,52.18,no,236870,23.06,2.86,AEMH95744,National Party,1605,True,2,BJP,1605,GADCHIROLI-CHIMUR,1,1,1,False,1,9.09090909090909,False,True,3,27.2727272727273,12th Pass,Business,Real Estate or Builder or Developer or Construction,Small Business or Self-employed,,
16,12,2014,4,0,4,1,ASHOK MAHADEORAO NETE,M,BJP,535982,ST,1027129,1468437,Gadchiroli-Chimur (ST),Gadchiroli,ST,,11,69.95,52.18,no,236870,23.06,2.86,AEMH95744,National Party,1605,True,2,BJP,1605,GADCHIROLI-CHIMUR,1,1,1,False,1,9.09090909090909,False,True,3,27.2727272727273,12th Pass,Business,Real Estate or Builder or Developer or Construction,Small Business or Self-employed,,
16,12,2014,4,0,4,1,ASHOK MAHADEORAO NETE,M,BJP,535982,ST,1027129,1468437,Gadchiroli-Chimur (ST),Gondia,ST,,11,69.95,52.18,no,236870,23.06,2.86,AEMH95744,National Party,1605,True,2,BJP,1605,GADCHIROLI-CHIMUR,1,1,1,False,1,9.09090909090909,False,True,3,27.2727272727273,12th Pass,Business,Real Estate or Builder or Developer or Construction,Small Business or Self-employed,,
16,13,2014,4,0,4,1,AHIR HANSRAJ GANGARAM,M,BJP,508049,GEN,1109743,1753690,Chandrapur,Chandrapur,GEN,,18,63.28,45.78,no,236269,21.29,3.33,GEMH57616,National Party,1605,True,6,BJP,1605,CHANDRAPUR,1,1,4,False,1,5.55555555555556,True,True,4,22.2222222222222,10th Pass,Agriculture,,,,
16,13,2014,4,0,4,1,AHIR HANSRAJ GANGARAM,M,BJP,508049,GEN,1109743,1753690,Chandrapur,Yavatmal,GEN,,18,63.28,45.78,no,236269,21.29,3.33,GEMH57616,National Party,1605,True,6,BJP,1605,CHANDRAPUR,1,1,4,False,1,5.55555555555556,True,True,4,22.2222222222222,10th Pass,Agriculture,,,,
16,14,2014,4,0,4,1,GAWALI BHAVANA PUNDLIKRAO,F,SHS,477905,GEN,1032949,1755292,Yavatmal-Washim,Washim,GEN,,26,58.85,46.27,no,93816,9.08,2.86,GEMH70645,State-based Party,18691,True,4,SHS,18691,YAVATMAL-WASHIM,1,1,4,False,1,3.84615384615385,True,True,2,7.69230769230769,Graduate,Other,,,,
