Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,43,2019,4,0,4,10,NOTA,,NOTA,3666,,1216319,1909574,Madha,Solapur,GEN,,31,63.7,0.3,,444,0.04,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,44,2019,4,0,4,5,NOTA,,NOTA,6585,,1189958,1809109,Sangli,Sangli,GEN,,12,65.78,0.55,,1109,0.09,3.12,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,45,2019,4,0,4,4,NOTA,,NOTA,9227,,1115434,1848489,Satara,Satara,GEN,,9,60.34,0.83,,634,0.06,2.33,,NOTA,5897,False,,,,,,,,,,,,,,,,
17,46,2019,4,0,4,6,NOTA,,NOTA,13777,,901102,1455577,Ratnagiri - Sindhudurg,Ratnagiri,GEN,,12,61.91,1.53,,4212,0.47,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,46,2019,4,0,4,6,NOTA,,NOTA,13777,,901102,1455577,Ratnagiri - Sindhudurg,Sindhudurg,GEN,,12,61.91,1.53,,4212,0.47,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,47,2019,4,0,4,4,NOTA,,NOTA,8691,,1330852,1880496,Kolhapur,Kolhapur,GEN,,15,70.77,0.65,,2736,0.21,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,48,2019,4,0,4,6,NOTA,,NOTA,7108,,1252211,1776555,Hatkanangle,Kolhapur,GEN,,17,70.49,0.57,,1134,0.09,2.63,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,48,2019,4,0,4,6,NOTA,,NOTA,7108,,1252211,1776555,Hatkanangle,Sangli,GEN,,17,70.49,0.57,,1134,0.09,2.63,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,1,2014,4,0,4,3,None of the Above,NOTA,NOTA,21178,,1116676,1672943,Nandurbar (ST),Dhule,ST,,9,66.75,1.9,,9045,0.81,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,1,2014,4,0,4,3,None of the Above,NOTA,NOTA,21178,,1116676,1672943,Nandurbar (ST),Nandurbar,ST,,9,66.75,1.9,,9045,0.81,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,2,2014,4,0,4,8,None of the Above,NOTA,NOTA,2503,,983083,1675367,Dhule,Dhule,GEN,,19,58.68,0.25,,412,0.04,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,2,2014,4,0,4,8,None of the Above,NOTA,NOTA,2503,,983083,1675367,Dhule,Nashik,GEN,,19,58.68,0.25,,412,0.04,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,3,2014,4,0,4,10,None of the Above,NOTA,NOTA,3268,,990332,1707969,Jalgaon,Jalgaon,GEN,,20,57.98,0.33,,56,0.01,2,,NOTA,5897,True,,,,,,,,,,,,,,,,
