District,Year,Select Contraceptive,Number
Ratnagiri,2017,Emergency Pills,634
Ratnagiri,2017,Centchroman (Weekly Pills),1904
Ratnagiri,2017,Condom Pieces,658523
Sangli,2017,Oral Pills,142281
Sangli,2017,Emergency Pills,0
Sangli,2017,Centchroman (Weekly Pills),0
Sangli,2017,Condom Pieces,682355
Satara,2017,Oral Pills,182362
Satara,2017,Emergency Pills,2183
Satara,2017,Centchroman (Weekly Pills),0
Satara,2017,Condom Pieces,1367125
Sindhudurg,2017,Oral Pills,44501
Sindhudurg,2017,Emergency Pills,48
Sindhudurg,2017,Centchroman (Weekly Pills),0
Sindhudurg,2017,Condom Pieces,431244
Solapur,2017,Oral Pills,147768
Solapur,2017,Emergency Pills,1097
Solapur,2017,Centchroman (Weekly Pills),3703
Solapur,2017,Condom Pieces,345213
Thane,2017,Oral Pills,115921
Thane,2017,Emergency Pills,1822
Thane,2017,Centchroman (Weekly Pills),3140
Thane,2017,Condom Pieces,1087093
Wardha,2017,Oral Pills,50946
Wardha,2017,Emergency Pills,990
Wardha,2017,Centchroman (Weekly Pills),5513
Wardha,2017,Condom Pieces,566782
Washim,2017,Oral Pills,44107
Washim,2017,Emergency Pills,361
Washim,2017,Centchroman (Weekly Pills),860
Washim,2017,Condom Pieces,225324
Yavatmal,2017,Oral Pills,27092
Yavatmal,2017,Emergency Pills,460
Yavatmal,2017,Centchroman (Weekly Pills),158
Yavatmal,2017,Condom Pieces,76337
Ahilyanagar,2016,Oral Pills,197031
Ahilyanagar,2016,Centchroman (Weekly Pills),0
Ahilyanagar,2016,Condom Pieces,568889
Akola,2016,Oral Pills,42922
Akola,2016,Centchroman (Weekly Pills),0
Akola,2016,Condom Pieces,118807
Amravati,2016,Oral Pills,25906
Amravati,2016,Centchroman (Weekly Pills),0
Amravati,2016,Condom Pieces,166433
Beed,2016,Oral Pills,110764
Beed,2016,Centchroman (Weekly Pills),0
Beed,2016,Condom Pieces,305980
Bhandara,2016,Oral Pills,30126
Bhandara,2016,Centchroman (Weekly Pills),0
Bhandara,2016,Condom Pieces,166956
Buldhana,2016,Oral Pills,55815
Buldhana,2016,Centchroman (Weekly Pills),0
Buldhana,2016,Condom Pieces,336222
Chandrapur,2016,Oral Pills,45316
Chandrapur,2016,Centchroman (Weekly Pills),0
Chandrapur,2016,Condom Pieces,239533
Chh. Sambhaji Nagar,2016,Oral Pills,75277
Chh. Sambhaji Nagar,2016,Centchroman (Weekly Pills),0
Chh. Sambhaji Nagar,2016,Condom Pieces,530286
Dharashiv,2016,Oral Pills,41343
Dharashiv,2016,Centchroman (Weekly Pills),0
Dharashiv,2016,Condom Pieces,148307
Dhule,2016,Oral Pills,71266
Dhule,2016,Centchroman (Weekly Pills),0
Dhule,2016,Condom Pieces,175543
Gadchiroli,2016,Oral Pills,20367
Gadchiroli,2016,Centchroman (Weekly Pills),0
Gadchiroli,2016,Condom Pieces,199599
Gondia,2016,Oral Pills,18881
Gondia,2016,Centchroman (Weekly Pills),0
Gondia,2016,Condom Pieces,163749
Hingoli,2016,Oral Pills,25799
Hingoli,2016,Centchroman (Weekly Pills),0
Hingoli,2016,Condom Pieces,215943
Jalgaon,2016,Oral Pills,108155
Jalgaon,2016,Centchroman (Weekly Pills),0
Jalgaon,2016,Condom Pieces,244363
Jalna,2016,Oral Pills,15330
Jalna,2016,Centchroman (Weekly Pills),0
Jalna,2016,Condom Pieces,165385
Kolhapur,2016,Oral Pills,324895
Kolhapur,2016,Centchroman (Weekly Pills),0
Kolhapur,2016,Condom Pieces,523104
Latur,2016,Oral Pills,70569
Latur,2016,Centchroman (Weekly Pills),0
Latur,2016,Condom Pieces,343695
Mumbai,2016,Oral Pills,335958
Mumbai,2016,Condom Pieces,5454081
Nagpur,2016,Oral Pills,33157
Nagpur,2016,Centchroman (Weekly Pills),0
Nagpur,2016,Condom Pieces,304615
Nanded,2016,Oral Pills,85475
Nanded,2016,Centchroman (Weekly Pills),0
Nanded,2016,Condom Pieces,306902
Nandurbar,2016,Oral Pills,43889
Nandurbar,2016,Centchroman (Weekly Pills),0
Nandurbar,2016,Condom Pieces,137960
Nashik,2016,Oral Pills,129191
Nashik,2016,Centchroman (Weekly Pills),0
Nashik,2016,Condom Pieces,453962
Palghar,2016,Oral Pills,71232
Palghar,2016,Centchroman (Weekly Pills),0
Palghar,2016,Condom Pieces,335908
Parbhani,2016,Oral Pills,37007
Parbhani,2016,Centchroman (Weekly Pills),0
Parbhani,2016,Condom Pieces,223957
Pune,2016,Oral Pills,212453
Pune,2016,Centchroman (Weekly Pills),0
Pune,2016,Condom Pieces,1114333
Raigad,2016,Oral Pills,50257
Raigad,2016,Centchroman (Weekly Pills),0
Raigad,2016,Condom Pieces,133997
Ratnagiri,2016,Oral Pills,91938
Ratnagiri,2016,Centchroman (Weekly Pills),0
Ratnagiri,2016,Condom Pieces,501952
Sangli,2016,Oral Pills,146207
Sangli,2016,Centchroman (Weekly Pills),0
Sangli,2016,Condom Pieces,600569
Satara,2016,Oral Pills,176917
Satara,2016,Centchroman (Weekly Pills),0
Satara,2016,Condom Pieces,728570
Sindhudurg,2016,Oral Pills,40688
Sindhudurg,2016,Centchroman (Weekly Pills),0
Sindhudurg,2016,Condom Pieces,254006
Solapur,2016,Oral Pills,140151
Solapur,2016,Centchroman (Weekly Pills),0
Solapur,2016,Condom Pieces,266529
Thane,2016,Oral Pills,138859
Thane,2016,Centchroman (Weekly Pills),0
Thane,2016,Condom Pieces,774162
Wardha,2016,Oral Pills,48452
Wardha,2016,Centchroman (Weekly Pills),0
Wardha,2016,Condom Pieces,666253
Washim,2016,Oral Pills,43024
Washim,2016,Centchroman (Weekly Pills),0
Washim,2016,Condom Pieces,167082
Yavatmal,2016,Oral Pills,28686
Yavatmal,2016,Centchroman (Weekly Pills),0
Yavatmal,2016,Condom Pieces,39021
Ahilyanagar,2015,Oral Pills,186812
Ahilyanagar,2015,Centchroman (Weekly Pills),5
Ahilyanagar,2015,Condom Pieces,552181
Akola,2015,Oral Pills,45855
Akola,2015,Centchroman (Weekly Pills),0
Akola,2015,Condom Pieces,149641
Amravati,2015,Oral Pills,33328
Amravati,2015,Centchroman (Weekly Pills),156
Amravati,2015,Condom Pieces,211377
Beed,2015,Oral Pills,106186
Beed,2015,Centchroman (Weekly Pills),0
Beed,2015,Condom Pieces,313330
Bhandara,2015,Oral Pills,28275
Bhandara,2015,Centchroman (Weekly Pills),48
Bhandara,2015,Condom Pieces,186173
Buldhana,2015,Oral Pills,55378
Buldhana,2015,Centchroman (Weekly Pills),159
Buldhana,2015,Condom Pieces,382892
Chandrapur,2015,Oral Pills,35765
Chandrapur,2015,Centchroman (Weekly Pills),35
Chandrapur,2015,Condom Pieces,254806
Chh. Sambhaji Nagar,2015,Oral Pills,63333
Chh. Sambhaji Nagar,2015,Centchroman (Weekly Pills),0
Chh. Sambhaji Nagar,2015,Condom Pieces,838082
Dharashiv,2015,Oral Pills,37381
Dharashiv,2015,Centchroman (Weekly Pills),132
Dharashiv,2015,Condom Pieces,163076
Dhule,2015,Oral Pills,70617
Dhule,2015,Centchroman (Weekly Pills),0
Dhule,2015,Condom Pieces,248782
Gadchiroli,2015,Oral Pills,20896
Gadchiroli,2015,Centchroman (Weekly Pills),75
Gadchiroli,2015,Condom Pieces,219187
Gondia,2015,Oral Pills,22393
Gondia,2015,Centchroman (Weekly Pills),11
Gondia,2015,Condom Pieces,189400
Hingoli,2015,Oral Pills,24581
Hingoli,2015,Centchroman (Weekly Pills),0
Hingoli,2015,Condom Pieces,298537
Jalgaon,2015,Oral Pills,107220
Jalgaon,2015,Centchroman (Weekly Pills),0
Jalgaon,2015,Condom Pieces,373837
Jalna,2015,Oral Pills,20167
Jalna,2015,Centchroman (Weekly Pills),0
Jalna,2015,Condom Pieces,157426
Kolhapur,2015,Oral Pills,288550
Kolhapur,2015,Centchroman (Weekly Pills),0
Kolhapur,2015,Condom Pieces,566511
Latur,2015,Oral Pills,70779
Latur,2015,Centchroman (Weekly Pills),20
Latur,2015,Condom Pieces,388017
Mumbai,2015,Oral Pills,222437
Mumbai,2015,Centchroman (Weekly Pills),2367
Mumbai,2015,Condom Pieces,5458165
Nagpur,2015,Oral Pills,28747
Nagpur,2015,Centchroman (Weekly Pills),46
Nagpur,2015,Condom Pieces,439438
Nanded,2015,Oral Pills,88813
Nanded,2015,Centchroman (Weekly Pills),0
Nanded,2015,Condom Pieces,387482
Nandurbar,2015,Oral Pills,42298
Nandurbar,2015,Centchroman (Weekly Pills),0
Nandurbar,2015,Condom Pieces,187890
Nashik,2015,Oral Pills,119411
Nashik,2015,Centchroman (Weekly Pills),166
Nashik,2015,Condom Pieces,445778
Palghar,2015,Oral Pills,70162
Palghar,2015,Centchroman (Weekly Pills),211
Palghar,2015,Condom Pieces,329452
Parbhani,2015,Oral Pills,37438
Parbhani,2015,Centchroman (Weekly Pills),30
Parbhani,2015,Condom Pieces,242145
Pune,2015,Oral Pills,197139
Pune,2015,Centchroman (Weekly Pills),248
Pune,2015,Condom Pieces,1437397
Raigad,2015,Oral Pills,43911
Raigad,2015,Centchroman (Weekly Pills),378
Raigad,2015,Condom Pieces,126836
Ratnagiri,2015,Oral Pills,87975
Ratnagiri,2015,Centchroman (Weekly Pills),0
Ratnagiri,2015,Condom Pieces,495938
Sangli,2015,Oral Pills,113843
Sangli,2015,Centchroman (Weekly Pills),0
Sangli,2015,Condom Pieces,491662
Satara,2015,Oral Pills,156382
Satara,2015,Centchroman (Weekly Pills),0
Satara,2015,Condom Pieces,680856
Sindhudurg,2015,Oral Pills,45684
Sindhudurg,2015,Centchroman (Weekly Pills),0
Sindhudurg,2015,Condom Pieces,332399
Solapur,2015,Oral Pills,129729
Solapur,2015,Centchroman (Weekly Pills),65
Solapur,2015,Condom Pieces,289572
Thane,2015,Oral Pills,134109
Thane,2015,Centchroman (Weekly Pills),0
Thane,2015,Condom Pieces,1047042
Wardha,2015,Oral Pills,47221
Wardha,2015,Centchroman (Weekly Pills),104
Wardha,2015,Condom Pieces,649432
Washim,2015,Oral Pills,41437
Washim,2015,Centchroman (Weekly Pills),5
Washim,2015,Condom Pieces,175038
Yavatmal,2015,Oral Pills,33358
Yavatmal,2015,Centchroman (Weekly Pills),108
Yavatmal,2015,Condom Pieces,68913
Ahilyanagar,2014,Oral Pills,196328
Ahilyanagar,2014,Centchroman (Weekly Pills),0
Ahilyanagar,2014,Condom Pieces,691875
Akola,2014,Oral Pills,37267
Akola,2014,Centchroman (Weekly Pills),0
Akola,2014,Condom Pieces,134481
