District,Year,Taluka,Type,Male,Female,Children
Beed,2017,Cage,Outpatient,3843300,6061300,2479500
Beed,2017,Dharur,Outpatient,952400,1347300,750000
Beed,2017,Parli,Outpatient,5063100,5029600,4232300
Beed,2017,Ambajogai,Outpatient,1650100,1800400,962000
Beed,2018,Ashti,Outpatient,,,
Beed,2018,Patoda,Outpatient,,,
Beed,2018,Shirur Kasar,Outpatient,,,
Beed,2018,Gevrai,Outpatient,,,
Beed,2018,Majalgaon,Outpatient,,,
Beed,2018,Wadwani,Outpatient,,,
Beed,2018,Beed,Outpatient,,,
Beed,2018,Cage,Outpatient,,,
Beed,2018,Dharur,Outpatient,,,
Beed,2018,Parli,Outpatient,,,
Beed,2018,Ambajogai,Outpatient,,,
Beed,2019,Ashti,Outpatient,,,
Beed,2019,Patoda,Outpatient,,,
Beed,2019,Shirur Kasar,Outpatient,,,
Beed,2019,Gevrai,Outpatient,,,
Beed,2019,Majalgaon,Outpatient,,,
Beed,2019,Wadwani,Outpatient,,,
Beed,2019,Beed,Outpatient,,,
Beed,2019,Cage,Outpatient,,,
Beed,2019,Dharur,Outpatient,,,
Beed,2019,Parli,Outpatient,,,
Beed,2019,Ambajogai,Outpatient,,,
Beed,2020,Ashti,Outpatient,,,
Beed,2020,Patoda,Outpatient,,,
Beed,2020,Shirur Kasar,Outpatient,,,
Beed,2020,Gevrai,Outpatient,,,
Beed,2020,Majalgaon,Outpatient,,,
Beed,2020,Wadwani,Outpatient,,,
Beed,2020,Beed,Outpatient,,,
Beed,2020,Cage,Outpatient,,,
Beed,2020,Dharur,Outpatient,,,
Beed,2020,Parli,Outpatient,,,
Beed,2020,Ambajogai,Outpatient,,,
Beed,2021,Ashti,Outpatient,29700,49500,19700
Beed,2021,Patoda,Outpatient,29100,48200,19300
Beed,2021,Shirur Kasar,Outpatient,37200,62100,24700
Beed,2021,Gevrai,Outpatient,74400,123300,49300
Beed,2021,Majalgaon,Outpatient,65300,108300,43300
Beed,2021,Wadwani,Outpatient,26200,43600,17400
Beed,2021,Beed,Outpatient,157800,263200,105100
Beed,2021,Cage,Outpatient,80500,133200,53300
Beed,2021,Dharur,Outpatient,41900,69100,27600
Beed,2021,Parli,Outpatient,74100,124200,49400
Beed,2021,Ambajogai,Outpatient,115600,166400,66500
Bhandara,2012,Tumsar,Outpatient,79400,65600,67700
Bhandara,2012,Mohadi,Outpatient,38200,50400,39200
Bhandara,2012,Bhandara,Outpatient,93500,102300,50800
Bhandara,2012,Sakoli,Outpatient,40700,40900,37300
Bhandara,2012,Lakhani,Outpatient,42300,49100,39000
Bhandara,2012,Pavani,Outpatient,46500,54000,33300
Bhandara,2012,Lakhandur,Outpatient,35500,40700,36500
Bhandara,2013,Tumsar,Outpatient,78700,85200,44300
Bhandara,2013,Mohadi,Outpatient,30500,39200,28700
Bhandara,2013,Bhandara,Outpatient,89300,93400,54400
Bhandara,2013,Sakoli,Outpatient,27300,28300,23600
Bhandara,2013,Lakhani,Outpatient,28600,32000,27300
Bhandara,2013,Pavani,Outpatient,34500,40200,23800
Bhandara,2013,Lakhandur,Outpatient,26700,23800,30000
Bhandara,2014,Tumsar,Outpatient,108900,119300,55200
Bhandara,2014,Mohadi,Outpatient,33800,42800,39500
Bhandara,2014,Bhandara,Outpatient,115800,126200,65100
Bhandara,2014,Sakoli,Outpatient,30700,31900,29700
Bhandara,2014,Lakhani,Outpatient,28500,36000,31200
Bhandara,2014,Pavani,Outpatient,43700,58700,28600
Bhandara,2014,Lakhandur,Outpatient,29500,33000,28700
Bhandara,2015,Tumsar,Outpatient,150600,149800,70700
Bhandara,2015,Mohadi,Outpatient,34100,31500,33800
Bhandara,2015,Bhandara,Outpatient,167500,177700,77000
Bhandara,2015,Sakoli,Outpatient,25900,29100,16200
Bhandara,2015,Lakhani,Outpatient,23400,47000,33300
Bhandara,2015,Pavani,Outpatient,35400,49700,11600
Bhandara,2015,Lakhandur,Outpatient,20400,24400,34100
Bhandara,2016,Tumsar,Outpatient,61100,72200,52200
Bhandara,2016,Mohadi,Outpatient,46200,53300,48600
Bhandara,2016,Bhandara,Outpatient,48900,79400,60100
Bhandara,2016,Sakoli,Outpatient,66600,70200,55500
Bhandara,2016,Lakhani,Outpatient,90100,92000,48200
Bhandara,2016,Pavani,Outpatient,58200,70100,41900
Bhandara,2016,Lakhandur,Outpatient,50400,55500,53900
Bhandara,2017,Tumsar,Outpatient,291600,309000,120100
Bhandara,2017,Mohadi,Outpatient,74100,89300,32700
Bhandara,2017,Bhandara,Outpatient,131900,140800,54700
Bhandara,2017,Sakoli,Outpatient,67500,78800,29300
Bhandara,2017,Lakhani,Outpatient,86700,96300,36600
Bhandara,2017,Pavani,Outpatient,76600,97800,34900
Bhandara,2017,Lakhandur,Outpatient,57300,62100,23800
Bhandara,2018,Tumsar,Outpatient,112500,199500,57900
Bhandara,2018,Mohadi,Outpatient,56500,122800,30500
Bhandara,2018,Bhandara,Outpatient,95600,158400,88700
Bhandara,2018,Sakoli,Outpatient,36600,110200,42300
Bhandara,2018,Lakhani,Outpatient,53900,108300,40100
Bhandara,2018,Pavani,Outpatient,43300,130800,32500
Bhandara,2018,Lakhandur,Outpatient,36900,83000,22800
Bhandara,2019,Tumsar,Outpatient,103800,116300,43900
Bhandara,2019,Mohadi,Outpatient,34800,36000,27200
Bhandara,2019,Bhandara,Outpatient,104700,115300,38700
