District,Year,Vasectomies,Tubectomies,Private Institutions,Public Institutions,Public Facilities,Private Facilities
Ratnagiri,2011,175,8025,2,6157,7246,5
Sangli,2011,238,14459,1,10720,15123,1737
Satara,2011,1222,18421,131,13787,10419,757
Sindhudurg,2011,50,3245,,2118,4889,214
Solapur,2011,47,24154,28,19373,14486,2585
Thane,2011,444,22174,20,14989,11760,8615
Wardha,2011,366,6073,26,5092,4831,1059
Washim,2011,11,5473,,5179,3348,178
Yavatmal,2011,360,16567,31,13982,9259,897
Ahilyanagar,2010,96,23301,,23397,21522,
Akola,2010,1022,6920,,7942,5004,
Amravati,2010,1410,11197,,12607,7831,
Beed,2010,71,12868,,12939,12470,
Bhandara,2010,1255,5505,,6758,3541,
Buldhana,2010,419,10740,,11112,5687,
Chandrapur,2010,2139,10332,,12134,7815,
Chh. Sambhaji Nagar,2010,92,13330,,13422,12531,
Dharashiv,2010,28,8200,,8228,4353,
Dhule,2010,621,9606,,10227,6333,99
Gadchiroli,2010,3001,2817,,5818,1561,
Gondia,2010,2624,6630,,9254,3404,18
Hingoli,2010,67,5840,,5907,2297,447
Jalgaon,2010,393,21770,,16927,12064,1001
Jalna,2010,13,10111,,9816,7341,
Kolhapur,2010,265,20493,8,19618,21363,1823
Latur,2010,41,14561,,14602,8064,234
Mumbai,2010,2082,21151,,23233,43460,
Nagpur,2010,1495,17683,,19178,16740,
Nanded,2010,202,19056,,19258,6967,
Nandurbar,2010,1249,7233,,8478,2347,
Nashik,2010,2371,25541,72,23561,11095,4240
Palghar,2010,,,,0,,
Parbhani,2010,66,8039,,8105,7002,
Pune,2010,495,45680,70,35391,23608,5212
Raigad,2010,51,8083,,8134,7619,
Ratnagiri,2010,175,7298,,7273,6462,320
Sangli,2010,197,14262,,14178,15967,143
Satara,2010,933,18270,23,16455,9890,485
Sindhudurg,2010,66,2480,1,1589,4923,27
Solapur,2010,25,23673,1,23697,16752,
Thane,2010,421,27320,,27741,26362,
Wardha,2010,292,6146,35,5134,4860,1381
Washim,2010,32,6164,,6001,3357,119
Yavatmal,2010,707,15752,,16210,7596,112
Ahilyanagar,2009,165,21459,15,18291,17792,2412
Akola,2009,1356,7162,45,7772,5907,439
Amravati,2009,2680,10101,177,11279,8247,2132
Beed,2009,182,11127,23,10624,9710,807
Bhandara,2009,1139,4107,4,5216,2833,148
Buldhana,2009,421,11390,2,11401,6354,218
Chandrapur,2009,2779,9598,3,11749,8195,378
Chh. Sambhaji Nagar,2009,484,15478,3,12800,7346,5181
Dharashiv,2009,16,6923,,6869,3861,192
Dhule,2009,1026,9406,2,10174,5435,66
Gadchiroli,2009,3791,15380,,18537,9040,66
Gondia,2009,2091,5775,1,7460,3729,136
Hingoli,2009,284,5243,,5518,2274,473
Jalgaon,2009,774,23744,5,19409,14202,1503
Jalna,2009,20,9903,,9553,5704,758
Kolhapur,2009,263,22143,3,18956,19678,2970
Latur,2009,214,17757,,13324,8218,213
Mumbai,2009,3784,24013,,27797,43323,
Nagpur,2009,1609,19411,2,20919,17935,94
Nanded,2009,331,16521,68,15266,6482,1274
Nandurbar,2009,1238,6193,1,7273,2321,23
Nashik,2009,2889,31860,7,31800,12058,3905
Palghar,2009,,,,0,,
Parbhani,2009,57,7984,,7883,5969,747
Pune,2009,2928,44942,309,30824,15688,7447
Raigad,2009,50,7847,,4920,6752,1095
Ratnagiri,2009,200,7945,3,6648,7298,317
Sangli,2009,206,15432,2,10940,11509,1963
Satara,2009,672,17701,5,13444,9377,555
Sindhudurg,2009,40,3012,,2154,4552,337
Solapur,2009,1428,23483,225,18800,21487,4414
Thane,2009,890,24007,74,18835,12087,7993
Wardha,2009,371,5963,8,5066,4515,1218
Washim,2009,100,6227,2,6137,3143,1641
Yavatmal,2009,516,12253,4,12270,6088,1279
Ahilyanagar,2008,137,23221,7,19710,19962,2552
Akola,2008,1748,5992,11,6372,4496,1334
Amravati,2008,2705,16939,14,18867,10304,1553
Beed,2008,120,13085,13,12212,10051,1342
Bhandara,2008,1928,5001,4,6909,3414,188
Buldhana,2008,427,10779,2,10841,6059,1797
Chandrapur,2008,2980,9917,281,11633,7305,610
Chh. Sambhaji Nagar,2008,283,6372,,6405,3361,316
Dharashiv,2008,243,8209,2,8251,4722,349
Dhule,2008,1064,11463,6,12221,6037,417
Gadchiroli,2008,2636,5498,2,7965,2986,88
Gondia,2008,2791,5978,2,8592,3492,84
Hingoli,2008,114,7046,80,6280,2883,732
Jalgaon,2008,1329,23488,23,21619,12436,1676
Jalna,2008,217,11347,,10950,4887,1423
Kolhapur,2008,403,21523,6,18129,19881,4680
Latur,2008,438,11895,,12170,8864,893
Mumbai,2008,3760,51675,3753,29938,1322,39096
Nagpur,2008,1818,19109,77,18203,16410,2019
Nanded,2008,377,11833,34,10804,5571,2846
Nandurbar,2008,3279,6687,21,9457,2402,269
Nashik,2008,2150,25587,41,24499,11805,5011
Palghar,2008,,,,0,,
Parbhani,2008,634,6604,6,7121,7381,1081
Pune,2008,569,53080,56,45633,28410,4900
Raigad,2008,128,9046,68,5548,6606,1114
Ratnagiri,2008,329,7028,12,6056,8125,516
Sangli,2008,551,17175,53,12826,14830,2314
Satara,2008,244,16004,38,11947,8062,1996
Sindhudurg,2008,99,2462,19,1383,4277,448
Solapur,2008,248,21349,1,16325,14025,3639
Thane,2008,1467,27515,702,19097,14712,12948
Wardha,2008,538,5849,12,5250,4825,1746
Washim,2008,283,6372,,6405,3361,316
Yavatmal,2008,1507,12963,23,13852,10701,1211
