District,Year,Select Cause,Number
Mumbai,2016,Asphyxia,15
Mumbai,2016,Pneumonia,9
Mumbai,2016,Diarrhea,1
Mumbai,2016,Fever,1
Mumbai,2016,Measles,1
Mumbai,2016,Low Birth Weight,16
Nagpur,2016,Sepsis,1
Nagpur,2016,Asphyxia,14
Nagpur,2016,Pneumonia,5
Nagpur,2016,Diarrhea,0
Nagpur,2016,Fever,0
Nagpur,2016,Measles,0
Nagpur,2016,Low Birth Weight,21
Nanded,2016,Sepsis,2
Nanded,2016,Asphyxia,9
Nanded,2016,Pneumonia,4
Nanded,2016,Diarrhea,0
Nanded,2016,Fever,0
Nanded,2016,Measles,0
Nanded,2016,Low Birth Weight,25
Nandurbar,2016,Sepsis,7
Nandurbar,2016,Asphyxia,15
Nandurbar,2016,Pneumonia,8
Nandurbar,2016,Diarrhea,0
Nandurbar,2016,Fever,0
Nandurbar,2016,Measles,0
Nandurbar,2016,Low Birth Weight,34
Nashik,2016,Sepsis,4
Nashik,2016,Asphyxia,15
Nashik,2016,Pneumonia,9
Nashik,2016,Diarrhea,0
Nashik,2016,Fever,0
Nashik,2016,Measles,0
Nashik,2016,Low Birth Weight,27
Palghar,2016,Sepsis,2
Palghar,2016,Asphyxia,15
Palghar,2016,Pneumonia,10
Palghar,2016,Diarrhea,0
Palghar,2016,Fever,0
Palghar,2016,Measles,1
Palghar,2016,Low Birth Weight,25
Parbhani,2016,Sepsis,7
Parbhani,2016,Asphyxia,29
Parbhani,2016,Pneumonia,0
Parbhani,2016,Diarrhea,4
Parbhani,2016,Fever,0
Parbhani,2016,Measles,0
Parbhani,2016,Low Birth Weight,18
Pune,2016,Sepsis,8
Pune,2016,Asphyxia,7
Pune,2016,Pneumonia,6
Pune,2016,Diarrhea,0
Pune,2016,Fever,0
Pune,2016,Measles,0
Pune,2016,Low Birth Weight,15
Raigad,2016,Sepsis,1
Raigad,2016,Asphyxia,12
Raigad,2016,Pneumonia,4
Raigad,2016,Diarrhea,0
Raigad,2016,Fever,0
Raigad,2016,Measles,0
Raigad,2016,Low Birth Weight,37
Ratnagiri,2016,Sepsis,5
Ratnagiri,2016,Asphyxia,21
Ratnagiri,2016,Pneumonia,4
Ratnagiri,2016,Diarrhea,0
Ratnagiri,2016,Fever,0
Ratnagiri,2016,Measles,0
Ratnagiri,2016,Low Birth Weight,26
Sangli,2016,Sepsis,6
Sangli,2016,Asphyxia,12
