District,Year,Select Disease,Number
Akola,2018,Malaria,6
Akola,2018,Diarrhea,247
Amravati,2018,Pneumonia,1283
Amravati,2018,Asthma,286
Amravati,2018,Sepsis,213
Amravati,2018,Diphtheria,0
Amravati,2018,Pertussis,0
Amravati,2018,Tetanus Neonatorum,0
Amravati,2018,Tuberculosis (TB),21
Amravati,2018,Acute Flaccid Paralysis (AFP),8
Amravati,2018,Measles,52
Amravati,2018,Malaria,1
Amravati,2018,Diarrhea,2077
Beed,2018,Pneumonia,245
Beed,2018,Asthma,87
Beed,2018,Sepsis,48
Beed,2018,Diphtheria,0
Beed,2018,Pertussis,0
Beed,2018,Tetanus Neonatorum,0
Beed,2018,Tuberculosis (TB),30
Beed,2018,Acute Flaccid Paralysis (AFP),4
Beed,2018,Measles,112
Beed,2018,Malaria,31
Beed,2018,Diarrhea,2954
Bhandara,2018,Pneumonia,145
Bhandara,2018,Asthma,35
Bhandara,2018,Sepsis,122
Bhandara,2018,Diphtheria,0
Bhandara,2018,Pertussis,0
Bhandara,2018,Tetanus Neonatorum,0
Bhandara,2018,Tuberculosis (TB),10
Bhandara,2018,Acute Flaccid Paralysis (AFP),3
Bhandara,2018,Measles,7
Bhandara,2018,Malaria,0
Bhandara,2018,Diarrhea,3007
Buldhana,2018,Pneumonia,279
Buldhana,2018,Asthma,40
Buldhana,2018,Sepsis,70
Buldhana,2018,Diphtheria,0
Buldhana,2018,Pertussis,0
Buldhana,2018,Tetanus Neonatorum,0
Buldhana,2018,Tuberculosis (TB),2
Buldhana,2018,Acute Flaccid Paralysis (AFP),12
Buldhana,2018,Measles,46
Buldhana,2018,Malaria,0
Buldhana,2018,Diarrhea,718
Chandrapur,2018,Pneumonia,1033
Chandrapur,2018,Asthma,340
Chandrapur,2018,Sepsis,138
Chandrapur,2018,Diphtheria,0
Chandrapur,2018,Pertussis,0
Chandrapur,2018,Tetanus Neonatorum,1
Chandrapur,2018,Tuberculosis (TB),19
Chandrapur,2018,Acute Flaccid Paralysis (AFP),9
Chandrapur,2018,Measles,37
Chandrapur,2018,Malaria,47
Chandrapur,2018,Diarrhea,750
Chh. Sambhaji Nagar,2018,Pneumonia,0
Chh. Sambhaji Nagar,2018,Asthma,0
Chh. Sambhaji Nagar,2018,Sepsis,0
Chh. Sambhaji Nagar,2018,Diphtheria,0
Chh. Sambhaji Nagar,2018,Pertussis,0
Chh. Sambhaji Nagar,2018,Tetanus Neonatorum,0
Chh. Sambhaji Nagar,2018,Tuberculosis (TB),0
Chh. Sambhaji Nagar,2018,Acute Flaccid Paralysis (AFP),0
Chh. Sambhaji Nagar,2018,Measles,0
Chh. Sambhaji Nagar,2018,Malaria,0
Chh. Sambhaji Nagar,2018,Diarrhea,3181
Dharashiv,2018,Pneumonia,127
Dharashiv,2018,Asthma,17
Dharashiv,2018,Sepsis,18
Dharashiv,2018,Diphtheria,0
Dharashiv,2018,Pertussis,0
Dharashiv,2018,Tetanus Neonatorum,0
Dharashiv,2018,Tuberculosis (TB),0
Dharashiv,2018,Acute Flaccid Paralysis (AFP),0
Dharashiv,2018,Measles,31
Dharashiv,2018,Malaria,0
Dharashiv,2018,Diarrhea,2815
Dhule,2018,Pneumonia,335
Dhule,2018,Asthma,115
Dhule,2018,Sepsis,70
Dhule,2018,Diphtheria,0
Dhule,2018,Pertussis,0
Dhule,2018,Tetanus Neonatorum,0
Dhule,2018,Tuberculosis (TB),31
Dhule,2018,Acute Flaccid Paralysis (AFP),5
Dhule,2018,Measles,5
Dhule,2018,Malaria,37
Dhule,2018,Diarrhea,464
Gadchiroli,2018,Pneumonia,554
Gadchiroli,2018,Asthma,105
Gadchiroli,2018,Sepsis,450
Gadchiroli,2018,Diphtheria,0
Gadchiroli,2018,Pertussis,0
Gadchiroli,2018,Tetanus Neonatorum,0
Gadchiroli,2018,Tuberculosis (TB),13
Gadchiroli,2018,Acute Flaccid Paralysis (AFP),6
Gadchiroli,2018,Measles,11
Gadchiroli,2018,Malaria,263
Gadchiroli,2018,Diarrhea,1705
Gondia,2018,Pneumonia,37
Gondia,2018,Asthma,31
Gondia,2018,Sepsis,22
Gondia,2018,Diphtheria,0
Gondia,2018,Pertussis,0
Gondia,2018,Tetanus Neonatorum,0
Gondia,2018,Tuberculosis (TB),8
Gondia,2018,Acute Flaccid Paralysis (AFP),9
Gondia,2018,Measles,5
Gondia,2018,Malaria,0
Gondia,2018,Diarrhea,209
Hingoli,2018,Pneumonia,98
Hingoli,2018,Asthma,76
Hingoli,2018,Sepsis,105
Hingoli,2018,Diphtheria,0
Hingoli,2018,Pertussis,0
Hingoli,2018,Tetanus Neonatorum,0
Hingoli,2018,Tuberculosis (TB),4
Hingoli,2018,Acute Flaccid Paralysis (AFP),7
Hingoli,2018,Measles,19
Hingoli,2018,Malaria,0
Hingoli,2018,Diarrhea,666
Jalgaon,2018,Pneumonia,262
Jalgaon,2018,Asthma,32
Jalgaon,2018,Sepsis,47
Jalgaon,2018,Diphtheria,0
Jalgaon,2018,Pertussis,0
Jalgaon,2018,Tetanus Neonatorum,0
Jalgaon,2018,Tuberculosis (TB),22
Jalgaon,2018,Acute Flaccid Paralysis (AFP),7
Jalgaon,2018,Measles,17
Jalgaon,2018,Malaria,17
Jalgaon,2018,Diarrhea,619
Jalna,2018,Pneumonia,21
Jalna,2018,Asthma,0
Jalna,2018,Sepsis,45
Jalna,2018,Diphtheria,0
Jalna,2018,Pertussis,0
Jalna,2018,Tetanus Neonatorum,0
Jalna,2018,Tuberculosis (TB),11
Jalna,2018,Acute Flaccid Paralysis (AFP),0
Jalna,2018,Measles,19
Jalna,2018,Malaria,7
Jalna,2018,Diarrhea,686
Kolhapur,2018,Pneumonia,343
Kolhapur,2018,Asthma,37
Kolhapur,2018,Sepsis,33
Kolhapur,2018,Diphtheria,1
Kolhapur,2018,Pertussis,0
Kolhapur,2018,Tetanus Neonatorum,0
Kolhapur,2018,Tuberculosis (TB),19
Kolhapur,2018,Acute Flaccid Paralysis (AFP),6
Kolhapur,2018,Measles,21
Kolhapur,2018,Malaria,6
Kolhapur,2018,Diarrhea,1343
Latur,2018,Pneumonia,268
Latur,2018,Asthma,14
Latur,2018,Sepsis,111
Latur,2018,Diphtheria,0
Latur,2018,Pertussis,0
Latur,2018,Tetanus Neonatorum,0
Latur,2018,Tuberculosis (TB),10
Latur,2018,Acute Flaccid Paralysis (AFP),2
Latur,2018,Measles,13
Latur,2018,Malaria,3
Latur,2018,Diarrhea,1652
Mumbai,2018,Pneumonia,5185
Mumbai,2018,Asthma,2435
Mumbai,2018,Sepsis,918
Mumbai,2018,Diphtheria,6
Mumbai,2018,Pertussis,7
Mumbai,2018,Tetanus Neonatorum,3
Mumbai,2018,Tuberculosis (TB),816
Mumbai,2018,Acute Flaccid Paralysis (AFP),161
Mumbai,2018,Measles,632
Mumbai,2018,Malaria,706
Mumbai,2018,Diarrhea,18462
Nagpur,2018,Pneumonia,147
Nagpur,2018,Asthma,45
Nagpur,2018,Sepsis,63
Nagpur,2018,Diphtheria,0
Nagpur,2018,Pertussis,0
Nagpur,2018,Tetanus Neonatorum,0
Nagpur,2018,Tuberculosis (TB),13
Nagpur,2018,Acute Flaccid Paralysis (AFP),0
Nagpur,2018,Measles,15
Nagpur,2018,Malaria,11
Nagpur,2018,Diarrhea,3311
Nanded,2018,Pneumonia,264
Nanded,2018,Asthma,158
Nanded,2018,Sepsis,26
Nanded,2018,Diphtheria,0
Nanded,2018,Pertussis,0
Nanded,2018,Tetanus Neonatorum,0
Nanded,2018,Tuberculosis (TB),41
Nanded,2018,Acute Flaccid Paralysis (AFP),0
Nanded,2018,Measles,14
Nanded,2018,Malaria,21
Nanded,2018,Diarrhea,3256
Nandurbar,2018,Pneumonia,416
Nandurbar,2018,Asthma,107
Nandurbar,2018,Sepsis,95
Nandurbar,2018,Diphtheria,0
Nandurbar,2018,Pertussis,0
Nandurbar,2018,Tetanus Neonatorum,3
Nandurbar,2018,Tuberculosis (TB),39
Nandurbar,2018,Acute Flaccid Paralysis (AFP),7
Nandurbar,2018,Measles,31
Nandurbar,2018,Malaria,17
Nandurbar,2018,Diarrhea,1513
Nashik,2018,Pneumonia,665
Nashik,2018,Asthma,318
Nashik,2018,Sepsis,148
Nashik,2018,Diphtheria,0
Nashik,2018,Pertussis,0
Nashik,2018,Tetanus Neonatorum,0
Nashik,2018,Tuberculosis (TB),65
Nashik,2018,Acute Flaccid Paralysis (AFP),28
Nashik,2018,Measles,39
Nashik,2018,Malaria,39
Nashik,2018,Diarrhea,3818
Palghar,2018,Pneumonia,695
Palghar,2018,Asthma,485
Palghar,2018,Sepsis,53
Palghar,2018,Diphtheria,0
Palghar,2018,Pertussis,0
Palghar,2018,Tetanus Neonatorum,0
Palghar,2018,Tuberculosis (TB),46
Palghar,2018,Acute Flaccid Paralysis (AFP),14
Palghar,2018,Measles,17
Palghar,2018,Malaria,3
Palghar,2018,Diarrhea,2689
Parbhani,2018,Pneumonia,39
Parbhani,2018,Asthma,54
Parbhani,2018,Sepsis,13
Parbhani,2018,Diphtheria,0
Parbhani,2018,Pertussis,0
Parbhani,2018,Tetanus Neonatorum,0
Parbhani,2018,Tuberculosis (TB),8
Parbhani,2018,Acute Flaccid Paralysis (AFP),3
Parbhani,2018,Measles,129
Parbhani,2018,Malaria,5
Parbhani,2018,Diarrhea,280
Pune,2018,Pneumonia,1880
Pune,2018,Asthma,1100
Pune,2018,Sepsis,569
Pune,2018,Diphtheria,4
Pune,2018,Pertussis,5
Pune,2018,Tetanus Neonatorum,0
Pune,2018,Tuberculosis (TB),300
Pune,2018,Acute Flaccid Paralysis (AFP),25
Pune,2018,Measles,390
Pune,2018,Malaria,217
Pune,2018,Diarrhea,17904
Raigad,2018,Pneumonia,5
Raigad,2018,Asthma,132
Raigad,2018,Sepsis,0
Raigad,2018,Diphtheria,0
Raigad,2018,Pertussis,0
Raigad,2018,Tetanus Neonatorum,0
Raigad,2018,Tuberculosis (TB),10
Raigad,2018,Acute Flaccid Paralysis (AFP),0
Raigad,2018,Measles,11
Raigad,2018,Malaria,14
Raigad,2018,Diarrhea,1131
Ratnagiri,2018,Pneumonia,284
Ratnagiri,2018,Asthma,92
Ratnagiri,2018,Sepsis,38
Ratnagiri,2018,Diphtheria,0
