District,Year,Select Examination,Percentage
Dharashiv,2019,Oral Cavity Examination,0
Dhule,2019,Cervix Examination,0.4
Dhule,2019,Breast Examination,0.3
Dhule,2019,Oral Cavity Examination,0.2
Gadchiroli,2019,Cervix Examination,1.1
Gadchiroli,2019,Breast Examination,0.9
Gadchiroli,2019,Oral Cavity Examination,0.9
Gondia,2019,Cervix Examination,0.9
Gondia,2019,Breast Examination,0.6
Gondia,2019,Oral Cavity Examination,0.7
Hingoli,2019,Cervix Examination,0.7
Hingoli,2019,Breast Examination,0
Hingoli,2019,Oral Cavity Examination,0
Jalgaon,2019,Cervix Examination,0.4
Jalgaon,2019,Breast Examination,0.3
Jalgaon,2019,Oral Cavity Examination,0.2
Jalna,2019,Cervix Examination,2.4
Jalna,2019,Breast Examination,1.4
Jalna,2019,Oral Cavity Examination,1.9
Kolhapur,2019,Cervix Examination,9.4
Kolhapur,2019,Breast Examination,8.5
