District,Year,Inpatients,Outpatients,Given Allopathic Treatment,Received AYUSH Treatment,Outpatients to Inpatients,Major Operations,Minor Operations,Hysterectomies Performed
Gondia,2009,,193907,,,0,1417,837,
Hingoli,2009,,58116,,,0,309,203,
Jalgaon,2009,,771735,,,0,,21,
Jalna,2009,,461838,,63,0,898,658,
Kolhapur,2009,,821609,,,0,2516,1683,
Latur,2009,,223153,,,0,158,535,
Mumbai,2009,,,,,,,,
Nagpur,2009,,393272,,24,0,1294,1679,
Nanded,2009,,598725,,,0,,,
Nandurbar,2009,,126412,,,0,647,630,
Nashik,2009,,457595,,,0,626,1049,
Palghar,2009,,,,,,,,
Parbhani,2009,,196457,,,0,,,
Pune,2009,,1228192,,11621,0,1872,1213,
Raigad,2009,,,,,,,,
Ratnagiri,2009,,229881,,,0,1187,1419,
Sangli,2009,334,212627,,,0.2,323,563,
Satara,2009,,276102,,,0,1606,1234,
Sindhudurg,2009,,75268,,,0,714,1390,
Solapur,2009,3115,666817,,2,0.5,680,1278,
Thane,2009,,617217,,,0,828,6597,
Wardha,2009,,169047,,,0,881,1810,
Washim,2009,,232825,,10407,0,57,188,
Yavatmal,2009,,269527,,7,0,1689,3003,
Ahilyanagar,2008,,,,,,,,
Akola,2008,,,,,,,,
Amravati,2008,,,,,,,,
Beed,2008,,,,,,1286,,
Bhandara,2008,,,,,,,,
Buldhana,2008,,,,,,,,
Chandrapur,2008,,,,,,,,
Chh. Sambhaji Nagar,2008,,,,,,,,
Dharashiv,2008,,,,,,20,92,
Dhule,2008,,,,,,,,
Gadchiroli,2008,,,,,,,,
Gondia,2008,,,,,,,,
Hingoli,2008,,,,,,,,
Jalgaon,2008,,47460,,,0,,,
Jalna,2008,,22800,,,0,17,205,
Kolhapur,2008,,83548,,,0,,,
Latur,2008,,,,,,,,
Mumbai,2008,,,,,,,,
Nagpur,2008,,,,,,,,
Nanded,2008,24085,78082,,,30.8,,,
Nandurbar,2008,,,,,,642,,
Nashik,2008,,,,,,,,
Palghar,2008,,,,,,,,
Parbhani,2008,,,,,,,,
Pune,2008,,,,,,,,
Raigad,2008,,,,,,1165,,
Ratnagiri,2008,,,,,,628,,
Sangli,2008,,,,,,,,
Satara,2008,,,,,,,,
Sindhudurg,2008,,,,,,,,
Solapur,2008,,,,,,,,
Thane,2008,,,,2,,,,
Wardha,2008,,,,,,,,
Washim,2008,,,,,,,,
Yavatmal,2008,,,,,,,,
