District,Year,Taluka,Select Variable,Percentage
Ahilyanagar,2019,Rahuri,Infants at Normal Weight,92.98
Ahilyanagar,2019,Rahuri,Infants with Moderate Acute Malnutrition,5.67
Ahilyanagar,2019,Rahuri,Infants with Severe Acute Malnutrition,1.35
Ahilyanagar,2019,Parner,Infants at Normal Weight,93.38
Ahilyanagar,2019,Parner,Infants with Moderate Acute Malnutrition,5.79
Ahilyanagar,2019,Parner,Infants with Severe Acute Malnutrition,0.83
Ahilyanagar,2019,Srigonda,Infants at Normal Weight,92.83
Ahilyanagar,2019,Srigonda,Infants with Moderate Acute Malnutrition,6.11
Ahilyanagar,2019,Srigonda,Infants with Severe Acute Malnutrition,1.06
Ahilyanagar,2019,Karjat,Infants at Normal Weight,92.22
Ahilyanagar,2019,Karjat,Infants with Moderate Acute Malnutrition,6.81
Ahilyanagar,2019,Karjat,Infants with Severe Acute Malnutrition,0.97
Ahilyanagar,2019,Jamkhed,Infants at Normal Weight,89.43
Ahilyanagar,2019,Jamkhed,Infants with Moderate Acute Malnutrition,8.92
Ahilyanagar,2019,Jamkhed,Infants with Severe Acute Malnutrition,1.65
Ahilyanagar,2020,Akole,Infants at Normal Weight,80.82
Ahilyanagar,2020,Akole,Infants with Moderate Acute Malnutrition,15.44
Ahilyanagar,2020,Akole,Infants with Severe Acute Malnutrition,3.74
Ahilyanagar,2020,Sangamner,Infants at Normal Weight,94.38
Ahilyanagar,2020,Sangamner,Infants with Moderate Acute Malnutrition,4.92
Ahilyanagar,2020,Sangamner,Infants with Severe Acute Malnutrition,0.7
Ahilyanagar,2020,Kopargaon,Infants at Normal Weight,93.95
Ahilyanagar,2020,Kopargaon,Infants with Moderate Acute Malnutrition,5.6
Ahilyanagar,2020,Kopargaon,Infants with Severe Acute Malnutrition,0.45
Ahilyanagar,2020,Rahata,Infants at Normal Weight,92.08
Ahilyanagar,2020,Rahata,Infants with Moderate Acute Malnutrition,6.72
Ahilyanagar,2020,Rahata,Infants with Severe Acute Malnutrition,1.2
Ahilyanagar,2020,Srirampur,Infants at Normal Weight,92.01
Ahilyanagar,2020,Srirampur,Infants with Moderate Acute Malnutrition,6.95
Ahilyanagar,2020,Srirampur,Infants with Severe Acute Malnutrition,1.04
Ahilyanagar,2020,Nevasa,Infants at Normal Weight,93.74
