District,Year,Select Effect,Number
Sindhudurg,2016,Other Complications,8
Solapur,2016,Other Complications,118
Thane,2016,Other Complications,1432
Wardha,2016,Other Complications,1
Washim,2016,Other Complications,3
Yavatmal,2016,Other Complications,6
Ahilyanagar,2015,Other Complications,3050
Akola,2015,Other Complications,1
Amravati,2015,Other Complications,6
Beed,2015,Other Complications,0
Bhandara,2015,Other Complications,255
Buldhana,2015,Other Complications,5
Chandrapur,2015,Other Complications,116
Chhatrapati Sambhaji Nagar,2015,Other Complications,63
Dharashiv,2015,Other Complications,4
Dhule,2015,Other Complications,0
Gadchiroli,2015,Other Complications,1
Gondia,2015,Other Complications,0
Hingoli,2015,Other Complications,9
Jalgaon,2015,Other Complications,0
Jalna,2015,Other Complications,0
Kolhapur,2015,Other Complications,4
Latur,2015,Other Complications,61
Mumbai,2015,Other Complications,29
Nagpur,2015,Other Complications,0
Nanded,2015,Other Complications,186
Nandurbar,2015,Other Complications,0
Nashik,2015,Other Complications,13
Palghar,2015,Other Complications,9
Parbhani,2015,Other Complications,136
Pune,2015,Other Complications,52
Raigad,2015,Other Complications,2
Ratnagiri,2015,Other Complications,19
Sangli,2015,Other Complications,4
Satara,2015,Other Complications,2
Sindhudurg,2015,Other Complications,22
Solapur,2015,Other Complications,22
Thane,2015,Other Complications,1070
Wardha,2015,Other Complications,0
Washim,2015,Other Complications,4
Yavatmal,2015,Other Complications,39
Ahilyanagar,2014,Other Complications,9220
Akola,2014,Other Complications,3
Amravati,2014,Other Complications,4
Beed,2014,Other Complications,0
Bhandara,2014,Other Complications,31
Buldhana,2014,Other Complications,0
Chandrapur,2014,Other Complications,136
Chhatrapati Sambhaji Nagar,2014,Other Complications,643
Dharashiv,2014,Other Complications,20
Dhule,2014,Other Complications,0
Gadchiroli,2014,Other Complications,119
Gondia,2014,Other Complications,31
Hingoli,2014,Other Complications,9
Jalgaon,2014,Other Complications,0
Jalna,2014,Other Complications,0
Kolhapur,2014,Other Complications,1
Latur,2014,Other Complications,25
Mumbai,2014,Other Complications,25
Nagpur,2014,Other Complications,5
Nanded,2014,Other Complications,0
Nandurbar,2014,Other Complications,0
Nashik,2014,Other Complications,0
Palghar,2014,Other Complications,26
Parbhani,2014,Other Complications,75
Pune,2014,Other Complications,1
Raigad,2014,Other Complications,0
Ratnagiri,2014,Other Complications,128
Sangli,2014,Other Complications,64
Satara,2014,Other Complications,12
Sindhudurg,2014,Other Complications,29
Solapur,2014,Other Complications,11
Thane,2014,Other Complications,933
Wardha,2014,Other Complications,0
Washim,2014,Other Complications,4
Yavatmal,2014,Other Complications,23
Ahilyanagar,2013,Other Complications,10281
Akola,2013,Other Complications,67
Amravati,2013,Other Complications,179
Beed,2013,Other Complications,0
Bhandara,2013,Other Complications,1318
Buldhana,2013,Other Complications,0
Chandrapur,2013,Other Complications,537
Chhatrapati Sambhaji Nagar,2013,Other Complications,221
Dharashiv,2013,Other Complications,46
Dhule,2013,Other Complications,0
Gadchiroli,2013,Other Complications,868
Gondia,2013,Other Complications,548
Hingoli,2013,Other Complications,42
Jalgaon,2013,Other Complications,0
Jalna,2013,Other Complications,199
Kolhapur,2013,Other Complications,0
Latur,2013,Other Complications,119
Mumbai,2013,Other Complications,7
Nagpur,2013,Other Complications,490
Nanded,2013,Other Complications,13
Nandurbar,2013,Other Complications,0
Nashik,2013,Other Complications,26
Palghar,2013,Other Complications,21
Parbhani,2013,Other Complications,48
Pune,2013,Other Complications,437
Raigad,2013,Other Complications,87
Ratnagiri,2013,Other Complications,170
Sangli,2013,Other Complications,329
Satara,2013,Other Complications,90
Sindhudurg,2013,Other Complications,114
Solapur,2013,Other Complications,332
Thane,2013,Other Complications,1446
Wardha,2013,Other Complications,200
Washim,2013,Other Complications,31
Yavatmal,2013,Other Complications,1460
Ahilyanagar,2012,Other Complications,13942
Akola,2012,Other Complications,600
Amravati,2012,Other Complications,514
Bhandara,2012,Other Complications,2849
Buldhana,2012,Other Complications,3467
Chandrapur,2012,Other Complications,1835
Chhatrapati Sambhaji Nagar,2012,Other Complications,2063
Dharashiv,2012,Other Complications,289
Dhule,2012,Other Complications,952
Gadchiroli,2012,Other Complications,1191
Gondia,2012,Other Complications,409
Hingoli,2012,Other Complications,200
Jalna,2012,Other Complications,309
Latur,2012,Other Complications,773
Mumbai,2012,Other Complications,23
Nagpur,2012,Other Complications,3215
Nashik,2012,Other Complications,1124
Parbhani,2012,Other Complications,2238
Pune,2012,Other Complications,19171
Raigad,2012,Other Complications,1307
Ratnagiri,2012,Other Complications,2150
Sangli,2012,Other Complications,6132
Satara,2012,Other Complications,2610
Sindhudurg,2012,Other Complications,1959
Solapur,2012,Other Complications,6488
Thane,2012,Other Complications,31990
Wardha,2012,Other Complications,126
Yavatmal,2012,Other Complications,6552
Ahilyanagar,2011,Other Complications,13176
Amravati,2011,Other Complications,7218
Bhandara,2011,Other Complications,1702
Buldhana,2011,Other Complications,6581
Chandrapur,2011,Other Complications,2756
Chhatrapati Sambhaji Nagar,2011,Other Complications,856
Dharashiv,2011,Other Complications,1081
Dhule,2011,Other Complications,634
Gadchiroli,2011,Other Complications,830
Gondia,2011,Other Complications,2835
Hingoli,2011,Other Complications,94
Jalna,2011,Other Complications,866
Kolhapur,2011,Other Complications,52
Latur,2011,Other Complications,933
Mumbai,2011,Other Complications,16
Nagpur,2011,Other Complications,388
Nashik,2011,Other Complications,911
Parbhani,2011,Other Complications,1944
Pune,2011,Other Complications,9612
Raigad,2011,Other Complications,1050
Ratnagiri,2011,Other Complications,3802
Sangli,2011,Other Complications,1768
Satara,2011,Other Complications,811
Solapur,2011,Other Complications,8856
Thane,2011,Other Complications,35964
Wardha,2011,Other Complications,311
Yavatmal,2011,Other Complications,2933
Ahilyanagar,2010,Other Complications,9
Akola,2010,Other Complications,40
Amravati,2010,Other Complications,11
Kolhapur,2010,Other Complications,1
Mumbai,2010,Other Complications,30
Nashik,2010,Other Complications,1
Pune,2010,Other Complications,158
Raigad,2010,Other Complications,60
Sangli,2010,Other Complications,422
