District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Gadchiroli,2016,Kurkheda,Rural,141,141,136,136,5,0,124
Gadchiroli,2016,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Mulchera,Total,106,106,104,102,0,4,73
Gadchiroli,2016,Mulchera,Rural,106,106,104,102,0,4,73
Gadchiroli,2016,Mulchera,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Sironcha,Total,151,151,151,129,5,17,78
Gadchiroli,2016,Sironcha,Rural,151,151,151,129,5,17,78
Gadchiroli,2016,Sironcha,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Aarmori,Total,162,162,161,153,0,9,97
Gadchiroli,2017,Aarmori,Rural,162,162,161,153,0,9,97
Gadchiroli,2017,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Aheri,Total,180,180,175,165,13,2,102
Gadchiroli,2017,Aheri,Rural,180,180,175,165,13,2,102
Gadchiroli,2017,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Bhamragad,Total,98,98,92,68,14,16,62
Gadchiroli,2017,Bhamragad,Rural,98,98,92,68,14,16,62
Gadchiroli,2017,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Chomoshi,Total,288,288,286,269,6,13,153
Gadchiroli,2017,Chomoshi,Rural,288,288,286,269,6,13,153
Gadchiroli,2017,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Desaiganj,Total,123,123,121,96,25,2,66
Gadchiroli,2017,Desaiganj,Rural,82,82,82,80,0,2,34
Gadchiroli,2017,Desaiganj,Urban,41,41,39,16,25,0,32
Gadchiroli,2017,Dhanora,Total,159,159,156,137,16,6,113
Gadchiroli,2017,Dhanora,Rural,159,159,156,137,16,6,113
Gadchiroli,2017,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Etapalli,Total,156,156,154,145,10,1,105
Gadchiroli,2017,Etapalli,Rural,156,156,154,145,10,1,105
Gadchiroli,2017,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Gadchiroli,Total,196,196,196,141,45,10,164
Gadchiroli,2017,Gadchiroli,Rural,148,148,148,132,9,7,124
Gadchiroli,2017,Gadchiroli,Urban,48,48,48,9,36,3,40
Gadchiroli,2017,Korachi,Total,100,100,99,91,5,4,73
Gadchiroli,2017,Korachi,Rural,100,100,99,91,5,4,73
Gadchiroli,2017,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Kurkheda,Total,141,141,136,136,5,0,124
Gadchiroli,2017,Kurkheda,Rural,141,141,136,136,5,0,124
Gadchiroli,2017,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Mulchera,Total,106,106,104,102,0,4,73
Gadchiroli,2017,Mulchera,Rural,106,106,104,102,0,4,73
Gadchiroli,2017,Mulchera,Urban,0,0,0,0,0,0,0
Gadchiroli,2017,Sironcha,Total,151,151,151,129,5,17,78
Gadchiroli,2017,Sironcha,Rural,151,151,151,129,5,17,78
