District,Year,Sex,Select Cause,Number
Satara,2018,Male,AIDS,48
Satara,2018,Male,Heart Disorder,2152
Satara,2018,Male,Cancer,245
Satara,2018,Male,Maternal Death during Childbirth,0
Satara,2018,Male,Paralysis,325
Satara,2018,Male,Kidney Related,183
Satara,2018,Male,Suicide,109
Satara,2018,Male,Traffic,0
Satara,2018,Male,Electric Shock,0
Satara,2018,Male,Burns,197
Satara,2018,Male,Other Accidents,1985
Satara,2018,Male,Other Reasons,4659
Satara,2018,Female,Winter Fever,1
Satara,2018,Female,Typhoid Fever,0
Satara,2018,Female,Tuberculosis,42
Satara,2018,Female,Pneumonia/ Respiratory disorders,1258
Satara,2018,Female,Diarrhoea or Gastro,9
Satara,2018,Female,Dengue,0
Satara,2018,Female,Swine Flu,0
Satara,2018,Female,AIDS,38
Satara,2018,Female,Heart Disorder,2072
Satara,2018,Female,Cancer,196
Satara,2018,Female,Maternal Death during Childbirth,20
Satara,2018,Female,Paralysis,291
Satara,2018,Female,Kidney Related,195
Satara,2018,Female,Suicide,144
Satara,2018,Female,Traffic,0
Satara,2018,Female,Electric Shock,0
Satara,2018,Female,Burns,242
Satara,2018,Female,Other Accidents,2172
Satara,2018,Female,Other Reasons,625
Satara,2019,Total,Winter Fever,2
Satara,2019,Total,Typhoid Fever,0
Satara,2019,Total,Tuberculosis,66
