District,Year,Taluka,Select Facility,Number
Ahilyanagar,2015,Kopargaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Kopargaon,Clinics,1
Ahilyanagar,2015,Kopargaon,Maternity Wards,1
Ahilyanagar,2015,Kopargaon,Primary Health Centres,6
Ahilyanagar,2015,Kopargaon,Sub-Centres,32
Ahilyanagar,2015,Kopargaon,Doctors/Vaids,12
Ahilyanagar,2015,Kopargaon,Number of Beds,77
Ahilyanagar,2015,Kopargaon,Beds for Women,10
Ahilyanagar,2015,Kopargaon,Beds for Children,10
Ahilyanagar,2015,Rahata,Hospitals,2
Ahilyanagar,2015,Rahata,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Rahata,Clinics,2
Ahilyanagar,2015,Rahata,Maternity Wards,3
Ahilyanagar,2015,Rahata,Primary Health Centres,6
Ahilyanagar,2015,Rahata,Sub-Centres,30
Ahilyanagar,2015,Rahata,Doctors/Vaids,21
Ahilyanagar,2015,Rahata,Number of Beds,216
Ahilyanagar,2015,Rahata,Beds for Women,10
Ahilyanagar,2015,Rahata,Beds for Children,10
Ahilyanagar,2015,Srirampur,Hospitals,2
Ahilyanagar,2015,Srirampur,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Srirampur,Clinics,2
Ahilyanagar,2015,Srirampur,Maternity Wards,1
Ahilyanagar,2015,Srirampur,Primary Health Centres,6
Ahilyanagar,2015,Srirampur,Sub-Centres,30
Ahilyanagar,2015,Srirampur,Doctors/Vaids,17
Ahilyanagar,2015,Srirampur,Number of Beds,96
Ahilyanagar,2015,Srirampur,Beds for Women,10
Ahilyanagar,2015,Srirampur,Beds for Children,10
Ahilyanagar,2015,Nevasa,Hospitals,2
Ahilyanagar,2015,Nevasa,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Nevasa,Clinics,1
Ahilyanagar,2015,Nevasa,Maternity Wards,2
Ahilyanagar,2015,Nevasa,Primary Health Centres,9
Ahilyanagar,2015,Nevasa,Sub-Centres,41
Ahilyanagar,2015,Nevasa,Doctors/Vaids,28
Ahilyanagar,2015,Nevasa,Number of Beds,99
Ahilyanagar,2015,Nevasa,Beds for Women,10
Ahilyanagar,2015,Nevasa,Beds for Children,10
Ahilyanagar,2015,Shevgaon,Hospitals,2
Ahilyanagar,2015,Shevgaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Shevgaon,Clinics,1
