District,Year,Public,Private,C-Section Share of Institutional Deliveries,Public Facilities,Private Facilities
Dharashiv,2015,2040,2164,15.6,10.2,30.9
Dhule,2015,11,293,1,0.1,3.7
Gadchiroli,2015,1608,98,10.1,9.9,13.9
Gondia,2015,2599,1129,19.5,15.2,55
Hingoli,2015,931,382,7.5,7.2,8.5
Jalgaon,2015,2265,5824,11.6,8.1,14
Jalna,2015,518,2807,10.4,2.7,22.6
Kolhapur,2015,2461,6145,18.8,10,28.9
Latur,2015,1977,2972,11.2,6.4,22.5
Mumbai,2015,18918,20354,28.3,22.1,38.3
Nagpur,2015,8378,3610,28.2,27.4,30.2
Nanded,2015,1201,3206,6.5,2.1,29.2
Nandurbar,2015,1509,0,6.5,7.1,0
Nashik,2015,5034,3471,9.3,7.5,14
Palghar,2015,1602,1734,7.3,4.4,18.8
Parbhani,2015,2263,293,9.4,10.8,4.8
Pune,2015,12241,14371,19.2,18.2,20
Raigad,2015,2099,2673,16.2,14.8,17.5
Ratnagiri,2015,1440,1341,13.7,18.3,10.9
Sangli,2015,1492,3515,10.4,5.8,15.5
Satara,2015,2749,5482,17.4,13.7,20.1
Sindhudurg,2015,1454,462,21.9,26.4,14.4
Solapur,2015,1712,5942,11.1,5.5,15.7
Thane,2015,6783,8208,15.3,9.7,29.3
Wardha,2015,983,1841,15.2,13.1,16.6
Washim,2015,59,992,5.3,0.6,10.2
Yavatmal,2015,2856,3464,14.1,10.9,18.7
Ahilyanagar,2014,2995,6985,11.6,11.3,11.7
Akola,2014,8427,3838,34.9,34.7,35.2
Amravati,2014,3794,6876,24.9,13.9,44.1
Beed,2014,1942,1728,9.1,9.4,8.9
Bhandara,2014,4396,1556,30.8,26.7,53.8
Buldhana,2014,907,1355,5.7,4,8
Chandrapur,2014,2470,3618,20.7,12.5,37.7
Chh. Sambhaji Nagar,2014,332,2000,2.9,0.9,4.5
Dharashiv,2014,1697,2291,15.1,9.3,28
Dhule,2014,8,619,1.6,0,4.5
Gadchiroli,2014,1461,75,9.2,9,13.3
Gondia,2014,2297,1086,17.9,13.9,46.4
Hingoli,2014,646,534,6.7,5.6,8.9
