District,Year,Taluka,Pollution Category ,Number of Industries 
Akola,2018,Akot,Red,80
Akola,2018,Balapur,Red,12
Akola,2018,Akola,Red,377
Akola,2018,Murtijapur,Red,77
Akola,2018,Patur,Red,12
Akola,2018,Barshitakali,Red,52
Akola,2018,Telhara,Orange,12
Akola,2018,Akot,Orange,81
Akola,2018,Balapur,Orange,39
Akola,2018,Akola,Orange,310
Akola,2018,Murtijapur,Orange,25
Akola,2018,Patur,Orange,18
Akola,2018,Barshitakali,Orange,41
Akola,2018,Telhara,Green,37
Akola,2018,Akot,Green,261
Akola,2018,Balapur,Green,83
Akola,2018,Akola,Green,1012
Akola,2018,Murtijapur,Green,131
Akola,2018,Patur,Green,58
Akola,2018,Barshitakali,Green,149
Akola,2018,Telhara,White,0
Akola,2018,Akot,White,0
Akola,2018,Balapur,White,0
Akola,2018,Akola,White,0
Akola,2018,Murtijapur,White,0
Akola,2018,Patur,White,0
Akola,2018,Barshitakali,White,0
Akola,2019,Telhara,Red,8
Akola,2019,Akot,Red,82
Akola,2019,Balapur,Red,11
Akola,2019,Akola,Red,376
Akola,2019,Murtijapur,Red,39
Akola,2019,Patur,Red,12
Akola,2019,Barshitakali,Red,54
Akola,2019,Telhara,Orange,14
Akola,2019,Akot,Orange,79
Akola,2019,Balapur,Orange,39
Akola,2019,Akola,Orange,310
Akola,2019,Murtijapur,Orange,27
Akola,2019,Patur,Orange,16
Akola,2019,Barshitakali,Orange,41
Akola,2019,Telhara,Green,39
Akola,2019,Akot,Green,301
Akola,2019,Balapur,Green,85
Akola,2019,Akola,Green,1011
Akola,2019,Murtijapur,Green,132
Akola,2019,Patur,Green,58
Akola,2019,Barshitakali,Green,148
Akola,2019,Telhara,White,0
Akola,2019,Akot,White,0
Akola,2019,Balapur,White,0
Akola,2019,Akola,White,0
Akola,2019,Murtijapur,White,0
Akola,2019,Patur,White,0
Akola,2019,Barshitakali,White,0
Akola,2020,Telhara,Red,6
Akola,2020,Akot,Red,80
Akola,2020,Balapur,Red,15
Akola,2020,Akola,Red,380
Akola,2020,Murtijapur,Red,79
Akola,2020,Patur,Red,15
Akola,2020,Barshitakali,Red,56
Akola,2020,Telhara,Orange,17
Akola,2020,Akot,Orange,83
Akola,2020,Balapur,Orange,42
Akola,2020,Akola,Orange,313
Akola,2020,Murtijapur,Orange,27
Akola,2020,Patur,Orange,22
Akola,2020,Barshitakali,Orange,44
Akola,2020,Telhara,Green,41
Akola,2020,Akot,Green,266
Akola,2020,Balapur,Green,87
Akola,2020,Akola,Green,1018
Akola,2020,Murtijapur,Green,135
Akola,2020,Patur,Green,61
Akola,2020,Barshitakali,Green,152
Akola,2020,Telhara,White,8
Akola,2020,Akot,White,9
Akola,2020,Balapur,White,6
Akola,2020,Akola,White,22
Akola,2020,Murtijapur,White,4
Akola,2020,Patur,White,1
Akola,2020,Barshitakali,White,9
Akola,2021,Telhara,Red,0
Akola,2021,Akot,Red,2
Akola,2021,Balapur,Red,6
Akola,2021,Akola,Red,23
Akola,2021,Murtijapur,Red,1
Akola,2021,Patur,Red,1
Akola,2021,Barshitakali,Red,2
Akola,2021,Telhara,Orange,13
Akola,2021,Akot,Orange,62
Akola,2021,Balapur,Orange,30
Akola,2021,Akola,Orange,375
Akola,2021,Murtijapur,Orange,46
Akola,2021,Patur,Orange,10
Akola,2021,Barshitakali,Orange,59
Akola,2021,Telhara,Green,50
Akola,2021,Akot,Green,195
Akola,2021,Balapur,Green,86
Akola,2021,Akola,Green,629
Akola,2021,Murtijapur,Green,143
Akola,2021,Patur,Green,26
Akola,2021,Barshitakali,Green,103
Akola,2021,Telhara,White,8
Akola,2021,Akot,White,25
Akola,2021,Balapur,White,30
Akola,2021,Akola,White,210
Akola,2021,Murtijapur,White,25
Akola,2021,Patur,White,0
Akola,2021,Barshitakali,White,7
Amravati,2012,Dharani,Red,7
Amravati,2012,Chikhraldara,Red,0
Amravati,2012,Anjangaon Su,Red,2
Amravati,2012,Achalpur,Red,20
Amravati,2012,Chandurbazar,Red,0
Amravati,2012,Morshi,Red,14
Amravati,2012,Warud,Red,17
Amravati,2012,Tivas,Red,6
Amravati,2012,Amravati,Red,312
Amravati,2012,Bhatkuli,Red,2
Amravati,2012,Daryapur,Red,1
Amravati,2012,Nandgaon Kh,Red,15
Amravati,2012,Chandur Railway,Red,7
Amravati,2012,Dhamangaon Re,Red,7
Amravati,2012,Dharani,Orange,0
Amravati,2012,Chikhraldara,Orange,6
Amravati,2012,Anjangaon Su,Orange,14
Amravati,2012,Achalpur,Orange,32
Amravati,2012,Chandurbazar,Orange,13
Amravati,2012,Morshi,Orange,14
Amravati,2012,Warud,Orange,28
Amravati,2012,Tivas,Orange,11
Amravati,2012,Amravati,Orange,301
Amravati,2012,Bhatkuli,Orange,4
Amravati,2012,Daryapur,Orange,8
Amravati,2012,Nandgaon Kh,Orange,25
Amravati,2012,Chandur Railway,Orange,10
Amravati,2012,Dhamangaon Re,Orange,12
Amravati,2012,Dharani,Green,2
Amravati,2012,Chikhraldara,Green,2
Amravati,2012,Anjangaon Su,Green,31
Amravati,2012,Achalpur,Green,54
