District,Year,Taluka,Industrial Power Consumption
Buldana,2019,Motala,2068000
Buldana,2019,Khamgaon,13211000
Buldana,2019,Mehkar,3724000
Buldana,2019,Chikhali,5401000
Buldana,2019,Buldana,6346000
Buldana,2019,Deulgaon Raja,3093000
Buldana,2019,Sindkhed Raja,1330000
Buldana,2019,Lonar,1667000
Buldana,2020,Jalgaon Jamod,2103000
Buldana,2020,Sangrampur,1509000
Buldana,2020,Shegaon,3816000
Buldana,2020,Nandura,4855000
Buldana,2020,Malkapur,7841000
Buldana,2020,Motala,2333000
Buldana,2020,Khamgaon,14073000
Buldana,2020,Mehkar,3737000
Buldana,2020,Chikhali,5942000
Buldana,2020,Buldana,6777000
Buldana,2020,Deulgaon Raja,4831000
Buldana,2020,Sindkhed Raja,3985000
Buldana,2020,Lonar,1824000
Buldana,2021,Jalgaon Jamod,2188000
Buldana,2021,Sangrampur,1597000
Buldana,2021,Shegaon,3528000
Buldana,2021,Nandura,49365000
Buldana,2021,Malkapur,7750000
Buldana,2021,Motala,2493000
Buldana,2021,Khamgaon,14154000
Buldana,2021,Mehkar,4438000
Buldana,2021,Chikhali,6512000
Buldana,2021,Buldana,6669000
Buldana,2021,Deulgaon Raja,3445000
Buldana,2021,Sindkhed Raja,2080000
Buldana,2021,Lonar,2124000
Chandrapur,2012,Varora,3504000
Chandrapur,2012,Chimur,1690000
Chandrapur,2012,Nagbhid,2305000
Chandrapur,2012,Bramhapuri,2124000
Chandrapur,2012,Savali,2182000
Chandrapur,2012,Sindevahi,4660000
Chandrapur,2012,Bhadravati,1710000
Chandrapur,2012,Chandrapur,10731000
Chandrapur,2012,Mul,1862000
Chandrapur,2012,Ponbhurna,401000
Chandrapur,2012,Ballarpur,998000
Chandrapur,2012,Korpana,3102000
Chandrapur,2012,Rajura,1390000
Chandrapur,2012,Gondpipari,1367000
Chandrapur,2012,Jivati,221000
Chandrapur,2013,Varora,3688000
Chandrapur,2013,Chimur,1824000
Chandrapur,2013,Nagbhid,2352000
Chandrapur,2013,Bramhapuri,2431000
