District,Year,Taluka,Manufacturing Category,No. of Workers
Ahilyanagar,2023,Rahata,Food & Beverages,6
Ahilyanagar,2023,Nagar,Others,10
Ahilyanagar,2023,Nagar,Others,7
Ahilyanagar,2023,Kopargaon,Chemical & Pharmaceutical,30
Ahilyanagar,2023,Shrirampur,Food & Beverages,2
Ahilyanagar,2023,Rahuri,Food & Beverages,105
Ahilyanagar,2023,Newasa,Food & Beverages,1114
Ahilyanagar,2023,Kopargaon,Others,20
Ahilyanagar,2023,Kopargaon,Others,19
Ahilyanagar,2023,Rahata,Food & Beverages,2
Ahilyanagar,2023,Shrigonda,Food & Beverages,0
Ahilyanagar,2023,Nagar,Automotive & Transport,26
Ahilyanagar,2023,Nagar,Textile & Apparel,40
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Shevgaon,Textile & Apparel,15
Ahilyanagar,2023,Nagar,Machinery & Equipment,20
Ahilyanagar,2023,Nagar,Metal & Engineering,10
Ahilyanagar,2023,Parner,Food & Beverages,3
Ahilyanagar,2023,Rahata,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,22
Ahilyanagar,2023,Nagar,Metal & Engineering,28
Ahilyanagar,2023,Shevgaon,Textile & Apparel,20
Ahilyanagar,2023,Nagar,Textile & Apparel,25
Ahilyanagar,2023,Nagar,Machinery & Equipment,22
Ahilyanagar,2023,Nagar,Others,10
Ahilyanagar,2023,Rahuri,Food & Beverages,8
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Nagar,Others,21
Ahilyanagar,2023,Nagar,Wood & Paper Products,17
Ahilyanagar,2023,Nagar,Machinery & Equipment,95
Ahilyanagar,2023,Nagar,Automotive & Transport,12
Ahilyanagar,2023,Sangamner,Food & Beverages,2
Ahilyanagar,2023,Nagar,Food & Beverages,5
Ahilyanagar,2023,Shrigonda,Automotive & Transport,10
Ahilyanagar,2023,Nagar,Others,20
Ahilyanagar,2023,Newasa,Food & Beverages,12
Ahilyanagar,2023,Nagar,Metal & Engineering,20
Ahilyanagar,2023,Shrigonda,Food & Beverages,10
Ahilyanagar,2023,Shevgaon,Food & Beverages,6
Ahilyanagar,2023,Nagar,Automotive & Transport,21
Ahilyanagar,2023,Rahata,Food & Beverages,61
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Akole,Food & Beverages,35
Ahilyanagar,2023,Nagar,Metal & Engineering,24
Ahilyanagar,2023,Shrigonda,Machinery & Equipment,20
Ahilyanagar,2023,Nagar,Wood & Paper Products,22
Ahilyanagar,2023,Sangamner,Food & Beverages,15
Ahilyanagar,2023,Kopargaon,Others,20
Ahilyanagar,2023,Nagar,Others,3
Ahilyanagar,2023,Parner,Plastic & Rubber,136
Ahilyanagar,2023,Shrirampur,Others,59
Ahilyanagar,2023,Rahata,Food & Beverages,1123
Ahilyanagar,2023,Rahata,Others,30
Ahilyanagar,2023,Rahata,Others,353
Ahilyanagar,2023,Shevgaon,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,22
Ahilyanagar,2023,Parner,Plastic & Rubber,127
Ahilyanagar,2023,Parner,Metal & Engineering,56
Ahilyanagar,2023,Sangamner,Others,22
Ahilyanagar,2023,Newasa,Food & Beverages,2
Ahilyanagar,2023,Shevgaon,Food & Beverages,2
Ahilyanagar,2023,Kopargaon,Food & Beverages,2
Ahilyanagar,2023,Newasa,Food & Beverages,3
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Kopargaon,Food & Beverages,2
Ahilyanagar,2023,Shrigonda,Food & Beverages,4
Ahilyanagar,2023,Nagar,Metal & Engineering,7
Ahilyanagar,2023,Nagar,Automotive & Transport,4
Ahilyanagar,2023,Newasa,Food & Beverages,2
Ahilyanagar,2023,Shrirampur,Plastic & Rubber,31
Ahilyanagar,2023,Nagar,Metal & Engineering,20
Ahilyanagar,2023,Rahata,Food & Beverages,414
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Rahuri,Food & Beverages,2
Ahilyanagar,2023,Rahata,Textile & Apparel,22
Ahilyanagar,2023,Nagar,Food & Beverages,51
Ahilyanagar,2023,Nagar,Machinery & Equipment,29
Ahilyanagar,2023,Parner,Metal & Engineering,46
Ahilyanagar,2023,Rahuri,Food & Beverages,525
Ahilyanagar,2023,Nagar,Metal & Engineering,26
Ahilyanagar,2023,Nagar,Others,60
Ahilyanagar,2023,Rahata,Others,10
Ahilyanagar,2023,Shrirampur,Food & Beverages,60
Ahilyanagar,2023,Rahuri,Food & Beverages,2
Ahilyanagar,2023,Nagar,Machinery & Equipment,24
Ahilyanagar,2023,Shrirampur,Wood & Paper Products,0
Ahilyanagar,2023,Shrigonda,Food & Beverages,11
Ahilyanagar,2023,Pathardi,Food & Beverages,12
Ahilyanagar,2023,Nagar,Food & Beverages,12
Ahilyanagar,2023,Nagar,Food & Beverages,13
Ahilyanagar,2023,Rahuri,Food & Beverages,13
Ahilyanagar,2023,Rahuri,Food & Beverages,12
Ahilyanagar,2023,Nagar,Food & Beverages,18
Ahilyanagar,2023,Nagar,Food & Beverages,13
Ahilyanagar,2023,Nagar,Food & Beverages,12
Ahilyanagar,2023,Parner,Textile & Apparel,22
Ahilyanagar,2023,Newasa,Food & Beverages,27
Ahilyanagar,2023,Nagar,Others,30
Ahilyanagar,2023,Nagar,Others,40
Ahilyanagar,2023,Nagar,Others,20
Ahilyanagar,2023,Nagar,Others,1
Ahilyanagar,2023,Nagar,Machinery & Equipment,25
Ahilyanagar,2023,Nagar,Metal & Engineering,27
Ahilyanagar,2023,Nagar,Textile & Apparel,52
Ahilyanagar,2023,Nagar,Metal & Engineering,25
Ahilyanagar,2023,Shevgaon,Textile & Apparel,30
Ahilyanagar,2023,Nagar,Food & Beverages,125
Ahilyanagar,2023,Rahata,Food & Beverages,12
Ahilyanagar,2023,Shrirampur,Food & Beverages,2
Ahilyanagar,2023,Sangamner,Food & Beverages,23
Ahilyanagar,2023,Nagar,Metal & Engineering,22
Ahilyanagar,2023,Nagar,Food & Beverages,3
Ahilyanagar,2023,Nagar,Others,45
Ahilyanagar,2023,Sangamner,Wood & Paper Products,2
Ahilyanagar,2023,Shrirampur,Plastic & Rubber,23
Ahilyanagar,2023,Rahuri,Food & Beverages,20
Ahilyanagar,2023,Nagar,Metal & Engineering,30
Ahilyanagar,2023,Sangamner,Food & Beverages,12
Ahilyanagar,2023,Nagar,Metal & Engineering,27
Ahilyanagar,2023,Nagar,Automotive & Transport,19
Ahilyanagar,2023,Parner,Wood & Paper Products,25
Ahilyanagar,2023,Nagar,Metal & Engineering,16
Ahilyanagar,2023,Rahuri,Food & Beverages,20
Ahilyanagar,2023,Sangamner,Food & Beverages,240
Ahilyanagar,2023,Nagar,Others,70
Ahilyanagar,2023,Shevgaon,Automotive & Transport,46
Ahilyanagar,2023,Shrirampur,Automotive & Transport,111
Ahilyanagar,2023,Shrigonda,Automotive & Transport,50
Ahilyanagar,2023,Kopargaon,Automotive & Transport,67
Ahilyanagar,2023,Parner,Automotive & Transport,46
Ahilyanagar,2023,Sangamner,Automotive & Transport,48
Ahilyanagar,2023,Akole,Automotive & Transport,37
Ahilyanagar,2023,Newasa,Automotive & Transport,34
Ahilyanagar,2023,Pathardi,Automotive & Transport,53
Ahilyanagar,2023,Shrirampur,Automotive & Transport,56
Ahilyanagar,2023,Jamkhed,Automotive & Transport,48
Ahilyanagar,2023,Rahuri,Automotive & Transport,44
Ahilyanagar,2023,Nagar,Automotive & Transport,168
