District,Year,Group,Approved Posts,Positions Filled,Number of women
Jalna,2014,Class A,600.0,395.0,67.0
Jalna,2014,Class B,792.0,557.0,87.0
Jalna,2014,Class C,6722.0,5625.0,695.0
Jalna,2014,Class D,1964.0,1272.0,204.0
Jalna,2015,Class A,600.0,351.0,67.0
Jalna,2015,Class B,793.0,598.0,87.0
Jalna,2015,Class C,6722.0,5608.0,690.0
Jalna,2015,Class D,1964.0,1282.0,207.0
Jalna,2016,Class A,,,
Jalna,2016,Class B,,,
Jalna,2016,Class C,,,
Jalna,2016,Class D,,,
Jalna,2017,Class A,,,
Jalna,2017,Class B,,,
Jalna,2017,Class C,,,
Jalna,2017,Class D,,,
Jalna,2018,Class A,,,
Jalna,2018,Class B,,,
Jalna,2018,Class C,,,
Jalna,2018,Class D,,,
Jalna,2019,Class A,621.0,396.0,65.0
Jalna,2019,Class B,968.0,586.0,97.0
Jalna,2019,Class C,6846.0,5201.0,696.0
Jalna,2019,Class D,1717.0,985.0,172.0
Jalna,2020,Class A,620.0,401.0,73.0
Jalna,2020,Class B,981.0,597.0,100.0
Jalna,2020,Class C,6894.0,5195.0,723.0
Jalna,2020,Class D,1699.0,937.0,167.0
Jalna,2021,Class A,615.0,397.0,86.0
Jalna,2021,Class B,986.0,567.0,93.0
Jalna,2021,Class C,6904.0,5154.0,754.0
Jalna,2021,Class D,1629.0,914.0,160.0
Latur,2012,Class A,718.0,628.0,50.0
Latur,2012,Class B,1072.0,921.0,106.0
Latur,2012,Class C,6255.0,5358.0,500.0
Latur,2012,Class D,2698.0,2317.0,373.0
Latur,2013,Class A,718.0,628.0,50.0
Latur,2013,Class B,1072.0,921.0,106.0
Latur,2013,Class C,6255.0,5358.0,500.0
Latur,2013,Class D,2698.0,2317.0,373.0
Latur,2014,Class A,718.0,628.0,50.0
Latur,2014,Class B,1072.0,921.0,106.0
Latur,2014,Class C,6255.0,5358.0,500.0
Latur,2014,Class D,2698.0,2317.0,373.0
Latur,2015,Class A,800.0,527.0,95.0
Latur,2015,Class B,995.0,802.0,104.0
Latur,2015,Class C,7620.0,6125.0,1015.0
Latur,2015,Class D,2881.0,2055.0,286.0
Latur,2016,Class A,800.0,526.0,94.0
Latur,2016,Class B,995.0,801.0,104.0
Latur,2016,Class C,7620.0,6125.0,1015.0
Latur,2016,Class D,2881.0,2055.0,286.0
Latur,2017,Class A,733.0,564.0,112.0
Latur,2017,Class B,1094.0,742.0,98.0
Latur,2017,Class C,7415.0,6101.0,1070.0
Latur,2017,Class D,2447.0,1718.0,252.0
Latur,2018,Class A,775.0,553.0,126.0
Latur,2018,Class B,1127.0,707.0,101.0
Latur,2018,Class C,7289.0,5752.0,1096.0
Latur,2018,Class D,2239.0,1445.0,225.0
Latur,2019,Class A,804.0,575.0,126.0
Latur,2019,Class B,1165.0,719.0,102.0
Latur,2019,Class C,7249.0,5610.0,1079.0
Latur,2019,Class D,2240.0,1352.0,228.0
Latur,2020,Class A,804.0,607.0,129.0
Latur,2020,Class B,1131.0,731.0,114.0
Latur,2020,Class C,7137.0,5570.0,1106.0
Latur,2020,Class D,2116.0,1232.0,209.0
Latur,2021,Class A,831.0,623.0,144.0
Latur,2021,Class B,1108.0,703.0,111.0
Latur,2021,Class C,7194.0,5426.0,1107.0
Latur,2021,Class D,2133.0,1114.0,187.0
Mumbai City,2013,Class A,3665.0,3000.0,537.0
Mumbai City,2013,Class B,10850.0,8299.0,2289.0
Mumbai City,2013,Class C,55060.0,45834.0,7983.0
Mumbai City,2013,Class D,14691.0,12668.0,2223.0
Mumbai City,2014,Class A,6174.0,4463.0,793.0
