Year,District,Number of Workers,Number of Establishments,Houses used for Commercial Purposes,Houses used for Residential cum Commercial Purposes,Govt / PSU,Private Proprietary,Private Partnership,Private Company,Private Self Help Group,Co-operative,Private Non-profit Institution,Private Other,Private Sector,Self-Financed,Borrowing from Institutions,Borrowing from Non-Institutions, Financial Assistance from Govt. sources,Loans from SHGs,Donations/Transfers,Other SOF,Perennial,Non-Perennial,SC,ST,OBC,Others,Hindu,Islam,Christian,Sikh,Buddhist,Zoroastrian,Jain,Others.1
1998,Ahilyanagar,393213,133739,,,68968,,,,,43768,1973.0,278504.0,280477,107741.0,5322.0,1355.0,966.0,,,18355.0,129388,4351,6873,4476,19060.0,91085,,,,,,,,
1998,Pune,854206,241185,,,157675,,,,,40237,11501.0,644793.0,656294,193051.0,10853.0,4039.0,1658.0,,,31584.0,236917,4268,10460,5493,38743.0,173599,,,,,,,,
1998,Satara,262429,104783,,,37735,,,,,8858,2085.0,213751.0,215836,70561.0,10259.0,2365.0,1215.0,,,20383.0,90687,14096,5162,4606,18681.0,71031,,,,,,,,
1998,Sangli,265179,112775,,,47295,,,,,21859,5252.0,190773.0,196025,72234.0,15373.0,2575.0,930.0,,,21663.0,100204,12571,7599,2259,25722.0,69167,,,,,,,,
1998,Solapur,345043,141293,,,50008,,,,,27202,1663.0,266170.0,267833,109957.0,4595.0,2240.0,1507.0,,,22994.0,137025,4268,9045,3462,31014.0,87543,,,,,,,,
1998,Kolhapur,594670,236818,,,42075,,,,,35525,2827.0,514243.0,517070,147649.0,45348.0,10518.0,9180.0,,,24123.0,193965,42853,9675,5403,25209.0,187791,,,,,,,,
1998,Chhatrapati Sambhaji Nagar,212358,71434,,,39886,,,,,8749,1522.0,162201.0,163723,55897.0,650.0,476.0,267.0,,,14144.0,69239,2195,4017,1738,12240.0,48866,,,,,,,,
1998,Jalna,97562,40477,,,16908,,,,,1964,1135.0,77555.0,78690,33838.0,1083.0,195.0,133.0,,,5228.0,38263,2214,2180,704,9539.0,24808,,,,,,,,
1998,Parbhani,123180,52408,,,30773,,,,,2626,3139.0,86642.0,89781,38507.0,706.0,400.0,357.0,,,12438.0,50183,2225,2885,2505,9943.0,32280,,,,,,,,
1998,Beed,139666,59045,,,23916,,,,,2299,1175.0,112276.0,113451,46545.0,2353.0,2228.0,632.0,,,7287.0,55461,3584,4659,3105,11315.0,36354,,,,,,,,
