District,Year,Type of Industry,Govt Employees,Semi Govt Employees,Private Employees,Total Employees
Amravati,2018,Wholesale And Retail Trade And Hotel Business,3,3844,2828,6675
Amravati,2018,"Transportation, Warehousing And Transportation",1031,3681,759,5471
Amravati,2018,"Finance, Insurance, Real Estate And Trade Services",533,3634,1128,5295
Amravati,2018,"Collective, Social And Individual Service",21563,15517,13381,50461
Amravati,2019,Agriculture,2223,147,92,2462
Amravati,2019,Mining,127,91,2006,2224
Amravati,2019,Commodity Manufacturing,2,94,2703,2799
Amravati,2019,"Electricity Generation, Gas, Water And Sewage Services",3961,2769,194,6924
Amravati,2019,Construction,3721,1573,292,5586
Amravati,2019,Wholesale And Retail Trade And Hotel Business,3,3104,2228,5335
Amravati,2019,"Transportation, Warehousing And Transportation",861,3141,489,4491
Amravati,2019,"Finance, Insurance, Real Estate And Trade Services",373,2878,713,3964
Amravati,2019,"Collective, Social And Individual Service",18063,11211,8661,37935
Amravati,2020,Agriculture,2219,146,94,2459
Amravati,2020,Mining,128,90,2005,2223
Amravati,2020,Commodity Manufacturing,3,92,2697,2792
Amravati,2020,"Electricity Generation, Gas, Water And Sewage Services",3959,2768,195,6922
Amravati,2020,Construction,3722,1572,291,5585
Amravati,2020,Wholesale And Retail Trade And Hotel Business,3,3105,2221,5329
Amravati,2020,"Transportation, Warehousing And Transportation",860,3142,484,4486
Amravati,2020,"Finance, Insurance, Real Estate And Trade Services",371,2877,711,3959
Amravati,2020,"Collective, Social And Individual Service",18059,11213,8659,37931
Amravati,2021,Agriculture,2219,146,94,2459
Amravati,2021,Mining,128,90,2004,2222
Amravati,2021,Commodity Manufacturing,3,94,2693,2790
Amravati,2021,"Electricity Generation, Gas, Water And Sewage Services",3959,2768,196,6923
Amravati,2021,Construction,3723,1573,290,5586
Amravati,2021,Wholesale And Retail Trade And Hotel Business,3,3106,2216,5325
Amravati,2021,"Transportation, Warehousing And Transportation",861,3143,483,4487
Amravati,2021,"Finance, Insurance, Real Estate And Trade Services",371,2878,712,3961
Amravati,2021,"Collective, Social And Individual Service",18059,11215,8656,37930
Beed,2013,Agriculture,469,0,733,1202
