Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non Workers
2011,Nanded,Urban,10-14,1839,856,49727
2011,Nanded,Urban,15-19,10193,2570,38581
2011,Nanded,Urban,20-24,21868,3777,23850
2011,Nanded,Urban,25-29,29402,3531,8957
2011,Nanded,Urban,30-34,29746,2973,3022
2011,Nanded,Urban,35-39,29098,2558,1793
2011,Nanded,Urban,40-49,44465,3453,2435
2011,Nanded,Urban,50-59,25157,1809,4115
2011,Nanded,Urban,60-69,10036,1212,10065
2011,Nanded,Urban,70-79,2792,411,5764
2011,Nanded,Urban,80+,738,121,2374
2011,Hingoli,Total,05-09,1982,276,62063
2011,Hingoli,Total,10-14,4218,888,63813
2011,Hingoli,Total,15-19,21560,3120,42609
2011,Hingoli,Total,20-24,37306,3684,16738
2011,Hingoli,Total,25-29,40300,2853,4311
2011,Hingoli,Total,30-34,38184,2249,1497
2011,Hingoli,Total,35-39,36939,2018,1053
2011,Hingoli,Total,40-49,56853,2829,1534
2011,Hingoli,Total,50-59,33824,1735,2124
2011,Hingoli,Total,60-69,26512,1822,7105
2011,Hingoli,Total,70-79,8568,808,6802
2011,Hingoli,Total,80+,1757,239,3960
2011,Hingoli,Rural,05-09,1642,223,52591
2011,Hingoli,Rural,10-14,3568,747,53458
