District Name Changes Log File
==============================
Chapter: Agriculture | File: DSA_ChemicalFertilizer.csv | Replaced 'Mumbai City' with 'Mumbai' in 70 rows.
Chapter: Environment | File: dugwells.xlsx | Replaced 'Chhatrapati Sambhajinagar' with 'Chh. Sambhaji Nagar' in 88 rows.
Chapter: Environment | File: dugwells.xlsx | Replaced 'Mumbai City' with 'Mumbai' in 88 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Raigarh' with 'Raigad' in 8 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Nasik' with 'Nashik' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Ahmednagar' with 'Ahilyanagar' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Aurangabad' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Bid' with 'Beed' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Osmanabad' with 'Dharashiv' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Amarawati' with 'Amravati' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Yeotmal' with 'Yavatmal' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Mumbai sub' with 'Mumbai Suburban' in 66 rows.
Chapter: Environment | File: evapotranspiration_monthly.xlsx | Replaced 'Mumbai City' with 'Mumbai' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Raigarh' with 'Raigad' in 8 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Nasik' with 'Nashik' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Ahmednagar' with 'Ahilyanagar' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Aurangabad' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Bid' with 'Beed' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Osmanabad' with 'Dharashiv' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Amarawati' with 'Amravati' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Yeotmal' with 'Yavatmal' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Mumbai sub' with 'Mumbai Suburban' in 66 rows.
Chapter: Environment | File: evapotranspiration_yearly.xlsx | Replaced 'Mumbai City' with 'Mumbai' in 66 rows.
Chapter: Environment | File: forest_density_(dsa).xlsx | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Environment | File: humidity.xlsx | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 27 rows.
Chapter: Environment | File: max_temperature_(icrisat).xlsx | Replaced 'Raigarh' with 'Raigad' in 8 rows.
Chapter: Environment | File: max_temperature_(icrisat).xlsx | Replaced 'Aurangabad' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Environment | File: max_temperature_(icrisat).xlsx | Replaced 'Bid' with 'Beed' in 66 rows.
Chapter: Environment | File: max_temperature_(icrisat).xlsx | Replaced 'Mumbai City' with 'Mumbai' in 66 rows.
Chapter: Environment | File: min_temperature_(icrisat.xlsx | Replaced 'Raigarh' with 'Raigad' in 8 rows.
Chapter: Environment | File: min_temperature_(icrisat.xlsx | Replaced 'Aurangabad' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Environment | File: min_temperature_(icrisat.xlsx | Replaced 'Bid' with 'Beed' in 66 rows.
Chapter: Environment | File: min_temperature_(icrisat.xlsx | Replaced 'Mumbai City' with 'Mumbai' in 66 rows.
Chapter: Environment | File: night_light_intensity_(icrisat.xlsx | Replaced 'Raigarh' with 'Raigad' in 22 rows.
Chapter: Environment | File: night_light_intensity_(icrisat.xlsx | Replaced 'Aurangabad' with 'Chh. Sambhaji Nagar' in 22 rows.
Chapter: Environment | File: night_light_intensity_(icrisat.xlsx | Replaced 'Bid' with 'Beed' in 22 rows.
Chapter: Environment | File: night_light_intensity_(icrisat.xlsx | Replaced 'Garhchiroli' with 'Gadchiroli' in 22 rows.
Chapter: Environment | File: night_light_intensity_(icrisat.xlsx | Replaced 'Mumbai City' with 'Mumbai' in 22 rows.
Chapter: Environment | File: rainfall_(icrisat).xlsx | Replaced 'Raigarh' with 'Raigad' in 8 rows.
Chapter: Environment | File: rainfall_(icrisat).xlsx | Replaced 'Aurangabad' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Environment | File: rainfall_(icrisat).xlsx | Replaced 'Bid' with 'Beed' in 66 rows.
Chapter: Environment | File: rainfall_(icrisat).xlsx | Replaced 'Mumbai City' with 'Mumbai' in 66 rows.
Chapter: Environment | File: rainy_days_(dsa).xlsx | Replaced 'Mumbai City' with 'Mumbai' in 9 rows.
Chapter: Environment | File: runoff_(icrisat).xlsx | Replaced 'Raigarh' with 'Raigad' in 8 rows.
