Year,District,Month,Crash Type,Number of Crashes
2018,Thane,June,Fatal Crashes,54
2018,Thane,July,Fatal Crashes,34
2018,Thane,August,Fatal Crashes,29
2018,Thane,September,Fatal Crashes,46
2018,Thane,October,Fatal Crashes,39
2018,Thane,November,Fatal Crashes,38
2018,Thane,December,Fatal Crashes,55
2018,Wardha,January,Fatal Crashes,21
2018,Wardha,February,Fatal Crashes,18
2018,Wardha,March,Fatal Crashes,17
2018,Wardha,April,Fatal Crashes,23
2018,Wardha,May,Fatal Crashes,20
2018,Wardha,June,Fatal Crashes,12
2018,Wardha,July,Fatal Crashes,18
2018,Wardha,August,Fatal Crashes,14
2018,Wardha,September,Fatal Crashes,19
2018,Wardha,October,Fatal Crashes,17
2018,Wardha,November,Fatal Crashes,18
2018,Wardha,December,Fatal Crashes,16
2018,Washim,January,Fatal Crashes,10
2018,Washim,February,Fatal Crashes,11
2018,Washim,March,Fatal Crashes,10
2018,Washim,April,Fatal Crashes,12
2018,Washim,May,Fatal Crashes,15
2018,Washim,June,Fatal Crashes,11
2018,Washim,July,Fatal Crashes,9
2018,Washim,August,Fatal Crashes,8
2018,Washim,September,Fatal Crashes,9
2018,Washim,October,Fatal Crashes,11
2018,Washim,November,Fatal Crashes,17
2018,Washim,December,Fatal Crashes,19
2018,Yavatmal,January,Fatal Crashes,18
2018,Yavatmal,February,Fatal Crashes,33
2018,Yavatmal,March,Fatal Crashes,29
2018,Yavatmal,April,Fatal Crashes,25
2018,Yavatmal,May,Fatal Crashes,42
2018,Yavatmal,June,Fatal Crashes,39
2018,Yavatmal,July,Fatal Crashes,20
2018,Yavatmal,August,Fatal Crashes,26
2018,Yavatmal,September,Fatal Crashes,23
2018,Yavatmal,October,Fatal Crashes,31
2018,Yavatmal,November,Fatal Crashes,21
2018,Yavatmal,December,Fatal Crashes,43
2020,Ahilyanagar,January,Fatal Crashes,58
2020,Ahilyanagar,February,Fatal Crashes,76
2020,Ahilyanagar,March,Fatal Crashes,58
2020,Ahilyanagar,April,Fatal Crashes,22
2020,Ahilyanagar,May,Fatal Crashes,34
2020,Ahilyanagar,June,Fatal Crashes,60
2020,Ahilyanagar,July,Fatal Crashes,48
2020,Ahilyanagar,August,Fatal Crashes,41
2020,Ahilyanagar,September,Fatal Crashes,55
2020,Ahilyanagar,October,Fatal Crashes,47
2020,Ahilyanagar,November,Fatal Crashes,58
2020,Ahilyanagar,December,Fatal Crashes,54
2020,Akola,January,Fatal Crashes,7
2020,Akola,February,Fatal Crashes,8
2020,Akola,March,Fatal Crashes,16
2020,Akola,April,Fatal Crashes,0
2020,Akola,May,Fatal Crashes,5
2020,Akola,June,Fatal Crashes,12
2020,Akola,July,Fatal Crashes,3
2020,Akola,August,Fatal Crashes,11
2020,Akola,September,Fatal Crashes,4
2020,Akola,October,Fatal Crashes,7
2020,Akola,November,Fatal Crashes,20
2020,Akola,December,Fatal Crashes,15
2020,Amravati,January,Fatal Crashes,24
2020,Amravati,February,Fatal Crashes,27
2020,Amravati,March,Fatal Crashes,26
2020,Amravati,April,Fatal Crashes,15
2020,Amravati,May,Fatal Crashes,15
2020,Amravati,June,Fatal Crashes,23
2020,Amravati,July,Fatal Crashes,31
2020,Amravati,August,Fatal Crashes,21
2020,Amravati,September,Fatal Crashes,30
2020,Amravati,October,Fatal Crashes,39
2020,Amravati,November,Fatal Crashes,37
2020,Amravati,December,Fatal Crashes,60
2020,Chh. Sambhaji Nagar,January,Fatal Crashes,45
2020,Chh. Sambhaji Nagar,February,Fatal Crashes,32
2020,Chh. Sambhaji Nagar,March,Fatal Crashes,31
2020,Chh. Sambhaji Nagar,April,Fatal Crashes,10
2020,Chh. Sambhaji Nagar,May,Fatal Crashes,13
2020,Chh. Sambhaji Nagar,June,Fatal Crashes,32
2020,Chh. Sambhaji Nagar,July,Fatal Crashes,22
2020,Chh. Sambhaji Nagar,August,Fatal Crashes,33
2020,Chh. Sambhaji Nagar,September,Fatal Crashes,36
2020,Chh. Sambhaji Nagar,October,Fatal Crashes,46
2020,Chh. Sambhaji Nagar,November,Fatal Crashes,34
2020,Chh. Sambhaji Nagar,December,Fatal Crashes,41
2020,Beed,January,Fatal Crashes,33
2020,Beed,February,Fatal Crashes,16
2020,Beed,March,Fatal Crashes,20
2020,Beed,April,Fatal Crashes,3
2020,Beed,May,Fatal Crashes,17
2020,Beed,June,Fatal Crashes,28
2020,Beed,July,Fatal Crashes,31
2020,Beed,August,Fatal Crashes,27
2020,Beed,September,Fatal Crashes,28
2020,Beed,October,Fatal Crashes,33
2020,Beed,November,Fatal Crashes,30
2020,Beed,December,Fatal Crashes,35
2020,Bhandara,January,Fatal Crashes,13
2020,Bhandara,February,Fatal Crashes,14
2020,Bhandara,March,Fatal Crashes,14
2020,Bhandara,April,Fatal Crashes,4
2020,Bhandara,May,Fatal Crashes,7
2020,Bhandara,June,Fatal Crashes,9
2020,Bhandara,July,Fatal Crashes,10
2020,Bhandara,August,Fatal Crashes,14
2020,Bhandara,September,Fatal Crashes,11
2020,Bhandara,October,Fatal Crashes,12
2020,Bhandara,November,Fatal Crashes,10
2020,Bhandara,December,Fatal Crashes,18
2020,Buldhana,January,Fatal Crashes,22
2020,Buldhana,February,Fatal Crashes,32
2020,Buldhana,March,Fatal Crashes,17
2020,Buldhana,April,Fatal Crashes,6
2020,Buldhana,May,Fatal Crashes,18
2020,Buldhana,June,Fatal Crashes,23
2020,Buldhana,July,Fatal Crashes,23
