Year,District,Taluka,Daily,Weekly,Fortnightly,Monthly,Quarterly,Yearly
2017,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2017,Amravati,Achalpur,0.0,1.0,0.0,0.0,0.0,0.0
2017,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2017,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2017,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2017,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2017,Amravati,Amravati,35.0,79.0,0.0,0.0,0.0,0.0
2017,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2017,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2017,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2017,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2017,Amravati,Dhamangaon Re,0.0,1.0,0.0,0.0,0.0,0.0
2018,Amravati,Dharani,0.0,1.0,0.0,0.0,0.0,0.0
2018,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2018,Amravati,Achalpur,0.0,1.0,0.0,0.0,0.0,0.0
2018,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2018,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Amravati,35.0,76.0,0.0,0.0,0.0,0.0
2018,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2018,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2018,Amravati,Dhamangaon Re,0.0,1.0,0.0,0.0,0.0,0.0
