Year,District,Age,Male,Female
2018,Parbhani,26-35 Y,28,0
2018,Parbhani,36-45 Y,27,0
2018,Parbhani,46-60 Y,26,0
2018,Parbhani,0-18 Y,3,0
2018,Parbhani,60 Y or more,10,1
2018,Parbhani,Unknown,0,0
2018,Pune,19-25 Y,268,48
2018,Pune,26-35 Y,295,53
2018,Pune,36-45 Y,319,49
2018,Pune,46-60 Y,268,30
2018,Pune,0-18 Y,24,4
2018,Pune,60 Y or more,69,7
2018,Pune,Unknown,80,8
2018,Raigad,19-25 Y,44,2
2018,Raigad,26-35 Y,72,8
2018,Raigad,36-45 Y,81,8
2018,Raigad,46-60 Y,75,12
2018,Raigad,0-18 Y,0,0
2018,Raigad,60 Y or more,0,0
2018,Raigad,Unknown,0,0
2018,Ratnagiri,19-25 Y,40,4
2018,Ratnagiri,26-35 Y,39,11
2018,Ratnagiri,36-45 Y,38,9
2018,Ratnagiri,46-60 Y,17,4
2018,Ratnagiri,0-18 Y,0,1
2018,Ratnagiri,60 Y or more,0,0
2018,Ratnagiri,Unknown,0,0
2018,Sangli,19-25 Y,72,9
2018,Sangli,26-35 Y,66,13
2018,Sangli,36-45 Y,88,18
2018,Sangli,46-60 Y,45,19
2018,Sangli,0-18 Y,5,0
2018,Sangli,60 Y or more,19,3
2018,Sangli,Unknown,2,0
2018,Satara,19-25 Y,50,6
2018,Satara,26-35 Y,61,12
2018,Satara,36-45 Y,53,9
