Year,District,Time of Day,Fatalities,Grievous injuries
2020,Nanded,15:00 to 18:00,47,66
2020,Nanded,18:00 to 21:00,67,67
2020,Nanded,21:00 to 00:00,37,30
2020,Nanded,Unknown,0,0
2020,Nandurbar,00:00 to 03:00,11,8
2020,Nandurbar,03:00 to 06:00,10,8
2020,Nandurbar,06:00 to 09:00,25,48
2020,Nandurbar,09:00 to 12:00,18,39
2020,Nandurbar,12:00 to 15:00,20,32
2020,Nandurbar,15:00 to 18:00,22,34
2020,Nandurbar,18:00 to 21:00,26,48
2020,Nandurbar,21:00 to 00:00,14,9
2020,Nandurbar,Unknown,0,0
2020,Nashik,00:00 to 03:00,123,93
2020,Nashik,03:00 to 06:00,88,80
2020,Nashik,06:00 to 09:00,187,183
2020,Nashik,09:00 to 12:00,115,132
2020,Nashik,12:00 to 15:00,108,87
2020,Nashik,15:00 to 18:00,72,117
2020,Nashik,18:00 to 21:00,169,145
2020,Nashik,21:00 to 00:00,137,114
2020,Nashik,Unknown,0,0
2020,Dharashiv,00:00 to 03:00,12,4
2020,Dharashiv,03:00 to 06:00,10,5
2020,Dharashiv,06:00 to 09:00,22,15
2020,Dharashiv,09:00 to 12:00,35,40
2020,Dharashiv,12:00 to 15:00,44,33
2020,Dharashiv,15:00 to 18:00,47,39
2020,Dharashiv,18:00 to 21:00,43,46
2020,Dharashiv,21:00 to 00:00,39,10
2020,Dharashiv,Unknown,0,0
2020,Palghar,00:00 to 03:00,23,16
2020,Palghar,03:00 to 06:00,17,6
2020,Palghar,06:00 to 09:00,50,36
2020,Palghar,09:00 to 12:00,55,67
2020,Palghar,12:00 to 15:00,32,34
2020,Palghar,15:00 to 18:00,47,43
2020,Palghar,18:00 to 21:00,69,81
2020,Palghar,21:00 to 00:00,22,29
2020,Palghar,Unknown,6,2
2020,Pune,00:00 to 03:00,145,182
2020,Pune,03:00 to 06:00,164,168
2020,Pune,06:00 to 09:00,118,94
2020,Pune,09:00 to 12:00,79,134
2020,Pune,12:00 to 15:00,81,106
2020,Pune,15:00 to 18:00,112,91
2020,Pune,18:00 to 21:00,104,102
2020,Pune,21:00 to 00:00,172,205
2020,Pune,Unknown,128,99
2020,Raigad,00:00 to 03:00,22,31
2020,Raigad,03:00 to 06:00,14,25
2020,Raigad,06:00 to 09:00,19,23
2020,Raigad,09:00 to 12:00,27,58
2020,Raigad,12:00 to 15:00,33,75
2020,Raigad,15:00 to 18:00,31,98
2020,Raigad,18:00 to 21:00,34,46
2020,Raigad,21:00 to 00:00,24,51
2020,Raigad,Unknown,2,2
2020,Ratnagiri,00:00 to 03:00,4,2
2020,Ratnagiri,03:00 to 06:00,4,6
2020,Ratnagiri,06:00 to 09:00,10,6
2020,Ratnagiri,09:00 to 12:00,11,28
2020,Ratnagiri,12:00 to 15:00,22,45
2020,Ratnagiri,15:00 to 18:00,16,60
2020,Ratnagiri,18:00 to 21:00,24,31
2020,Ratnagiri,21:00 to 00:00,11,24
2020,Ratnagiri,Unknown,1,0
2020,Sangli,00:00 to 03:00,9,15
2020,Sangli,03:00 to 06:00,5,5
2020,Sangli,06:00 to 09:00,30,42
2020,Sangli,09:00 to 12:00,35,51
2020,Sangli,12:00 to 15:00,52,89
2020,Sangli,15:00 to 18:00,46,77
2020,Sangli,18:00 to 21:00,64,110
2020,Sangli,21:00 to 00:00,26,34
2020,Sangli,Unknown,2,4
2020,Satara,00:00 to 03:00,36,13
2020,Satara,03:00 to 06:00,16,26
2020,Satara,06:00 to 09:00,33,33
2020,Satara,09:00 to 12:00,49,53
2020,Satara,12:00 to 15:00,42,81
2020,Satara,15:00 to 18:00,53,66
2020,Satara,18:00 to 21:00,69,74
2020,Satara,21:00 to 00:00,45,48
2020,Satara,Unknown,2,1
2020,Sindhudurg,00:00 to 03:00,1,0
2020,Sindhudurg,03:00 to 06:00,2,2
2020,Sindhudurg,06:00 to 09:00,4,6
2020,Sindhudurg,09:00 to 12:00,9,14
2020,Sindhudurg,12:00 to 15:00,9,16
2020,Sindhudurg,15:00 to 18:00,15,16
2020,Sindhudurg,18:00 to 21:00,7,12
2020,Sindhudurg,21:00 to 00:00,4,12
2020,Sindhudurg,Unknown,0,0
2020,Solapur,00:00 to 03:00,21,40
2020,Solapur,03:00 to 06:00,43,28
2020,Solapur,06:00 to 09:00,60,67
2020,Solapur,09:00 to 12:00,65,78
2020,Solapur,12:00 to 15:00,59,95
2020,Solapur,15:00 to 18:00,65,86
2020,Solapur,18:00 to 21:00,108,102
2020,Solapur,21:00 to 00:00,57,46
2020,Solapur,Unknown,0,0
2020,Thane,00:00 to 03:00,48,62
2020,Thane,03:00 to 06:00,29,70
2020,Thane,06:00 to 09:00,81,114
2020,Thane,09:00 to 12:00,58,104
2020,Thane,12:00 to 15:00,46,78
2020,Thane,15:00 to 18:00,40,79
2020,Thane,18:00 to 21:00,78,169
2020,Thane,21:00 to 00:00,73,95
2020,Thane,Unknown,15,4
2020,Wardha,00:00 to 03:00,6,2
2020,Wardha,03:00 to 06:00,12,7
2020,Wardha,06:00 to 09:00,9,11
2020,Wardha,09:00 to 12:00,27,32
2020,Wardha,12:00 to 15:00,32,27
2020,Wardha,15:00 to 18:00,29,29
2020,Wardha,18:00 to 21:00,51,67
2020,Wardha,21:00 to 00:00,20,10
2020,Wardha,Unknown,2,1
2020,Washim,00:00 to 03:00,3,2
2020,Washim,03:00 to 06:00,7,4
2020,Washim,06:00 to 09:00,15,8
2020,Washim,09:00 to 12:00,16,20
2020,Washim,12:00 to 15:00,14,5
2020,Washim,15:00 to 18:00,28,22
2020,Washim,18:00 to 21:00,33,10
2020,Washim,21:00 to 00:00,9,6
2020,Washim,Unknown,0,0
2020,Yavatmal,00:00 to 03:00,8,6
2020,Yavatmal,03:00 to 06:00,6,8
2020,Yavatmal,06:00 to 09:00,31,11
2020,Yavatmal,09:00 to 12:00,31,29
2020,Yavatmal,12:00 to 15:00,45,31
2020,Yavatmal,15:00 to 18:00,101,38
2020,Yavatmal,18:00 to 21:00,78,34
2020,Yavatmal,21:00 to 00:00,33,6
2020,Yavatmal,Unknown,1,1
