Year,District,Taluka,Road Material,Length
2015,Akola,Balapur,Unpaved,112.3
2015,Akola,Balapur,Rock,29.95
2015,Akola,Balapur,Asphalt/Cement/Concrete,173
2015,Akola,Akola,Unpaved,223
2015,Akola,Akola,Rock,95.6
2015,Akola,Akola,Asphalt/Cement/Concrete,276.9
2015,Akola,Murtijapur,Unpaved,172.3
2015,Akola,Murtijapur,Rock,62.95
2015,Akola,Murtijapur,Asphalt/Cement/Concrete,390.7
2015,Akola,Patur,Unpaved,156.2
2015,Akola,Patur,Rock,29.1
2015,Akola,Patur,Asphalt/Cement/Concrete,191.7
2015,Akola,Barshitakali,Unpaved,221.9
2015,Akola,Barshitakali,Rock,45
2015,Akola,Barshitakali,Asphalt/Cement/Concrete,254.2
2016,Akola,Telhara,Unpaved,265.13
2016,Akola,Telhara,Rock,360.88
2016,Akola,Telhara,Asphalt/Cement/Concrete,588.7
2016,Akola,Akot,Unpaved,345
2016,Akola,Akot,Rock,377.68
2016,Akola,Akot,Asphalt/Cement/Concrete,665.1
2016,Akola,Balapur,Unpaved,241.3
2016,Akola,Balapur,Rock,355.45
2016,Akola,Balapur,Asphalt/Cement/Concrete,610.3
2016,Akola,Akola,Unpaved,375.7
2016,Akola,Akola,Rock,469.52
2016,Akola,Akola,Asphalt/Cement/Concrete,788.6
2016,Akola,Murtijapur,Unpaved,295.28
2016,Akola,Murtijapur,Rock,430.1
2016,Akola,Murtijapur,Asphalt/Cement/Concrete,641.9
2016,Akola,Patur,Unpaved,289.46
2016,Akola,Patur,Rock,385.89
2016,Akola,Patur,Asphalt/Cement/Concrete,588.9
2016,Akola,Barshitakali,Unpaved,310.55
2016,Akola,Barshitakali,Rock,389.7
2016,Akola,Barshitakali,Asphalt/Cement/Concrete,510.7
2017,Akola,Telhara,Unpaved,265.13
2017,Akola,Telhara,Rock,156.42
2017,Akola,Telhara,Asphalt/Cement/Concrete,596.63
2017,Akola,Akot,Unpaved,345.3
2017,Akola,Akot,Rock,229.9
2017,Akola,Akot,Asphalt/Cement/Concrete,669.81
2017,Akola,Balapur,Unpaved,222.94
2017,Akola,Balapur,Rock,136.98
2017,Akola,Balapur,Asphalt/Cement/Concrete,618.75
2017,Akola,Akola,Unpaved,345.7
2017,Akola,Akola,Rock,362.59
2017,Akola,Akola,Asphalt/Cement/Concrete,757.17
2017,Akola,Murtijapur,Unpaved,295.28
2017,Akola,Murtijapur,Rock,173.94
2017,Akola,Murtijapur,Asphalt/Cement/Concrete,542.96
2017,Akola,Patur,Unpaved,289.46
2017,Akola,Patur,Rock,135.89
2017,Akola,Patur,Asphalt/Cement/Concrete,550.75
2017,Akola,Barshitakali,Unpaved,310.55
2017,Akola,Barshitakali,Rock,159.62
2017,Akola,Barshitakali,Asphalt/Cement/Concrete,413.78
2018,Akola,Telhara,Unpaved,489.67
2018,Akola,Telhara,Rock,172.8
2018,Akola,Akot,Unpaved,501.3
2018,Akola,Akot,Rock,229.9
2018,Akola,Balapur,Unpaved,279.3
2018,Akola,Balapur,Rock,136.98
2018,Akola,Akola,Unpaved,582.72
2018,Akola,Akola,Rock,479.23
2018,Akola,Murtijapur,Unpaved,376.46
2018,Akola,Murtijapur,Rock,173.94
2018,Akola,Patur,Unpaved,378.32
2018,Akola,Patur,Rock,135.89
2018,Akola,Barshitakali,Unpaved,355.47
2018,Akola,Barshitakali,Rock,159.62
