Year,District,Taluka,Length of roads per 100 sq.km
2014,Chhatrapati Sambhaji Nagar,Paithan,83.48
2015,Chhatrapati Sambhaji Nagar,Kannad,85.8
2015,Chhatrapati Sambhaji Nagar,Soyegaon ,97.75
2015,Chhatrapati Sambhaji Nagar,Sillod,92.75
2015,Chhatrapati Sambhaji Nagar,Phulambri,140.51
2015,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,129.97
2015,Chhatrapati Sambhaji Nagar,Khultabad,121.67
2015,Chhatrapati Sambhaji Nagar,Vaijapur,90.8
2015,Chhatrapati Sambhaji Nagar,Gangapur,94.26
2015,Chhatrapati Sambhaji Nagar,Paithan,117.9
2016,Chhatrapati Sambhaji Nagar,Kannad,83.08
2016,Chhatrapati Sambhaji Nagar,Soyegaon ,80.75
2016,Chhatrapati Sambhaji Nagar,Sillod,93.25
2016,Chhatrapati Sambhaji Nagar,Phulambri,135.06
2016,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,229.25
2016,Chhatrapati Sambhaji Nagar,Khultabad,116.49
2016,Chhatrapati Sambhaji Nagar,Vaijapur,92.61
2016,Chhatrapati Sambhaji Nagar,Gangapur,89.19
2016,Chhatrapati Sambhaji Nagar,Paithan,114.62
2017,Chhatrapati Sambhaji Nagar,Kannad,84.15
2017,Chhatrapati Sambhaji Nagar,Soyegaon ,87.41
2017,Chhatrapati Sambhaji Nagar,Sillod,96.51
2017,Chhatrapati Sambhaji Nagar,Phulambri,148.11
2017,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,227.63
2017,Chhatrapati Sambhaji Nagar,Khultabad,108.54
2017,Chhatrapati Sambhaji Nagar,Vaijapur,91.83
2017,Chhatrapati Sambhaji Nagar,Gangapur,91.19
2017,Chhatrapati Sambhaji Nagar,Paithan,114.38
2018,Chhatrapati Sambhaji Nagar,Kannad,74.42
2018,Chhatrapati Sambhaji Nagar,Soyegaon ,87.1
2018,Chhatrapati Sambhaji Nagar,Sillod,82.99
2018,Chhatrapati Sambhaji Nagar,Phulambri,143.24
2018,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,107.3
2018,Chhatrapati Sambhaji Nagar,Khultabad,102.91
2018,Chhatrapati Sambhaji Nagar,Vaijapur,88.47
2018,Chhatrapati Sambhaji Nagar,Gangapur,87.89
2018,Chhatrapati Sambhaji Nagar,Paithan,115.92
2019,Chhatrapati Sambhaji Nagar,Kannad,74.42
2019,Chhatrapati Sambhaji Nagar,Soyegaon ,87.1
2019,Chhatrapati Sambhaji Nagar,Sillod,82.99
2019,Chhatrapati Sambhaji Nagar,Phulambri,143.24
2019,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,104.22
2019,Chhatrapati Sambhaji Nagar,Khultabad,102.91
2019,Chhatrapati Sambhaji Nagar,Vaijapur,88.47
2019,Chhatrapati Sambhaji Nagar,Gangapur,89.2
2019,Chhatrapati Sambhaji Nagar,Paithan,115.92
2020,Chhatrapati Sambhaji Nagar,Kannad,74.42
2020,Chhatrapati Sambhaji Nagar,Soyegaon ,87.1
2020,Chhatrapati Sambhaji Nagar,Sillod,82.99
2020,Chhatrapati Sambhaji Nagar,Phulambri,143.24
2020,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,231.69
2020,Chhatrapati Sambhaji Nagar,Khultabad,102.91
2020,Chhatrapati Sambhaji Nagar,Vaijapur,88.47
2020,Chhatrapati Sambhaji Nagar,Gangapur,89.2
2020,Chhatrapati Sambhaji Nagar,Paithan,115.92
