District,Year,Hybrid Cows,Native Cows,Buffalo
Buldhana,2020.0,15028.0,57599.0,45360.0
Buldhana,2021.0,15853.0,2824.0,15230.0
Chandrapur,2012.0,7253.0,2549.0,6465.0
Chandrapur,2013.0,7397.0,3839.0,6196.0
Chandrapur,2014.0,7717.0,3777.0,5719.0
Chandrapur,2015.0,6161.0,3540.0,4173.0
Chandrapur,2016.0,6915.0,4570.0,4795.0
Chandrapur,2017.0,5937.0,8847.0,5127.0
Chandrapur,2018.0,0.0,48820.0,20846.0
Chandrapur,2019.0,0.0,55148.0,20846.0
Chandrapur,2020.0,0.0,55148.0,20846.0
Chandrapur,2021.0,7604.0,553.0,1841.0
Dhule,2012.0,16208.0,0.0,7526.0
Dhule,2013.0,18769.0,0.0,8930.0
Dhule,2014.0,19662.0,5.0,9049.0
Dhule,2015.0,18767.0,93.0,7473.0
Dhule,2016.0,18077.0,522.0,7348.0
Dhule,2017.0,21288.0,2096.0,8584.0
Dhule,2018.0,20223.0,81080.0,61267.0
Dhule,2019.0,20223.0,81080.0,61267.0
Dhule,2020.0,20223.0,81080.0,61267.0
Dhule,2021.0,49389.0,10259.0,26386.0
Gadchiroli,2012.0,2035.0,0.0,4510.0
Gadchiroli,2013.0,2090.0,0.0,4034.0
Gadchiroli,2014.0,2181.0,0.0,3541.0
Gadchiroli,2015.0,2266.0,0.0,2977.0
Gadchiroli,2016.0,2188.0,32.0,3009.0
Gadchiroli,2017.0,2652.0,738.0,3546.0
Gadchiroli,2018.0,0.0,57361.0,10318.0
Gadchiroli,2019.0,0.0,57361.0,10318.0
Gadchiroli,2020.0,0.0,57361.0,10318.0
Gadchiroli,2021.0,2198.0,108.0,702.0
Gondia,2012.0,6929.0,541.0,0.0
Gondia,2013.0,7702.0,1451.0,0.0
Gondia,2014.0,5933.0,1742.0,2598.0
Gondia,2015.0,8366.0,2454.0,2760.0
Gondia,2016.0,8812.0,2652.0,3516.0
Gondia,2017.0,11720.0,6252.0,3858.0
Gondia,2018.0,5751.0,35787.0,19659.0
Gondia,2019.0,5751.0,35787.0,19659.0
Gondia,2020.0,5751.0,35787.0,19659.0
Gondia,2021.0,8715.0,696.0,2214.0
Hingoli,2012.0,2254.0,3327.0,0.0
Hingoli,2013.0,2709.0,5771.0,0.0
Hingoli,2014.0,2541.0,6458.0,0.0
Hingoli,2015.0,2076.0,7917.0,7279.0
Hingoli,2016.0,2290.0,8864.0,8852.0
Hingoli,2017.0,3546.0,10570.0,27185.0
Hingoli,2018.0,4457.0,39147.0,23679.0
Hingoli,2019.0,4457.0,39147.0,23679.0
Hingoli,2020.0,4457.0,39147.0,23679.0
Hingoli,2021.0,4457.0,39147.0,23679.0
,,,,
,,,,
,,,,
Jalgaon,2012.0,0.21627,0.0,0.20016
Jalgaon,2013.0,0.22634,0.0,0.19584
Jalgaon,2014.0,0.20119,0.0,0.19498
Jalgaon,2015.0,0.19949,0.0,0.1737
Jalgaon,2016.0,0.24081,0.01119,0.21374
Jalgaon,2017.0,0.19243,0.01854,0.17147
Jalgaon,2018.0,0.0,61832.0,98587.0
Jalgaon,2019.0,0.0,61832.0,98587.0
Jalgaon,2020.0,0.0,61832.0,98587.0
Jalgaon,2021.0,46855.0,8765.0,41951.0
Jalna,2013.0,5619.0,0.0,4424.0
Jalna,2014.0,6207.0,0.0,4463.0
Jalna,2015.0,8130.0,0.0,4832.0
Jalna,2016.0,8199.0,0.0,5126.0
Jalna,2017.0,8500.0,0.0,5274.0
Jalna,2018.0,17690.0,82583.0,46392.0
Jalna,2019.0,10886.0,45662.0,26389.0
Jalna,2020.0,10886.0,45662.0,26389.0
Jalna,2021.0,18593.0,4032.0,12135.0
Kolhapur,2017.0,37675.0,4984.0,72783.0
Kolhapur,2018.0,121882.0,16138.0,393628.0
Kolhapur,2019.0,121882.0,16138.0,393628.0
Kolhapur,2020.0,121882.0,16138.0,393628.0
Kolhapur,2021.0,16674.0,18554.0,172977.0
Latur,2012.0,79.9,267.86,308.7
Latur,2013.0,9439.0,39417.0,48050.0
Latur,2014.0,8223.0,28482.0,35438.0
