District,Year,Items,Units
Chandrapur,2012,Ghee,0.0
Chandrapur,2012,Energy Milk,0.0
Chandrapur,2012,Lassi,0.0
Chandrapur,2012,Masala Milk,0.0
Chandrapur,2012,Sustainable cow's milk,593.3
Chandrapur,2013,Milk Powder,0.0
Chandrapur,2013,White butter,0.0
Chandrapur,2013,Ghee,0.0
Chandrapur,2013,Energy Milk,0.0
Chandrapur,2013,Lassi,0.0
Chandrapur,2013,Masala Milk,0.0
Chandrapur,2013,Sustainable cow's milk,590.1
Chandrapur,2014,Milk Powder,0.0
Chandrapur,2014,White butter,0.0
Chandrapur,2014,Ghee,0.0
Chandrapur,2014,Energy Milk,0.0
Chandrapur,2014,Lassi,0.0
Chandrapur,2014,Masala Milk,0.0
Chandrapur,2014,Sustainable cow's milk,638.3
Chandrapur,2015,Milk Powder,0.0
Chandrapur,2015,White butter,0.0
Chandrapur,2015,Ghee,0.0
Chandrapur,2015,Energy Milk,0.0
Chandrapur,2015,Lassi,0.0
Chandrapur,2015,Masala Milk,0.0
Chandrapur,2015,Sustainable cow's milk,886.6
Chandrapur,2016,Milk Powder,0.0
Chandrapur,2016,White butter,0.0
Chandrapur,2016,Ghee,0.0
Chandrapur,2016,Energy Milk,0.0
Chandrapur,2016,Lassi,0.0
Chandrapur,2016,Masala Milk,0.0
Chandrapur,2016,Sustainable cow's milk,869.4
Chandrapur,2017,Milk Powder,0.0
Chandrapur,2017,White butter,0.0
Chandrapur,2017,Ghee,0.0
Chandrapur,2017,Energy Milk,0.0
Chandrapur,2017,Lassi,0.0
Chandrapur,2017,Masala Milk,0.0
Chandrapur,2017,Sustainable cow's milk,832.61
Chandrapur,2018,Milk Powder,0.0
Chandrapur,2018,White butter,0.0
Chandrapur,2018,Ghee,0.0
Chandrapur,2018,Energy Milk,0.0
Chandrapur,2018,Lassi,0.0
Chandrapur,2018,Masala Milk,0.0
Chandrapur,2018,Sustainable cow's milk,1041.04
Chandrapur,2019,Milk Powder,0.0
Chandrapur,2019,White butter,0.0
Chandrapur,2019,Ghee,0.0
Chandrapur,2019,Energy Milk,0.0
Chandrapur,2019,Lassi,0.0
Chandrapur,2019,Masala Milk,0.0
Chandrapur,2019,Sustainable cow's milk,678.63
Chandrapur,2020,Milk Powder,0.0
Chandrapur,2020,White butter,0.0
Chandrapur,2020,Ghee,0.0
Chandrapur,2020,Energy Milk,0.0
Chandrapur,2020,Lassi,0.0
Chandrapur,2020,Masala Milk,0.0
Chandrapur,2020,Sustainable cow's milk,774.43
Chandrapur,2021,Milk Powder,0.0
Chandrapur,2021,White butter,0.0
Chandrapur,2021,Ghee,0.0
Chandrapur,2021,Energy Milk,0.0
Chandrapur,2021,Lassi,0.0
Chandrapur,2021,Masala Milk,0.0
