Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks
2020,Nagpur,Parashivani,6.0,8,8.0
2020,Nagpur,Ramtech,9.0,9,18.0
2020,Nagpur,Mauda,12.0,12,16.0
2020,Nagpur,Kamathi,15.0,13,25.0
2020,Nagpur,Nagpur (Gra),23.0,10,22.0
2020,Nagpur,Nagpur (Sh),1.0,23,381.0
2020,Nagpur,Hingana,10.0,14,16.0
2020,Nagpur,Umred,11.0,13,21.0
2020,Nagpur,Kuhi,10.0,6,11.0
2020,Nagpur,Bhiwapur,6.0,5,7.0
2021,Nagpur,Narkhed,10.0,7,13.0
2021,Nagpur,Katol,10.0,12,22.0
2021,Nagpur,Kalameshwar,10.0,12,17.0
2021,Nagpur,Sawner,13.0,15,23.0
2021,Nagpur,Parashivani,5.0,9,9.0
2021,Nagpur,Ramtech,10.0,11,22.0
2021,Nagpur,Mauda,10.0,10,15.0
2021,Nagpur,Kamathi,15.0,15,32.0
2021,Nagpur,Nagpur (Gra),26.0,20,50.0
2021,Nagpur,Nagpur (Sh),1.0,23,370.0
2021,Nagpur,Hingana,12.0,14,23.0
2021,Nagpur,Umred,12.0,15,24.0
2021,Nagpur,Kuhi,9.0,6,11.0
2021,Nagpur,Bhiwapur,6.0,5,7.0
2014,Nanded,Mahur,2.0,5,5.0
2014,Nanded,Kinvat,8.0,16,16.0
2014,Nanded,Himalay Nagar,3.0,5,5.0
2014,Nanded,Hadgaon,7.0,14,14.0
2014,Nanded,Andhrapur,3.0,9,9.0
2014,Nanded,Nanded,11.0,76,76.0
2014,Nanded,Mudkhed,4.0,10,10.0
2014,Nanded,Bhokar,4.0,8,8.0
2014,Nanded,Umari,3.0,6,6.0
2014,Nanded,Dharmabad,3.0,7,7.0
2014,Nanded,Biloli,8.0,15,15.0
2014,Nanded,Naygaon,12.0,19,19.0
2014,Nanded,Loha,8.0,15,15.0
2014,Nanded,Kandhar,10.0,16,16.0
2014,Nanded,Mukhed,10.0,20,20.0
2014,Nanded,Deglur,7.0,13,13.0
2015,Nanded,Mahur,2.0,5,5.0
2015,Nanded,Kinvat,8.0,16,16.0
2015,Nanded,Himalay Nagar,3.0,5,14.0
2015,Nanded,Hadgaon,7.0,14,10.0
2015,Nanded,Andhrapur,3.0,9,9.0
2015,Nanded,Nanded,11.0,76,81.0
2015,Nanded,Mudkhed,4.0,10,11.0
2015,Nanded,Bhokar,4.0,8,8.0
2015,Nanded,Umari,3.0,6,6.0
2015,Nanded,Dharmabad,3.0,7,7.0
2015,Nanded,Biloli,8.0,15,16.0
2015,Nanded,Naygaon,12.0,19,16.0
2015,Nanded,Loha,8.0,15,15.0
2015,Nanded,Kandhar,10.0,16,17.0
2015,Nanded,Mukhed,10.0,20,21.0
2015,Nanded,Deglur,7.0,13,14.0
2016,Nanded,Mahur,2.0,3,5.0
2016,Nanded,Kinvat,8.0,5,17.0
2016,Nanded,Himalay Nagar,3.0,3,5.0
2016,Nanded,Hadgaon,7.0,5,14.0
2016,Nanded,Andhrapur,5.0,5,11.0
2016,Nanded,Nanded,7.0,30,83.0
2016,Nanded,Mudkhed,4.0,5,11.0
2016,Nanded,Bhokar,5.0,6,10.0
2016,Nanded,Umari,3.0,5,6.0
2016,Nanded,Dharmabad,3.0,6,8.0
2016,Nanded,Biloli,9.0,6,16.0
2016,Nanded,Naygaon,9.0,5,16.0
2016,Nanded,Loha,8.0,7,15.0
2016,Nanded,Kandhar,10.0,4,17.0
2016,Nanded,Mukhed,11.0,5,21.0
2016,Nanded,Deglur,8.0,8,16.0
2017,Nanded,Mahur,2.0,3,5.0
2017,Nanded,Kinvat,8.0,5,15.0
2017,Nanded,Himalay Nagar,3.0,3,5.0
2017,Nanded,Hadgaon,7.0,5,13.0
2017,Nanded,Andhrapur,5.0,5,10.0
2017,Nanded,Nanded,7.0,30,78.0
2017,Nanded,Mudkhed,4.0,5,11.0
2017,Nanded,Bhokar,5.0,6,10.0
2017,Nanded,Umari,3.0,5,6.0
2017,Nanded,Dharmabad,3.0,6,10.0
2017,Nanded,Biloli,9.0,6,14.0
2017,Nanded,Naygaon,9.0,5,16.0
2017,Nanded,Loha,8.0,7,16.0
2017,Nanded,Kandhar,10.0,4,18.0
2017,Nanded,Mukhed,11.0,5,21.0
2017,Nanded,Deglur,8.0,8,16.0
2018,Nanded,Mahur,2.0,3,5.0
2018,Nanded,Kinvat,8.0,5,15.0
2018,Nanded,Himalay Nagar,3.0,3,5.0
2018,Nanded,Hadgaon,7.0,5,13.0
2018,Nanded,Andhrapur,5.0,5,10.0
2018,Nanded,Nanded,7.0,30,82.0
2018,Nanded,Mudkhed,7.0,4,13.0
2018,Nanded,Bhokar,3.0,3,11.0
2018,Nanded,Umari,3.0,3,8.0
2018,Nanded,Dharmabad,7.0,6,11.0
2018,Nanded,Biloli,9.0,5,14.0
2018,Nanded,Naygaon,9.0,4,16.0
2018,Nanded,Loha,8.0,6,17.0
2018,Nanded,Kandhar,4.0,4,18.0
2018,Nanded,Mukhed,12.0,5,21.0
2018,Nanded,Deglur,7.0,5,23.0
2019,Nanded,Mahur,2.0,3,5.0
2019,Nanded,Kinvat,8.0,5,15.0
2019,Nanded,Himalay Nagar,3.0,3,5.0
2019,Nanded,Hadgaon,7.0,5,13.0
2019,Nanded,Andhrapur,5.0,5,10.0
2019,Nanded,Nanded,7.0,30,82.0
2019,Nanded,Mudkhed,7.0,4,13.0
2019,Nanded,Bhokar,3.0,3,11.0
2019,Nanded,Umari,3.0,3,8.0
2019,Nanded,Dharmabad,7.0,6,11.0
2019,Nanded,Biloli,9.0,5,14.0
2019,Nanded,Naygaon,9.0,4,16.0
2019,Nanded,Loha,8.0,6,17.0
2019,Nanded,Kandhar,4.0,4,18.0
2019,Nanded,Mukhed,12.0,5,21.0
2019,Nanded,Deglur,7.0,5,23.0
2020,Nanded,Mahur,2.0,3,5.0
2020,Nanded,Kinvat,8.0,5,15.0
2020,Nanded,Himalay Nagar,3.0,3,5.0
2020,Nanded,Hadgaon,7.0,5,13.0
2020,Nanded,Andhrapur,5.0,5,10.0
2020,Nanded,Nanded,7.0,30,82.0
2020,Nanded,Mudkhed,7.0,4,13.0
2020,Nanded,Bhokar,3.0,3,11.0
