Year,District,Taluka,Select Banks/ Bank Branches,Number
2018,Akola,Akola,Classified Banks,58.0
2018,Akola,Akola,Branch Offices,102.0
2018,Akola,Murtijapur,Classified Banks,12.0
2018,Akola,Murtijapur,Branch Offices,22.0
2018,Akola,Patur,Classified Banks,4.0
2018,Akola,Patur,Branch Offices,12.0
2018,Akola,Barshitakali,Classified Banks,5.0
2018,Akola,Barshitakali,Branch Offices,9.0
2019,Akola,Telhara,Classified Banks,10.0
2019,Akola,Telhara,Branch Offices,21.0
2019,Akola,Akot,Classified Banks,16.0
2019,Akola,Akot,Branch Offices,32.0
2019,Akola,Balapur,Classified Banks,8.0
2019,Akola,Balapur,Branch Offices,21.0
2019,Akola,Akola,Classified Banks,58.0
2019,Akola,Akola,Branch Offices,102.0
2019,Akola,Murtijapur,Classified Banks,12.0
2019,Akola,Murtijapur,Branch Offices,22.0
2019,Akola,Patur,Classified Banks,4.0
2019,Akola,Patur,Branch Offices,12.0
2019,Akola,Barshitakali,Classified Banks,5.0
2019,Akola,Barshitakali,Branch Offices,9.0
2020,Akola,Telhara,Classified Banks,10.0
2020,Akola,Telhara,Branch Offices,21.0
2020,Akola,Akot,Classified Banks,16.0
2020,Akola,Akot,Branch Offices,32.0
2020,Akola,Balapur,Classified Banks,8.0
2020,Akola,Balapur,Branch Offices,21.0
2020,Akola,Akola,Classified Banks,58.0
2020,Akola,Akola,Branch Offices,102.0
2020,Akola,Murtijapur,Classified Banks,12.0
2020,Akola,Murtijapur,Branch Offices,22.0
2020,Akola,Patur,Classified Banks,4.0
2020,Akola,Patur,Branch Offices,12.0
2020,Akola,Barshitakali,Classified Banks,5.0
2020,Akola,Barshitakali,Branch Offices,9.0
2021,Akola,Telhara,Classified Banks,10.0
2021,Akola,Telhara,Branch Offices,21.0
2021,Akola,Akot,Classified Banks,16.0
2021,Akola,Akot,Branch Offices,32.0
2021,Akola,Balapur,Classified Banks,8.0
2021,Akola,Balapur,Branch Offices,21.0
2021,Akola,Akola,Classified Banks,58.0
2021,Akola,Akola,Branch Offices,102.0
2021,Akola,Murtijapur,Classified Banks,12.0
2021,Akola,Murtijapur,Branch Offices,22.0
2021,Akola,Patur,Classified Banks,4.0
2021,Akola,Patur,Branch Offices,12.0
2021,Akola,Barshitakali,Classified Banks,5.0
2021,Akola,Barshitakali,Branch Offices,9.0
2012,Amravati,Dharani,Classified Banks,6.0
2012,Amravati,Dharani,Branch Offices,8.0
2012,Amravati,Chikhraldara,Classified Banks,5.0
2012,Amravati,Chikhraldara,Branch Offices,8.0
2012,Amravati,Anjangaon Su,Classified Banks,10.0
2012,Amravati,Anjangaon Su,Branch Offices,17.0
2012,Amravati,Achalpur,Classified Banks,15.0
2012,Amravati,Achalpur,Branch Offices,22.0
2012,Amravati,Chandurbazar,Classified Banks,11.0
2012,Amravati,Chandurbazar,Branch Offices,19.0
2012,Amravati,Morshi,Classified Banks,11.0
2012,Amravati,Morshi,Branch Offices,21.0
2012,Amravati,Warud,Classified Banks,16.0
2012,Amravati,Warud,Branch Offices,25.0
2012,Amravati,Tivas,Classified Banks,7.0
2012,Amravati,Tivas,Branch Offices,12.0
2012,Amravati,Amravati,Classified Banks,67.0
2012,Amravati,Amravati,Branch Offices,86.0
2012,Amravati,Bhatkuli,Classified Banks,7.0
2012,Amravati,Bhatkuli,Branch Offices,13.0
2012,Amravati,Daryapur,Classified Banks,10.0
2012,Amravati,Daryapur,Branch Offices,18.0
2012,Amravati,Nandgaon Kh,Classified Banks,10.0
2012,Amravati,Nandgaon Kh,Branch Offices,15.0
2012,Amravati,Chandur Railway,Classified Banks,7.0
2012,Amravati,Chandur Railway,Branch Offices,11.0
2012,Amravati,Dhamangaon Re,Classified Banks,9.0
2012,Amravati,Dhamangaon Re,Branch Offices,15.0
2013,Amravati,Dharani,Classified Banks,4.0
2013,Amravati,Dharani,Branch Offices,10.0
2013,Amravati,Chikhraldara,Classified Banks,5.0
2013,Amravati,Chikhraldara,Branch Offices,8.0
2013,Amravati,Anjangaon Su,Classified Banks,6.0
2013,Amravati,Anjangaon Su,Branch Offices,16.0
2013,Amravati,Achalpur,Classified Banks,10.0
2013,Amravati,Achalpur,Branch Offices,21.0
2013,Amravati,Chandurbazar,Classified Banks,8.0
2013,Amravati,Chandurbazar,Branch Offices,20.0
2013,Amravati,Morshi,Classified Banks,6.0
2013,Amravati,Morshi,Branch Offices,22.0
2013,Amravati,Warud,Classified Banks,10.0
2013,Amravati,Warud,Branch Offices,28.0
2013,Amravati,Tivas,Classified Banks,6.0
2013,Amravati,Tivas,Branch Offices,12.0
2013,Amravati,Amravati,Classified Banks,29.0
2013,Amravati,Amravati,Branch Offices,99.0
