Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2018,Gondia,785,202,337,10,1334,571,1905,2533,172,609,3314,3885,964,56,437,6,102,1259,1814,262,781,5680,10899,1947,167,12679,1398,90709
2019,Gondia,786,213,321,44,1364,777,2141,2331,169,576,3076,3854,952,54,437,6,107,1219,1838,288,806,5708,10925,2009,183,12751,1406,90662
2011,Hingoli,1334,300,114,7,1755,117,1872,887,77,330,1294,1411,421,22,154,3,55,497,605,119,250,2127,5293,866,140,6019,1183,50894
2012,Hingoli,1768,324,111,7,2210,98,2308,950,80,314,1344,1442,463,23,169,3,58,536,650,121,274,2297,5949,1014,186,6776,1192,56845
2013,Hingoli,1597,221,107,7,1932,74,2005,1068,61,319,1448,1522,450,23,171,4,58,605,715,122,301,2449,5902,998,174,6727,1201,56004
2014,Hingoli,1312,839,104,6,2261,55,2315,1128,82,348,1558,1613,464,26,192,4,67,654,804,126,341,2678,6552,1110,178,7484,1210,61843
2015,Hingoli,708,368,103,5,1183,189,1372,1235,84,346,1665,1853,450,27,213,4,79,675,863,131,366,2808,5845,989,123,6711,1219,55041
2016,Hingoli,1314,295,101,4,1714,43,1757,1387,93,375,1855,1897,523,32,240,4,76,736,979,146,422,3157,6768,1133,115,7786,1227,63436
2017,Hingoli,1244,350,120,7,1721,96,1817,1487,97,375,1958,2054,552,36,253,4,64,746,1025,157,447,3286,7061,1211,107,8164,1235,66116
2018,Hingoli,1298,372,99,8,1777,25,1801,1592,108,383,2083,2108,606,35,275,4,64,791,1140,164,491,3570,7454,1328,114,8669,1242,69778
2019,Hingoli,1644,382,93,6,2125,77,2202,1543,112,381,2036,2113,630,36,289,4,71,807,1216,191,534,3778,8015,1420,130,9306,1250,74466
2011,Jalgaon,5601,974,365,34,6974,754,7729,4736,413,1760,6909,7663,2246,117,820,18,295,2656,3231,638,1338,11359,25996,4253,686,29564,4254,69497
2012,Jalgaon,4735,1023,362,21,6140,261,6402,5189,436,1715,7341,7602,2528,125,921,19,315,2926,3552,660,1499,12544,26286,4476,824,29939,4295,69703
2013,Jalgaon,6794,912,356,7,8068,17,8085,5843,334,1748,7925,7942,2462,126,937,20,317,3312,3912,669,1649,13403,29413,4973,866,33521,4336,77303
2014,Jalgaon,6245,966,358,9,7577,24,7602,6143,444,1894,8481,8505,2524,142,1045,20,364,3563,4380,688,1857,14582,30665,5197,831,35031,4377,80029
2015,Jalgaon,4699,797,358,20,5874,144,6017,6905,472,1932,9310,9453,2518,150,1189,20,443,3774,4827,732,2050,15703,31030,5236,652,35614,4418,80607
