District,Year,Receipts and Loans,"From Commercial Activities
",Government Grants,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Chandrapur,2018,96.73,139.66,3502.11,180.69,158.07,4077.26,162.72,122.13,643.32,342.16,10.22,69.19,724.06,19.46,8.84,16.48,12.14,5.25,,42.0,2178.18,140.87,994.32,1042.78
Chandrapur,2019,72.98,8.96,3050.45,161.28,178.54,3472.21,302.72,165.49,250.65,57.98,1.16,2.91,1498.76,57.37,19.12,16.21,616.14,1.57,15.58,110.86,3116.51,172.3,343.33,2600.89
Chandrapur,2020,89.79,59.64,1161.39,253.34,293.72,1857.88,565.16,19.79,505.54,80.32,,9.31,885.71,90.37,191.56,8.41,0.75,1.91,0.3,170.47,2529.61,270.15,777.72,1481.73
Chandrapur,2021,89.84,17.67,2197.94,518.23,1466.96,4290.64,244.3,133.14,939.83,183.16,,53.14,1400.06,110.46,118.87,290.43,10.74,23.01,81.56,132.58,3721.28,296.18,1323.42,2101.68
Dhule,2012,,,,,,,,,,,,,,,,,,,,,,,,
Dhule,2013,,,,20.68,29.73,50.42,11.77,,,,,,8.24,5.66,0.76,,,,,19.63,46.07,25.29,0.76,20.01
Dhule,2014,,1.01,587.79,34.68,19.62,643.1,11.4,,291.55,11.25,,,75.21,19.13,11.26,,,,,41.28,461.08,60.41,314.06,86.61
Dhule,2015,1.5,5.49,561.46,47.58,64.88,680.91,7.02,0.3,,11.3,,,7.02,,141.32,119.37,41.91,4.08,,,332.32,,152.62,179.7
Dhule,2016,3.16,8.42,486.91,22.91,63.84,585.24,24.11,0.08,2.45,,,,73.58,3.01,21.57,0.11,,,,10.91,135.82,13.92,24.02,97.88
Dhule,2017,181.73,39.57,920.73,277.09,90.81,1509.93,188.39,33.66,199.46,57.1,,0.15,953.72,72.75,59.66,15.51,24.77,,,523.15,2128.32,596.05,316.22,1216.05
Dhule,2018,56.82,53.34,1775.16,449.36,56.56,2391.24,217.59,13.48,693.97,417.26,,,431.28,290.54,27.76,0.62,,0.66,,83.18,2176.34,373.72,1138.99,663.63
