Year,District,Rural/Urban,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2013,Chh. Sambhaji Nagar,Urban,Others,5,2,0,2,134
2013,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),188,124,3,32,2
2014,Chh. Sambhaji Nagar,Rural,Government Aided,33,73,109,78,50
2014,Chh. Sambhaji Nagar,Rural,Local Body,1350,678,9,36,1
2014,Chh. Sambhaji Nagar,Rural,Others,2,2,0,3,1
2014,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),176,77,12,40,76
2014,Chh. Sambhaji Nagar,Urban,Government Aided,67,180,40,74,48
2014,Chh. Sambhaji Nagar,Urban,Central Govt,0,0,1,0,0
2014,Chh. Sambhaji Nagar,Urban,Local Body,64,58,2,6,13
2014,Chh. Sambhaji Nagar,Urban,Others,4,1,0,2,0
2014,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),181,114,4,31,76
2015,Chh. Sambhaji Nagar,Rural,Government Aided,46,79,111,84,56
2015,Chh. Sambhaji Nagar,Rural,Central Govt,1,0,0,0,0
2015,Chh. Sambhaji Nagar,Rural,Local Body,1347,678,9,36,1
2015,Chh. Sambhaji Nagar,Rural,Others,4,1,0,3,0
2015,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),201,79,13,42,72
2015,Chh. Sambhaji Nagar,Urban,Government Aided,74,187,41,74,52
2015,Chh. Sambhaji Nagar,Urban,Central Govt,0,0,1,0,0
2015,Chh. Sambhaji Nagar,Urban,Local Body,60,56,2,6,12
2015,Chh. Sambhaji Nagar,Urban,Others,2,1,0,2,0
2015,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),183,113,4,33,69
2016,Chh. Sambhaji Nagar,Rural,Government Aided,48,86,110,87,69
2016,Chh. Sambhaji Nagar,Rural,Local Body,1332,678,9,36,1
2016,Chh. Sambhaji Nagar,Rural,Others,4,2,0,3,0
2016,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),251,90,22,38,56
2016,Chh. Sambhaji Nagar,Urban,Government Aided,77,194,42,75,54
2016,Chh. Sambhaji Nagar,Urban,Central Govt,0,0,1,0,0
2016,Chh. Sambhaji Nagar,Urban,Local Body,60,56,2,6,12
2016,Chh. Sambhaji Nagar,Urban,Others,2,2,0,2,0
2016,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),181,129,5,32,72
2017,Chh. Sambhaji Nagar,Rural,Government Aided,31,107,124,85,72
2017,Chh. Sambhaji Nagar,Rural,Local Body,1291,705,7,38,1
2017,Chh. Sambhaji Nagar,Rural,Others,6,2,0,4,0
2017,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),183,184,43,61,42
2017,Chh. Sambhaji Nagar,Urban,Government Aided,65,209,40,78,62
2017,Chh. Sambhaji Nagar,Urban,Local Body,58,59,2,6,1
2017,Chh. Sambhaji Nagar,Urban,Others,5,2,1,0,2
2017,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),112,247,10,31,62
2018,Chh. Sambhaji Nagar,Rural,Government Aided,32,108,125,83,76
2018,Chh. Sambhaji Nagar,Rural,Local Body,1260,710,7,38,1
2018,Chh. Sambhaji Nagar,Rural,Others,4,4,0,5,0
2018,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),202,185,96,63,36
2018,Chh. Sambhaji Nagar,Urban,Government Aided,66,212,39,79,66
2018,Chh. Sambhaji Nagar,Urban,Local Body,57,58,2,6,1
2018,Chh. Sambhaji Nagar,Urban,Others,5,3,1,0,2
2018,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),97,226,21,28,55
2019,Chh. Sambhaji Nagar,Rural,Government Aided,33,107,124,84,77
2019,Chh. Sambhaji Nagar,Rural,Local Body,1280,771,8,38,1
2019,Chh. Sambhaji Nagar,Rural,Others,4,5,1,5,0
2019,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),181,201,140,66,38
2019,Chh. Sambhaji Nagar,Urban,Government Aided,67,221,38,80,69
2019,Chh. Sambhaji Nagar,Urban,Local Body,54,61,2,6,1
2019,Chh. Sambhaji Nagar,Urban,Others,6,3,1,0,2
2019,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),89,218,34,31,51
2020,Chh. Sambhaji Nagar,Rural,Government Aided,32,108,124,85,81
2020,Chh. Sambhaji Nagar,Rural,Local Body,1282,769,8,38,1
2020,Chh. Sambhaji Nagar,Rural,Others,4,5,1,5,0
2020,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),178,200,172,69,36
2020,Chh. Sambhaji Nagar,Urban,Government Aided,67,224,38,80,72
2020,Chh. Sambhaji Nagar,Urban,Local Body,54,61,2,6,1
2020,Chh. Sambhaji Nagar,Urban,Others,6,2,1,0,2
2020,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),86,221,40,33,48
2021,Chh. Sambhaji Nagar,Rural,Government Aided,31,103,121,82,80
2021,Chh. Sambhaji Nagar,Rural,Local Body,1278,769,7,38,2
2021,Chh. Sambhaji Nagar,Rural,Others,3,2,1,5,1
2021,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),147,196,169,66,32
2021,Chh. Sambhaji Nagar,Urban,Government Aided,68,235,41,85,73
2021,Chh. Sambhaji Nagar,Urban,Local Body,56,62,3,6,0
2021,Chh. Sambhaji Nagar,Urban,Others,4,2,1,0,1
2021,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),82,225,51,34,49
2012,Dharashiv,Rural,Government Aided,13,15,48,94,83
2012,Dharashiv,Rural,Local Body,585,427,2,34,2
2012,Dharashiv,Rural,Others,6,24,0,12,4
2012,Dharashiv,Rural,Private Unaided (Recognized),24,6,0,5,37
2012,Dharashiv,Urban,Government Aided,27,36,14,22,7
2012,Dharashiv,Urban,Local Body,39,21,2,12,0
2012,Dharashiv,Urban,Others,4,15,0,0,1
2012,Dharashiv,Urban,Private Unaided (Recognized),23,10,1,2,14
2013,Dharashiv,Rural,Government Aided,19,37,47,96,0
2013,Dharashiv,Rural,Local Body,584,427,2,34,0
2013,Dharashiv,Rural,Others,1,1,0,1,120
2013,Dharashiv,Rural,Private Unaided (Recognized),29,6,1,14,1
2013,Dharashiv,Urban,Government Aided,30,47,14,22,0
2013,Dharashiv,Urban,Central Govt,0,0,0,0,0
2013,Dharashiv,Urban,Local Body,39,21,2,12,0
2013,Dharashiv,Urban,Others,3,3,0,0,22
2013,Dharashiv,Urban,Private Unaided (Recognized),27,10,1,3,0
2014,Dharashiv,Rural,Government Aided,19,38,48,96,95
2014,Dharashiv,Rural,Local Body,584,427,2,34,2
2014,Dharashiv,Rural,Others,0,1,0,1,0
2014,Dharashiv,Rural,Private Unaided (Recognized),52,5,0,13,26
2014,Dharashiv,Urban,Government Aided,32,47,14,24,11
2014,Dharashiv,Urban,Central Govt,0,0,0,0,0
2014,Dharashiv,Urban,Local Body,39,21,2,12,0
2014,Dharashiv,Urban,Others,2,4,0,0,0
2014,Dharashiv,Urban,Private Unaided (Recognized),36,11,1,2,12
2015,Dharashiv,Rural,Government Aided,18,38,48,97,95
2015,Dharashiv,Rural,Local Body,584,427,2,34,2
2015,Dharashiv,Rural,Others,0,1,0,1,0
2015,Dharashiv,Rural,Private Unaided (Recognized),62,8,0,11,27
2015,Dharashiv,Urban,Government Aided,32,47,14,24,12
2015,Dharashiv,Urban,Central Govt,0,1,0,0,0
2015,Dharashiv,Urban,Local Body,39,21,2,12,0
2015,Dharashiv,Urban,Others,1,3,0,0,0
2015,Dharashiv,Urban,Private Unaided (Recognized),43,11,1,3,14
2016,Dharashiv,Rural,Government Aided,16,35,47,95,94
2016,Dharashiv,Rural,Local Body,576,423,2,33,2
2016,Dharashiv,Rural,Others,1,1,0,1,0
2016,Dharashiv,Rural,Private Unaided (Recognized),63,9,1,12,24
2016,Dharashiv,Urban,Government Aided,33,50,15,26,14
2016,Dharashiv,Urban,Central Govt,0,0,0,0,0
2016,Dharashiv,Urban,Local Body,47,25,2,13,0
2016,Dharashiv,Urban,Others,1,4,0,0,0
2016,Dharashiv,Urban,Private Unaided (Recognized),48,15,1,2,13
2017,Dharashiv,Rural,Government Aided,15,37,46,97,96
2017,Dharashiv,Rural,Local Body,574,424,2,33,1
2017,Dharashiv,Rural,Others,1,0,0,2,1
2017,Dharashiv,Rural,Private Unaided (Recognized),67,19,2,9,23
2017,Dharashiv,Urban,Government Aided,32,50,15,27,14
2017,Dharashiv,Urban,Local Body,48,24,2,12,1
2017,Dharashiv,Urban,Others,3,2,0,0,2
2017,Dharashiv,Urban,Private Unaided (Recognized),45,21,0,5,14
2018,Dharashiv,Rural,Government Aided,14,37,46,99,102
2018,Dharashiv,Rural,Local Body,567,423,2,34,0
2018,Dharashiv,Rural,Others,0,0,0,2,1
2018,Dharashiv,Rural,Private Unaided (Recognized),63,17,3,10,17
2018,Dharashiv,Urban,Government Aided,32,50,15,27,15
2018,Dharashiv,Urban,Local Body,48,24,2,12,1
2018,Dharashiv,Urban,Others,4,2,0,0,2
2018,Dharashiv,Urban,Private Unaided (Recognized),39,26,2,6,13
2019,Dharashiv,Rural,Government Aided,14,36,46,100,109
2019,Dharashiv,Rural,Local Body,565,424,2,34,0
2019,Dharashiv,Rural,Others,0,0,0,2,1
2019,Dharashiv,Rural,Private Unaided (Recognized),59,17,6,12,11
2019,Dharashiv,Urban,Government Aided,32,50,15,27,16
2019,Dharashiv,Urban,Local Body,48,24,2,12,1
2019,Dharashiv,Urban,Others,4,2,0,0,2
2019,Dharashiv,Urban,Private Unaided (Recognized),38,27,4,7,11
2020,Dharashiv,Rural,Government Aided,14,36,46,100,108
2020,Dharashiv,Rural,Local Body,564,425,2,34,0
2020,Dharashiv,Rural,Others,0,0,0,2,1
2020,Dharashiv,Rural,Private Unaided (Recognized),52,16,9,12,12
2020,Dharashiv,Urban,Government Aided,32,49,14,26,16
2020,Dharashiv,Urban,Local Body,48,24,2,12,1
2020,Dharashiv,Urban,Others,4,2,0,0,2
2020,Dharashiv,Urban,Private Unaided (Recognized),39,25,6,8,11
2021,Dharashiv,Rural,Government Aided,16,42,49,103,109
