Year,District,Select Class,Social Category,Boys,Girls
2012,Buldhana,Class 9,General,4622,3938
2012,Buldhana,Class 9,OBC,14044,11619
2012,Buldhana,Class 9,SC,5122,4393
2012,Buldhana,Class 9,ST,924,639
2012,Buldhana,Class 10,Overall,21240,17875
2012,Buldhana,Class 10,General,3765,3576
2012,Buldhana,Class 10,OBC,12657,10331
2012,Buldhana,Class 10,SC,4103,3496
2012,Buldhana,Class 10,ST,715,472
2012,Buldhana,Class 11,Overall,14205,11596
2012,Buldhana,Class 11,General,2396,2206
2012,Buldhana,Class 11,OBC,8529,7050
2012,Buldhana,Class 11,SC,2826,2060
2012,Buldhana,Class 11,ST,454,280
2012,Buldhana,Class 12,Overall,10957,8157
2012,Buldhana,Class 12,General,2016,1717
2012,Buldhana,Class 12,OBC,6555,5001
2012,Buldhana,Class 12,SC,2014,1274
2012,Buldhana,Class 12,ST,372,165
2012,Chandrapur,Pre-Primary,Overall,10572,8745
2012,Chandrapur,Pre-Primary,General,2287,1959
2012,Chandrapur,Pre-Primary,OBC,5321,4195
2012,Chandrapur,Pre-Primary,SC,2113,1860
2012,Chandrapur,Pre-Primary,ST,851,731
2012,Chandrapur,Class 1,Overall,17727,16864
2012,Chandrapur,Class 1,General,1621,1483
2012,Chandrapur,Class 1,OBC,9757,9311
2012,Chandrapur,Class 1,SC,2905,2713
2012,Chandrapur,Class 1,ST,3444,3357
2012,Chandrapur,Class 2,Overall,17688,16510
2012,Chandrapur,Class 2,General,1782,1492
2012,Chandrapur,Class 2,OBC,9628,9031
2012,Chandrapur,Class 2,SC,2943,2778
2012,Chandrapur,Class 2,ST,3335,3209
2012,Chandrapur,Class 3,Overall,18298,16903
2012,Chandrapur,Class 3,General,1721,1467
2012,Chandrapur,Class 3,OBC,9926,9402
2012,Chandrapur,Class 3,SC,3073,2796
2012,Chandrapur,Class 3,ST,3578,3238
2012,Chandrapur,Class 4,Overall,18850,17577
2012,Chandrapur,Class 4,General,1748,1542
2012,Chandrapur,Class 4,OBC,10388,9652
2012,Chandrapur,Class 4,SC,3093,2898
2012,Chandrapur,Class 4,ST,3621,3485
2012,Chandrapur,Class 5,Overall,19324,17567
2012,Chandrapur,Class 5,General,1697,1432
2012,Chandrapur,Class 5,OBC,10806,9652
2012,Chandrapur,Class 5,SC,3144,3038
2012,Chandrapur,Class 5,ST,3677,3445
2012,Chandrapur,Class 6,Overall,19473,17494
2012,Chandrapur,Class 6,General,1707,1414
2012,Chandrapur,Class 6,OBC,10834,9779
2012,Chandrapur,Class 6,SC,3229,2974
2012,Chandrapur,Class 6,ST,3703,3327
2012,Chandrapur,Class 7,Overall,20364,18131
2012,Chandrapur,Class 7,General,1637,1417
2012,Chandrapur,Class 7,OBC,11511,10195
2012,Chandrapur,Class 7,SC,3380,3050
2012,Chandrapur,Class 7,ST,3836,3469
2012,Chandrapur,Class 8,Overall,19490,17739
2012,Chandrapur,Class 8,General,1580,1320
2012,Chandrapur,Class 8,OBC,10835,9806
2012,Chandrapur,Class 8,SC,3460,3178
2012,Chandrapur,Class 8,ST,3615,3435
2012,Chandrapur,Class 9,Overall,19764,17529
2012,Chandrapur,Class 9,General,1497,1379
2012,Chandrapur,Class 9,OBC,11020,9873
2012,Chandrapur,Class 9,SC,3570,3005
2012,Chandrapur,Class 9,ST,3677,3272
2012,Chandrapur,Class 10,Overall,17859,17378
2012,Chandrapur,Class 10,General,1435,1346
2012,Chandrapur,Class 10,OBC,10077,9824
2012,Chandrapur,Class 10,SC,3129,3081
2012,Chandrapur,Class 10,ST,3218,3127
2012,Chandrapur,Class 11,Overall,12960,13975
2012,Chandrapur,Class 11,General,1048,1112
2012,Chandrapur,Class 11,OBC,7302,7979
2012,Chandrapur,Class 11,SC,2566,2758
2012,Chandrapur,Class 11,ST,2044,2126
2012,Chandrapur,Class 12,Overall,11721,11591
2012,Chandrapur,Class 12,General,1026,1018
2012,Chandrapur,Class 12,OBC,6548,6575
2012,Chandrapur,Class 12,SC,2328,2354
2012,Chandrapur,Class 12,ST,1819,1644
2012,Chhatrapati Sambhaji Nagar,Pre-Primary,Overall,11370,8692
2012,Chhatrapati Sambhaji Nagar,Pre-Primary,General,6513,5067
2012,Chhatrapati Sambhaji Nagar,Pre-Primary,OBC,2770,1948
2012,Chhatrapati Sambhaji Nagar,Pre-Primary,SC,1632,1360
2012,Chhatrapati Sambhaji Nagar,Pre-Primary,ST,455,317
2012,Chhatrapati Sambhaji Nagar,Class 1,Overall,45599,39323
2012,Chhatrapati Sambhaji Nagar,Class 1,General,23498,20287
2012,Chhatrapati Sambhaji Nagar,Class 1,OBC,12404,10351
2012,Chhatrapati Sambhaji Nagar,Class 1,SC,7150,6307
2012,Chhatrapati Sambhaji Nagar,Class 1,ST,2547,2378
2012,Chhatrapati Sambhaji Nagar,Class 2,Overall,43862,37761
2012,Chhatrapati Sambhaji Nagar,Class 2,General,22636,19753
2012,Chhatrapati Sambhaji Nagar,Class 2,OBC,11835,9715
2012,Chhatrapati Sambhaji Nagar,Class 2,SC,6904,6061
2012,Chhatrapati Sambhaji Nagar,Class 2,ST,2487,2232
2012,Chhatrapati Sambhaji Nagar,Class 3,Overall,44289,38656
2012,Chhatrapati Sambhaji Nagar,Class 3,General,22768,19935
2012,Chhatrapati Sambhaji Nagar,Class 3,OBC,12134,10270
2012,Chhatrapati Sambhaji Nagar,Class 3,SC,6806,6214
2012,Chhatrapati Sambhaji Nagar,Class 3,ST,2581,2237
2012,Chhatrapati Sambhaji Nagar,Class 4,Overall,44378,39256
2012,Chhatrapati Sambhaji Nagar,Class 4,General,22133,19693
2012,Chhatrapati Sambhaji Nagar,Class 4,OBC,12542,10673
2012,Chhatrapati Sambhaji Nagar,Class 4,SC,7008,6440
2012,Chhatrapati Sambhaji Nagar,Class 4,ST,2695,2450
2012,Chhatrapati Sambhaji Nagar,Class 5,Overall,42891,37330
2012,Chhatrapati Sambhaji Nagar,Class 5,General,21321,18881
2012,Chhatrapati Sambhaji Nagar,Class 5,OBC,12336,10207
2012,Chhatrapati Sambhaji Nagar,Class 5,SC,6842,6088
2012,Chhatrapati Sambhaji Nagar,Class 5,ST,2392,2154
2012,Chhatrapati Sambhaji Nagar,Class 6,Overall,42035,35776
2012,Chhatrapati Sambhaji Nagar,Class 6,General,21061,18133
2012,Chhatrapati Sambhaji Nagar,Class 6,OBC,11917,9839
2012,Chhatrapati Sambhaji Nagar,Class 6,SC,6920,6047
2012,Chhatrapati Sambhaji Nagar,Class 6,ST,2137,1757
2012,Chhatrapati Sambhaji Nagar,Class 7,Overall,40324,34458
2012,Chhatrapati Sambhaji Nagar,Class 7,General,20247,17771
2012,Chhatrapati Sambhaji Nagar,Class 7,OBC,11685,9428
2012,Chhatrapati Sambhaji Nagar,Class 7,SC,6572,5820
2012,Chhatrapati Sambhaji Nagar,Class 7,ST,1820,1439
2012,Chhatrapati Sambhaji Nagar,Class 8,Overall,36991,30070
2012,Chhatrapati Sambhaji Nagar,Class 8,General,18401,15454
2012,Chhatrapati Sambhaji Nagar,Class 8,OBC,11135,8504
2012,Chhatrapati Sambhaji Nagar,Class 8,SC,5905,4999
