Year,District,Social Category,Gender,Pre-Primary,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12
2012,Kolhapur,Overall,Girls,6044,27670,27631,28452,28423,29051,28018,29350,28432,28295,26214,19632,17756
2012,Kolhapur,General,Total,9568,37360,37504,38546,38892,40297,39806,41522,40776,41920,38531,29056,25544
2012,Kolhapur,General,Boys,5642,20589,20401,20924,21419,22334,22509,23154,22921,23855,21526,15664,13451
2012,Kolhapur,General,Girls,3926,16771,17103,17622,17473,17963,17297,18368,17855,18065,17005,13392,12093
2012,Kolhapur,OBC,Total,3260,14256,13729,13911,14227,14660,14161,14260,14337,14021,12629,8725,7908
2012,Kolhapur,OBC,Boys,1822,7670,7483,7394,7658,8065,7881,7906,8026,8008,7170,4901,4230
2012,Kolhapur,OBC,Girls,1438,6586,6246,6517,6569,6595,6280,6354,6311,6013,5459,3824,3678
2012,Kolhapur,SC,Total,1459,8734,8574,8722,8948,9380,9282,9236,8994,9145,7700,5108,4159
2012,Kolhapur,SC,Boys,820,4610,4481,4607,4722,5019,4969,4759,4842,5038,4067,2742,2225
2012,Kolhapur,SC,Girls,639,4124,4093,4115,4226,4361,4313,4477,4152,4107,3633,2366,1934
2012,Kolhapur,ST,Total,95,410,442,444,376,309,316,326,260,268,261,126,100
2012,Kolhapur,ST,Boys,54,221,253,246,221,177,188,175,146,158,144,76,49
2012,Kolhapur,ST,Girls,41,189,189,198,155,132,128,151,114,110,117,50,51
2012,Latur,Overall,Total,9357,54894,51029,51938,52983,53927,52776,51203,45623,43754,40436,30339,27520
2012,Latur,Overall,Boys,5349,28990,26970,27380,28327,29097,28658,28012,25223,25169,23103,17058,15690
2012,Latur,Overall,Girls,4008,25904,24059,24558,24656,24830,24118,23191,20400,18585,17333,13281,11830
2012,Latur,General,Total,5768,25110,23319,23946,23846,24478,24039,23884,21705,21309,19457,15922,14671
2012,Latur,General,Boys,3338,13265,12377,12542,12760,13248,12976,12972,11950,12166,10708,8780,8058
2012,Latur,General,Girls,2430,11845,10942,11404,11086,11230,11063,10912,9755,9143,8749,7142,6613
2012,Latur,OBC,Total,1946,15986,14814,14977,15776,16025,15493,15232,13202,12659,11884,8277,7614
2012,Latur,OBC,Boys,1089,8540,7907,8053,8554,8847,8663,8539,7497,7513,7111,4807,4558
2012,Latur,OBC,Girls,857,7446,6907,6924,7222,7178,6830,6693,5705,5146,4773,3470,3056
2012,Latur,SC,Total,1469,11774,11110,11245,11546,11640,11372,10445,9059,8374,7851,5259,4463
2012,Latur,SC,Boys,812,6081,5750,5891,6054,5984,5946,5559,4845,4668,4522,2985,2609
2012,Latur,SC,Girls,657,5693,5360,5354,5492,5656,5426,4886,4214,3706,3329,2274,1854
