Year,District,Social Category,Gender,Primary (I-V),Upper Primary (VI-VIII),Secondary (IX-X)
2013,Nashik,SC,Overall,0.39,0.91,22.31
2013,Nashik,SC,Boys,0.19,0.0,24.48
2013,Nashik,SC,Girls,0.62,3.1,19.76
2013,Nashik,ST,Overall,2.23,6.19,22.8
2013,Nashik,ST,Boys,1.85,4.6,21.26
2013,Nashik,ST,Girls,2.63,8.01,24.74
2013,Parbhani,Overall,Overall,1.08,1.98,16.72
2013,Parbhani,Overall,Boys,1.05,0.67,14.85
2013,Parbhani,Overall,Girls,1.11,3.47,19.2
2013,Parbhani,General,Overall,2.19,4.72,20.31
2013,Parbhani,General,Boys,1.96,3.98,19.32
2013,Parbhani,General,Girls,2.42,5.56,21.53
2013,Parbhani,OBC,Overall,0.55,0.0,12.1
2013,Parbhani,OBC,Boys,0.75,0.0,9.05
2013,Parbhani,OBC,Girls,0.32,1.63,16.41
2013,Parbhani,SC,Overall,0.0,0.0,14.93
2013,Parbhani,SC,Boys,0.0,0.0,13.96
2013,Parbhani,SC,Girls,0.0,0.31,16.2
2013,Parbhani,ST,Overall,2.56,6.22,22.35
2013,Parbhani,ST,Boys,2.27,3.81,18.98
2013,Parbhani,ST,Girls,2.86,9.07,26.94
2013,Pune,Overall,Overall,0.0,0.0,15.75
2013,Pune,Overall,Boys,0.0,0.0,16.57
2013,Pune,Overall,Girls,0.0,0.98,14.78
2013,Pune,General,Overall,0.0,0.0,14.48
2013,Pune,General,Boys,0.0,0.0,15.98
2013,Pune,General,Girls,0.0,0.2,12.7
2013,Pune,OBC,Overall,0.0,0.0,15.09
2013,Pune,OBC,Boys,0.0,0.0,14.21
2013,Pune,OBC,Girls,0.0,2.12,16.17
2013,Pune,SC,Overall,0.0,0.0,20.44
2013,Pune,SC,Boys,0.0,0.0,21.62
2013,Pune,SC,Girls,0.0,0.53,19.08
2013,Pune,ST,Overall,2.24,2.64,19.43
2013,Pune,ST,Boys,1.66,0.0,20.13
2013,Pune,ST,Girls,2.87,5.89,18.58
2013,Raigad,Overall,Overall,0.47,0.04,18.66
2013,Raigad,Overall,Boys,0.3,0.0,20.28
2013,Raigad,Overall,Girls,0.65,1.11,16.81
2013,Raigad,General,Overall,1.94,0.0,17.42
2013,Raigad,General,Boys,1.9,0.0,19.57
2013,Raigad,General,Girls,1.98,0.59,14.99
2013,Raigad,OBC,Overall,0.0,0.0,16.45
2013,Raigad,OBC,Boys,0.0,0.0,17.76
2013,Raigad,OBC,Girls,0.0,0.0,15.0
2013,Raigad,SC,Overall,0.0,0.0,18.58
2013,Raigad,SC,Boys,0.0,0.0,19.53
2013,Raigad,SC,Girls,0.0,0.76,17.53
2013,Raigad,ST,Overall,5.27,11.28,39.6
2013,Raigad,ST,Boys,4.55,9.81,39.3
