Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2013,Amravati,Rural,Secondary School (VI-X),,1.0,0.0,140.0,0.0
2013,Amravati,Rural,Secondary School (I-X),,136.0,6.0,8.0,22.0
2013,Amravati,Rural,Higher Secondary School (I-XII),,108.0,6.0,9.0,5.0
2013,Amravati,Urban,Primary School (I-V),0.0,66.0,94.0,7.0,87.0
2013,Amravati,Urban,Upper Primary School (I-VIII),0.0,47.0,58.0,4.0,23.0
2013,Amravati,Urban,Secondary School (VI-X),0.0,0.0,0.0,22.0,0.0
2013,Amravati,Urban,Secondary School (I-X),0.0,57.0,11.0,1.0,23.0
2013,Amravati,Urban,Higher Secondary School (I-XII),0.0,59.0,8.0,0.0,5.0
2014,Amravati,Rural,Primary School (I-V),,31.0,939.0,2.0,69.0
2014,Amravati,Rural,Upper Primary School (I-VIII),,33.0,639.0,7.0,8.0
2014,Amravati,Rural,Secondary School (VI-X),,97.0,4.0,0.0,40.0
2014,Amravati,Rural,Secondary School (I-X),,140.0,6.0,8.0,19.0
2014,Amravati,Rural,Higher Secondary School (I-XII),,107.0,6.0,8.0,7.0
2014,Amravati,Urban,Primary School (I-V),0.0,61.0,92.0,7.0,103.0
2014,Amravati,Urban,Upper Primary School (I-VIII),0.0,48.0,58.0,4.0,23.0
2014,Amravati,Urban,Secondary School (VI-X),0.0,10.0,3.0,0.0,12.0
2014,Amravati,Urban,Secondary School (I-X),0.0,57.0,11.0,1.0,22.0
2014,Amravati,Urban,Higher Secondary School (I-XII),0.0,61.0,8.0,0.0,4.0
2015,Amravati,Rural,Primary School (I-V),,32.0,935.0,2.0,74.0
2015,Amravati,Rural,Upper Primary School (I-VIII),,32.0,639.0,7.0,11.0
2015,Amravati,Rural,Secondary School (VI-X),,100.0,4.0,1.0,37.0
2015,Amravati,Rural,Secondary School (I-X),,140.0,6.0,8.0,22.0
2015,Amravati,Rural,Higher Secondary School (I-XII),,110.0,6.0,8.0,4.0
2015,Amravati,Urban,Primary School (I-V),3.0,61.0,92.0,3.0,108.0
2015,Amravati,Urban,Upper Primary School (I-VIII),0.0,50.0,59.0,2.0,22.0
2015,Amravati,Urban,Secondary School (VI-X),0.0,10.0,3.0,0.0,11.0
2015,Amravati,Urban,Secondary School (I-X),0.0,57.0,11.0,1.0,22.0
2015,Amravati,Urban,Higher Secondary School (I-XII),0.0,61.0,8.0,0.0,4.0
2016,Amravati,Rural,Primary School (I-V),,32.0,932.0,3.0,82.0
