Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2012,Beed,Rural,Upper Primary School (I-VIII),,17.0,494.0,38.0,17.0
2012,Beed,Rural,Secondary School (VI-X),,40.0,5.0,5.0,31.0
2012,Beed,Rural,Secondary School (I-X),,159.0,42.0,11.0,52.0
2012,Beed,Rural,Higher Secondary School (I-XII),,122.0,0.0,4.0,12.0
2012,Beed,Urban,Primary School (I-V),,32.0,33.0,12.0,52.0
2012,Beed,Urban,Upper Primary School (I-VIII),,69.0,29.0,7.0,18.0
2012,Beed,Urban,Secondary School (VI-X),,10.0,1.0,1.0,17.0
2012,Beed,Urban,Secondary School (I-X),,39.0,9.0,4.0,14.0
2012,Beed,Urban,Higher Secondary School (I-XII),,18.0,1.0,2.0,2.0
2013,Beed,Rural,Primary School (I-V),0.0,28.0,1697.0,3.0,74.0
2013,Beed,Rural,Upper Primary School (I-VIII),0.0,44.0,514.0,3.0,25.0
2013,Beed,Rural,Secondary School (VI-X),0.0,1.0,0.0,81.0,0.0
2013,Beed,Rural,Secondary School (I-X),0.0,162.0,43.0,3.0,58.0
2013,Beed,Rural,Higher Secondary School (I-XII),0.0,131.0,0.0,0.0,7.0
2013,Beed,Urban,Primary School (I-V),1.0,40.0,38.0,0.0,53.0
2013,Beed,Urban,Upper Primary School (I-VIII),0.0,81.0,32.0,0.0,15.0
2013,Beed,Urban,Secondary School (VI-X),0.0,0.0,0.0,28.0,0.0
2013,Beed,Urban,Secondary School (I-X),0.0,44.0,11.0,1.0,16.0
2013,Beed,Urban,Higher Secondary School (I-XII),0.0,20.0,1.0,0.0,2.0
2014,Beed,Rural,Primary School (I-V),0.0,28.0,1915.0,4.0,89.0
2014,Beed,Rural,Upper Primary School (I-VIII),0.0,41.0,514.0,4.0,21.0
