Year,District,Social Category,Primary School (I-V),Upper Primary School (VI-VIII),Secondary School (IX-X),Higher Secondary School (XI-XII)
2014,Latur,ST,7774,4619,2614,1495
2014,Mumbai,Overall,211144,438445,323912,294649
2014,Mumbai,General,189450,365180,256833,237450
2014,Mumbai,OBC,11017,37228,34007,31890
2014,Mumbai,SC,9711,33229,30734,23076
2014,Mumbai,ST,966,2808,2338,2233
2014,Mumbai Suburban,Overall,729824,118316,27204,0
2014,Mumbai Suburban,General,605836,85533,19431,0
2014,Mumbai Suburban,OBC,55364,12587,3514,0
2014,Mumbai Suburban,SC,61999,18197,3902,0
2014,Mumbai Suburban,ST,6625,1999,357,0
2014,Nagpur,Overall,395874,236885,162299,122573
2014,Nagpur,General,75172,44780,28395,23892
2014,Nagpur,OBC,205071,124777,87309,66585
2014,Nagpur,SC,74755,45259,32478,24040
2014,Nagpur,ST,40876,22069,14117,8056
2014,Nanded,Overall,343631,191068,100354,58709
2014,Nanded,General,115411,61863,33370,22112
2014,Nanded,OBC,126545,69603,35964,19894
2014,Nanded,SC,69656,42090,22023,11865
2014,Nanded,ST,32019,17512,8997,4838
2014,Nandurbar,Overall,172762,88243,45877,28485
2014,Nandurbar,General,12521,7693,4803,3306
2014,Nandurbar,OBC,24693,15509,9897,8021
2014,Nandurbar,SC,4637,2939,1917,1374
2014,Nandurbar,ST,130911,62102,29260,15784
2014,Nashik,Overall,602264,341769,197519,124210
2014,Nashik,General,161856,100242,64954,45180
2014,Nashik,OBC,189423,105077,64813,42245
2014,Nashik,SC,56490,34519,21222,12044
2014,Nashik,ST,194495,101931,46530,24741
2014,Palghar,Overall,344523,194767,97289,57708
2014,Palghar,General,137294,72106,40851,26587
2014,Palghar,OBC,48108,31339,20111,13351
2014,Palghar,SC,9791,6137,3819,2699
2014,Palghar,ST,149330,85185,32508,15071
2014,Parbhani,Overall,202382,115174,61196,40389
2014,Parbhani,General,89773,49112,26666,18186
2014,Parbhani,OBC,73628,42045,22485,14882
2014,Parbhani,SC,32558,20454,10160,5952
2014,Parbhani,ST,6423,3563,1885,1369
2014,Pune,Overall,845769,486552,294514,208559
2014,Pune,General,449607,258835,162974,120152
2014,Pune,OBC,218081,123800,72541,51837
2014,Pune,SC,139642,82571,47510,29302
2014,Pune,ST,38439,21346,11489,7268
2014,Raigad,Overall,232457,137514,89401,57669
2014,Raigad,General,84994,48493,31824,21091
2014,Raigad,OBC,92409,59457,42797,29578
2014,Raigad,SC,16413,10011,7115,4292
2014,Raigad,ST,38641,19553,7665,2708
2014,Ratnagiri,Overall,115944,83999,58822,40225
2014,Ratnagiri,General,34285,23624,15992,11992
2014,Ratnagiri,OBC,70606,52344,37163,24514
2014,Ratnagiri,SC,8937,6927,5230,3517
2014,Ratnagiri,ST,2116,1104,437,202
2014,Sangli,Overall,223343,143934,93866,67531
2014,Sangli,General,108040,69886,48081,36977
2014,Sangli,OBC,82009,52338,32459,21818
2014,Sangli,SC,31812,21002,12976,8514
2014,Sangli,ST,1482,708,350,222
2014,Satara,Overall,221225,144219,96454,74369
2014,Satara,General,117761,77906,53999,43696
2014,Satara,OBC,72645,46153,29736,22050
2014,Satara,SC,27372,18347,11878,8141
2014,Satara,ST,3447,1813,841,482
2014,Sindhudurg,Overall,52389,38002,27608,22458
2014,Sindhudurg,General,28305,20711,15464,12759
2014,Sindhudurg,OBC,19879,14233,9921,7917
2014,Sindhudurg,SC,3635,2714,2022,1615
2014,Sindhudurg,ST,570,344,201,167
2014,Solapur,Overall,397490,242738,145350,88309
2014,Solapur,General,167586,102145,63826,40951
2014,Solapur,OBC,155731,95286,56278,34487
2014,Solapur,SC,65020,40547,23109,12214
2014,Solapur,ST,9153,4760,2137,657
2014,Thane,Overall,735616,412026,242685,137521
2014,Thane,General,435368,234849,139511,81833
2014,Thane,OBC,176593,104138,63469,35252
2014,Thane,SC,74035,44971,26788,14418
2014,Thane,ST,49620,28068,12917,6018
2014,Wardha,Overall,94734,62076,43403,32695
2014,Wardha,General,9005,5590,3746,2716
2014,Wardha,OBC,58866,38659,27099,20860
2014,Wardha,SC,14529,9832,7239,5806
2014,Wardha,ST,12334,7995,5319,3313
2014,Washim,Overall,111412,72293,46130,29508
2014,Washim,General,16257,10315,6071,3600
2014,Washim,OBC,63965,40944,27126,18161
2014,Washim,SC,21985,15503,10140,6455
2014,Washim,ST,9205,5531,2793,1292
2014,Yavatmal,Overall,244121,155384,91100,54945
2014,Yavatmal,General,33534,20137,11775,7481
2014,Yavatmal,OBC,133292,85060,50774,31361
2014,Yavatmal,SC,28400,19052,12111,7514
2014,Yavatmal,ST,48895,31135,16440,8589
2015,Ahilyanagar,Overall,399780,255327,156952,121809
2015,Ahilyanagar,General,176926,112581,74339,59760
2015,Ahilyanagar,OBC,121419,78480,48092,40208
2015,Ahilyanagar,SC,54299,36331,21984,14092
2015,Ahilyanagar,ST,47136,27935,12537,7749
2015,Akola,Overall,147676,97089,65023,49545
2015,Akola,General,39709,24503,14707,11440
2015,Akola,OBC,65069,43840,30573,24995
2015,Akola,SC,33771,23199,16597,11390
2015,Akola,ST,9127,5547,3146,1720
2015,Amravati,Overall,225604,144946,96517,70108
2015,Amravati,General,45514,27649,16578,10626
2015,Amravati,OBC,99656,65330,45977,36567
2015,Amravati,SC,37042,24680,18543,14493
2015,Amravati,ST,43392,27287,15419,8422
2015,Beed,Overall,277048,162621,94487,73429
2015,Beed,General,122882,71370,42588,34460
2015,Beed,OBC,105961,62317,35917,27524
2015,Beed,SC,41820,25367,14271,10361
2015,Beed,ST,6385,3567,1711,1084
2015,Bhandara,Overall,89887,58479,42891,36262
2015,Bhandara,General,3054,2179,1498,1090
2015,Bhandara,OBC,66350,42696,31126,26440
2015,Bhandara,SC,13611,9182,7203,6556
2015,Bhandara,ST,6872,4422,3064,2176
2015,Buldhana,Overall,235608,146492,91498,62556
2015,Buldhana,General,40497,26441,15857,10350
2015,Buldhana,OBC,133228,81806,52648,37281
2015,Buldhana,SC,46625,30525,19606,12828
2015,Buldhana,ST,15258,7720,3387,2097
2015,Chandrapur,Overall,167349,106473,74396,57108
2015,Chandrapur,General,14851,9122,5953,4962
2015,Chandrapur,OBC,92331,59352,42046,31787
2015,Chandrapur,SC,26825,17607,12745,10700
2015,Chandrapur,ST,33342,20392,13652,9659
2015,Chh. Sambhaji Nagar,Overall,423869,245818,138680,111393
2015,Chh. Sambhaji Nagar,General,217140,123126,68121,54473
2015,Chh. Sambhaji Nagar,OBC,116137,69940,41506,35144
2015,Chh. Sambhaji Nagar,SC,67048,39490,23413,17891
2015,Chh. Sambhaji Nagar,ST,23544,13262,5640,3885
2015,Dharashiv,Overall,137054,85253,52661,34692
2015,Dharashiv,General,68290,42702,27485,18729
2015,Dharashiv,OBC,42450,25253,15035,9583
