Year,District,Age Group,Gender,Primary,Middle,Matriculation/Secondary,Higher Secondary/ Intermediate/ Pre University/ Senior Secondary,Non technical diploma or certificate not equal to degree,Technical diploma or certificate not equal to degree,Graduate and above
2011,Gondia,0-6,Female,0,0,0,0,0,0,0
2011,Hingoli,0-6,Female,0,0,0,0,0,0,0
2011,Jalgaon,0-6,Female,0,0,0,0,0,0,0
2011,Jalna,0-6,Female,0,0,0,0,0,0,0
2011,Kolhapur,0-6,Female,0,0,0,0,0,0,0
2011,Latur,0-6,Female,0,0,0,0,0,0,0
2011,Mumbai City,0-6,Female,0,0,0,0,0,0,0
2011,Mumbai Suburban,0-6,Female,0,0,0,0,0,0,0
2011,Nagpur,0-6,Female,0,0,0,0,0,0,0
2011,Nanded,0-6,Female,0,0,0,0,0,0,0
2011,Nandurbar,0-6,Female,0,0,0,0,0,0,0
2011,Nashik,0-6,Female,0,0,0,0,0,0,0
2011,Parbhani,0-6,Female,0,0,0,0,0,0,0
2011,Pune,0-6,Female,0,0,0,0,0,0,0
2011,Raigad,0-6,Female,0,0,0,0,0,0,0
2011,Ratnagiri,0-6,Female,0,0,0,0,0,0,0
2011,Sangli,0-6,Female,0,0,0,0,0,0,0
2011,Satara,0-6,Female,0,0,0,0,0,0,0
2011,Sindhudurg,0-6,Female,0,0,0,0,0,0,0
2011,Solapur,0-6,Female,0,0,0,0,0,0,0
2011,Thane,0-6,Female,0,0,0,0,0,0,0
2011,Wardha,0-6,Female,0,0,0,0,0,0,0
2011,Washim,0-6,Female,0,0,0,0,0,0,0
2011,Yavatmal,0-6,Female,0,0,0,0,0,0,0
1991,Ahilyanagar,7,Male,0,0,0,0,0,0,0
1991,Amravati,7,Male,0,0,0,0,0,0,0
1991,Beed,7,Male,0,0,0,0,0,0,0
1991,Buldhana,7,Male,0,0,0,0,0,0,0
1991,Chandrapur,7,Male,0,0,0,0,0,0,0
1991,Chhatrapati Sambhaji Nagar,7,Male,0,0,0,0,0,0,0
1991,Dharashiv,7,Male,0,0,0,0,0,0,0
1991,Gadchiroli,7,Male,0,0,0,0,0,0,0
1991,Jalgaon,7,Male,0,0,0,0,0,0,0
1991,Jalna,7,Male,0,0,0,0,0,0,0
1991,Kolhapur,7,Male,0,0,0,0,0,0,0
