Year,District,Select School Management Type,Social Category,Female,Male
2012,Mumbai City,Government Aided,SC,982.0,827.0
2012,Mumbai City,Government Aided,ST,246.0,263.0
2012,Mumbai City,Government Aided,ORC,,
2012,Mumbai City,Government Aided,Others,,
2012,Mumbai City,Private Unaided,General,9075.0,2331.0
2012,Mumbai City,Private Unaided,OBC,210.0,164.0
2012,Mumbai City,Private Unaided,SC,213.0,142.0
2012,Mumbai City,Private Unaided,ST,29.0,18.0
2012,Mumbai City,Private Unaided,ORC,,
2012,Mumbai City,Private Unaided,Others,,
2012,Mumbai City,Others,General,475.0,159.0
2012,Mumbai City,Others,OBC,24.0,29.0
2012,Mumbai City,Others,SC,33.0,33.0
2012,Mumbai City,Others,ST,8.0,10.0
2012,Mumbai City,Others,ORC,,
2012,Mumbai City,Others,Others,,
2012,Mumbai Suburban,Government Aided,General,2282.0,343.0
2012,Mumbai Suburban,Government Aided,OBC,554.0,119.0
2012,Mumbai Suburban,Government Aided,SC,314.0,50.0
2012,Mumbai Suburban,Government Aided,ST,64.0,17.0
2012,Mumbai Suburban,Government Aided,ORC,9.0,2.0
2012,Mumbai Suburban,Government Aided,Others,71.0,8.0
2012,Mumbai Suburban,Private Unaided,General,5813.0,426.0
2012,Mumbai Suburban,Private Unaided,OBC,336.0,81.0
2012,Mumbai Suburban,Private Unaided,SC,230.0,29.0
2012,Mumbai Suburban,Private Unaided,ST,72.0,10.0
2012,Mumbai Suburban,Private Unaided,ORC,7.0,
2012,Mumbai Suburban,Private Unaided,Others,208.0,23.0
2012,Mumbai Suburban,Others,General,5030.0,2670.0
2012,Mumbai Suburban,Others,OBC,1833.0,1391.0
2012,Mumbai Suburban,Others,SC,1021.0,525.0
2012,Mumbai Suburban,Others,ST,279.0,285.0
2012,Mumbai Suburban,Others,ORC,6.0,6.0
2012,Mumbai Suburban,Others,Others,280.0,138.0
2012,Nagpur,Government Aided,General,2878.0,1400.0
2012,Nagpur,Government Aided,OBC,3390.0,4147.0
2012,Nagpur,Government Aided,SC,1046.0,1166.0
