Year,District,Taluka,Kharif,Rabi
2015,Buldhana,Sangrampur,7451.0,4430.0
2015,Buldhana,Shegaon,6200.0,3950.0
2015,Buldhana,Nandura,5600.0,3780.0
2015,Buldhana,Malkapur,7500.0,5540.0
2015,Buldhana,Motala,6960.0,3800.0
2015,Buldhana,Khamgaon,7800.0,4700.0
2015,Buldhana,Mehkar,8630.0,6650.0
2015,Buldhana,Chikhali,9123.0,6170.0
2015,Buldhana,Buldhana,8461.0,5193.0
2015,Buldhana,Deulgaon Raja,8676.0,5100.0
2015,Buldhana,Sindkhed Raja,8100.0,5130.0
2015,Buldhana,Lonar,5600.0,4450.0
