Year,District,Taluka,Total Irrigation Wells,Wells In Use With Diesel Pump,Wells In Use With Electric Pump,Irrigation Wells Not in Use
2016,Beed,Majalgaon,2517,23.0,2394.0,100
2016,Beed,Wadwani,650,105.0,510.0,35
2016,Beed,Beed,8266,355.0,7500.0,411
2016,Beed,Cage,4232,272.0,3210.0,750
2016,Beed,Dharur,1780,30.0,1500.0,250
2016,Beed,Parli,1930,0.0,980.0,950
2016,Beed,Ambajogai,10753,25.0,9880.0,848
2017,Beed,Ashti,565,115.0,400.0,50
2017,Beed,Patoda,3020,70.0,2600.0,350
2017,Beed,Shirur Kasar,447,0.0,400.0,47
2017,Beed,Gevrai,570,25.0,500.0,45
2017,Beed,Majalgaon,2517,23.0,2394.0,100
2017,Beed,Wadwani,650,105.0,510.0,35
2017,Beed,Beed,8266,355.0,7500.0,411
2017,Beed,Cage,4232,272.0,3210.0,750
2017,Beed,Dharur,1780,30.0,1500.0,250
2017,Beed,Parli,1930,0.0,980.0,950
2017,Beed,Ambajogai,10753,25.0,9880.0,848
2018,Beed,Ashti,565,115.0,400.0,50
2018,Beed,Patoda,3020,70.0,2600.0,350
2018,Beed,Shirur Kasar,447,0.0,400.0,47
2018,Beed,Gevrai,570,25.0,500.0,45
2018,Beed,Majalgaon,2517,23.0,2394.0,100
2018,Beed,Wadwani,650,105.0,510.0,35
2018,Beed,Beed,8266,355.0,7500.0,411
2018,Beed,Cage,4232,272.0,3210.0,750
2018,Beed,Dharur,1780,30.0,1500.0,250
2018,Beed,Parli,1930,0.0,980.0,950
2018,Beed,Ambajogai,10753,25.0,9880.0,848
2019,Beed,Ashti,565,115.0,400.0,50
2019,Beed,Patoda,3020,70.0,2600.0,350
2019,Beed,Shirur Kasar,447,0.0,400.0,47
2019,Beed,Gevrai,570,25.0,500.0,45
2019,Beed,Majalgaon,2517,23.0,2394.0,100
2019,Beed,Wadwani,650,105.0,510.0,35
2019,Beed,Beed,8266,355.0,7500.0,411
2019,Beed,Cage,4232,272.0,3210.0,750
2019,Beed,Dharur,1780,30.0,1500.0,250
2019,Beed,Parli,1930,0.0,980.0,950
2019,Beed,Ambajogai,10753,25.0,9880.0,848
2020,Beed,Ashti,565,115.0,400.0,50
2020,Beed,Patoda,3020,70.0,2600.0,350
2020,Beed,Shirur Kasar,447,0.0,400.0,47
2020,Beed,Gevrai,570,25.0,500.0,45
2020,Beed,Majalgaon,2517,23.0,2394.0,100
2020,Beed,Wadwani,650,105.0,510.0,35
2020,Beed,Beed,8266,355.0,7500.0,411
2020,Beed,Cage,4232,272.0,3210.0,750
2020,Beed,Dharur,1780,30.0,1500.0,250
2020,Beed,Parli,1930,0.0,980.0,950
2020,Beed,Ambajogai,10753,25.0,9880.0,848
2021,Beed,Ashti,565,115.0,400.0,50
2021,Beed,Patoda,3020,70.0,2600.0,350
2021,Beed,Shirur Kasar,447,0.0,400.0,47
2021,Beed,Gevrai,570,25.0,500.0,45
2021,Beed,Majalgaon,2517,23.0,2394.0,100
2021,Beed,Wadwani,650,105.0,510.0,35
2021,Beed,Beed,8266,355.0,7500.0,411
2021,Beed,Cage,4232,272.0,3210.0,750
2021,Beed,Dharur,1780,30.0,1500.0,250
2021,Beed,Parli,1930,0.0,980.0,950
2021,Beed,Ambajogai,10753,25.0,9880.0,848
2012,Bhandara,Tumsar,2968,731.0,2442.0,110
2012,Bhandara,Mohadi,2610,423.0,1575.0,158
2012,Bhandara,Bhandara,1593,189.0,565.0,528
2012,Bhandara,Sakoli,1714,120.0,920.0,320
2012,Bhandara,Lakhani,2058,60.0,483.0,24
2012,Bhandara,Pavani,1067,582.0,3455.0,280
2012,Bhandara,Lakhandur,3335,108.0,3542.0,190
2013,Bhandara,Tumsar,2807,660.0,2230.0,113
2013,Bhandara,Mohadi,2639,330.0,1618.0,106
2013,Bhandara,Bhandara,1666,433.0,1626.0,335
2013,Bhandara,Sakoli,2053,293.0,1760.0,249
2013,Bhandara,Lakhani,2514,61.0,1651.0,62
2013,Bhandara,Pavani,4500,765.0,4059.0,371
2013,Bhandara,Lakhandur,3157,55.0,1815.0,689
2014,Bhandara,Tumsar,2807,660.0,2230.0,113
2014,Bhandara,Mohadi,2639,330.0,1618.0,106
2014,Bhandara,Bhandara,1666,433.0,1626.0,335
2014,Bhandara,Sakoli,2053,293.0,1760.0,249
2014,Bhandara,Lakhani,2514,61.0,1651.0,62
2014,Bhandara,Pavani,4500,765.0,4059.0,371
2014,Bhandara,Lakhandur,3157,55.0,1815.0,689
2015,Bhandara,Tumsar,2807,660.0,2230.0,113
2015,Bhandara,Mohadi,2639,330.0,1618.0,106
2015,Bhandara,Bhandara,1666,433.0,1626.0,335
2015,Bhandara,Sakoli,2053,293.0,1760.0,249
