Year,District,Taluka,Small (Local),Small (State),Medium,Big
2020,Beed,Ashti,11.0,45.0,6.0,0
2020,Beed,Beed,2.0,26.0,1.0,0
2020,Beed,Cage,0.0,19.0,1.0,1
2020,Beed,Dharur,0.0,8.0,1.0,0
2020,Beed,Gevrai,1.0,14.0,0.0,0
2020,Beed,Majalgaon,0.0,9.0,0.0,1
2020,Beed,Parli,1.0,12.0,3.0,0
2020,Beed,Patoda,6.0,18.0,2.0,0
2020,Beed,Shirur Kasar,1.0,18.0,1.0,0
2020,Beed,Wadwani,0.0,11.0,1.0,0
2021,Beed,Ambajogai,1.0,14.0,0.0,0
2021,Beed,Ashti,11.0,45.0,6.0,0
2021,Beed,Beed,2.0,26.0,1.0,0
2021,Beed,Cage,0.0,19.0,1.0,1
2021,Beed,Dharur,0.0,8.0,1.0,0
2021,Beed,Gevrai,1.0,14.0,0.0,0
2021,Beed,Majalgaon,0.0,9.0,0.0,1
2021,Beed,Parli,1.0,12.0,3.0,0
2021,Beed,Patoda,6.0,18.0,2.0,0
2021,Beed,Shirur Kasar,1.0,18.0,1.0,0
2021,Beed,Wadwani,0.0,11.0,1.0,0
2012,Bhandara,Bhandara,0.0,7.0,,
2012,Bhandara,Lakhandur,0.0,6.0,,
2012,Bhandara,Lakhani,0.0,9.0,,
2012,Bhandara,Mohadi,1.0,8.0,2.0,
2012,Bhandara,Pavani,0.0,4.0,,1
2012,Bhandara,Sakoli,0.0,18.0,,
2012,Bhandara,Tumsar,5.0,7.0,2.0,1
2013,Bhandara,Bhandara,0.0,7.0,,
2013,Bhandara,Lakhandur,0.0,6.0,,
2013,Bhandara,Lakhani,0.0,9.0,,
2013,Bhandara,Mohadi,1.0,8.0,2.0,
2013,Bhandara,Pavani,0.0,4.0,,1
2013,Bhandara,Sakoli,0.0,18.0,,
2013,Bhandara,Tumsar,5.0,7.0,2.0,1
2014,Bhandara,Bhandara,0.0,7.0,,
2014,Bhandara,Lakhandur,0.0,6.0,,
2014,Bhandara,Lakhani,0.0,9.0,,
2014,Bhandara,Mohadi,1.0,8.0,2.0,
2014,Bhandara,Pavani,0.0,4.0,,1
2014,Bhandara,Sakoli,0.0,18.0,,
2014,Bhandara,Tumsar,5.0,7.0,2.0,1
2015,Bhandara,Bhandara,0.0,7.0,,
2015,Bhandara,Lakhandur,0.0,6.0,,
2015,Bhandara,Lakhani,0.0,9.0,,
2015,Bhandara,Mohadi,1.0,8.0,2.0,
2015,Bhandara,Pavani,0.0,4.0,,1
2015,Bhandara,Sakoli,0.0,18.0,,
2015,Bhandara,Tumsar,5.0,7.0,2.0,1
2016,Bhandara,Bhandara,0.0,7.0,,
2016,Bhandara,Lakhandur,4.0,6.0,0.0,0
2016,Bhandara,Lakhani,0.0,9.0,,
2016,Bhandara,Mohadi,1.0,8.0,2.0,0
2016,Bhandara,Pavani,0.0,4.0,,1
2016,Bhandara,Sakoli,0.0,18.0,,
2016,Bhandara,Tumsar,5.0,7.0,2.0,1
2017,Bhandara,Bhandara,0.0,7.0,,
2017,Bhandara,Lakhandur,4.0,6.0,0.0,0
2017,Bhandara,Lakhani,0.0,9.0,,
2017,Bhandara,Mohadi,1.0,8.0,2.0,
2017,Bhandara,Pavani,0.0,4.0,,1
2017,Bhandara,Sakoli,0.0,18.0,,
2017,Bhandara,Tumsar,5.0,7.0,2.0,1
2018,Bhandara,Bhandara,20.0,7.0,,
2018,Bhandara,Lakhandur,4.0,6.0,,
2018,Bhandara,Lakhani,13.0,9.0,,
2018,Bhandara,Mohadi,21.0,8.0,2.0,
