District,Year,Type of Court,Regular,Miscellaneous,All Original Cases
Bhandara,2016,Consumer Forum,149.0,4.0,153.0
Bhandara,2016,Criminal Court,5618.0,1883.0,751.0
Bhandara,2016,District Magistrate And Executive Magistrate,,9.0,9.0
Bhandara,2016,Family Court,,,
Bhandara,2016,Industrial Court,,63.0,63.0
Bhandara,2016,Labor Court,162.0,38.0,2.0
Bhandara,2016,Public Court,412.0,,412.0
Bhandara,2017,Civil Court,,817.0,817.0
Bhandara,2017,Consumer Forum,112.0,22.0,134.0
Bhandara,2017,Criminal Court,1625.0,218.0,1285.0
Bhandara,2017,District Magistrate And Executive Magistrate,,12.0,12.0
Bhandara,2017,"Family Court
",,,
Bhandara,2017,Industrial Court,,14.0,14.0
Bhandara,2017,Labor Court,222.0,88.0,31.0
Bhandara,2017,Public Court,,,
Bhandara,2018,Civil Court,116.0,771.0,1931.0
Bhandara,2018,Consumer Forum,211.0,14.0,315.0
Bhandara,2018,Criminal Court,8936.0,245.0,1981.0
Bhandara,2018,District Magistrate And Executive Magistrate,,,
Bhandara,2018,"Family Court
",,,
Bhandara,2018,Industrial Court,,15.0,15.0
Bhandara,2018,Labor Court,147.0,49.0,196.0
Bhandara,2018,Public Court,,,
Bhandara,2019,Civil Court,122.0,849.0,1871.0
Bhandara,2019,Consumer Forum,212.0,117.0,329.0
Bhandara,2019,Criminal Court,7823.0,2143.0,9966.0
Bhandara,2019,District Magistrate And Executive Magistrate,,,
Bhandara,2019,"Family Court
",,,
Bhandara,2019,Industrial Court,,14.0,14.0
Bhandara,2019,Labor Court,83.0,36.0,119.0
Bhandara,2019,Public Court,,,
Bhandara,2020,Civil Court,351.0,28.0,631.0
Bhandara,2020,Consumer Forum,255.0,126.0,381.0
Bhandara,2020,Criminal Court,1532.0,1562.0,394.0
Bhandara,2020,District Magistrate And Executive Magistrate,1785.0,,1785.0
Bhandara,2020,"Family Court
",,,
Bhandara,2020,Industrial Court,,1.0,1.0
Bhandara,2020,Labor Court,6.0,9.0,15.0
Bhandara,2020,Public Court,,,
Bhandara,2021,Civil Court,,86.0,86.0
Bhandara,2021,Consumer Forum,188.0,43.0,231.0
Bhandara,2021,Criminal Court,,1696.0,1696.0
Bhandara,2021,District Magistrate And Executive Magistrate,1189.0,,1189.0
Bhandara,2021,"Family Court
",,181.0,181.0
Bhandara,2021,Industrial Court,,19.0,19.0
Bhandara,2021,Labor Court,,25.0,25.0
Bhandara,2021,Public Court,,,
Buldhana,2013,Civil Court,133.0,3272.0,435.0
Buldhana,2013,Consumer Forum,376.0,1.0,476.0
Buldhana,2013,Criminal Court,724.0,23439.0,24163.0
Buldhana,2013,District Magistrate And Executive Magistrate,3495.0,,3495.0
Buldhana,2013,"Family Court
",,,
Buldhana,2013,Industrial Court,38.0,31.0,69.0
Buldhana,2013,Labor Court,,,
Buldhana,2013,Public Court,6517.0,,6517.0
Buldhana,2014,Civil Court,133.0,3272.0,435.0
Buldhana,2014,Consumer Forum,,,
Buldhana,2014,Criminal Court,724.0,23439.0,24163.0
Buldhana,2014,District Magistrate And Executive Magistrate,,7859.0,7859.0
Buldhana,2014,"Family Court
",,,
Buldhana,2014,Industrial Court,698.0,76.0,774.0
Buldhana,2014,Labor Court,12.0,13.0,115.0
Buldhana,2014,Public Court,,,
Buldhana,2015,Civil Court,3599.0,85.0,444.0
Buldhana,2015,Consumer Forum,221.0,62.0,283.0
Buldhana,2015,Criminal Court,18813.0,3751.0,22564.0
Buldhana,2015,District Magistrate And Executive Magistrate,,8488.0,8488.0
Buldhana,2015,"Family Court
",,,
Buldhana,2015,Industrial Court,54.0,6.0,6.0
Buldhana,2015,Labor Court,361.0,27.0,388.0
Buldhana,2015,Public Court,,,
Buldhana,2016,Civil Court,4166.0,889.0,555.0
Buldhana,2016,Consumer Forum,44.0,3.0,47.0
Buldhana,2016,Criminal Court,24194.0,4213.0,2847.0
Buldhana,2016,District Magistrate And Executive Magistrate,,9233.0,9233.0
Buldhana,2016,Family Court,,,
Buldhana,2016,Industrial Court,21.0,,21.0
Buldhana,2016,Labor Court,99.0,5.0,149.0
Buldhana,2016,Public Court,,,
Buldhana,2017,Civil Court,3731.0,125.0,4756.0
Buldhana,2017,Consumer Forum,,3.0,3.0
Buldhana,2017,Criminal Court,,49.0,49.0
Buldhana,2017,District Magistrate And Executive Magistrate,,822.0,822.0
Buldhana,2017,"Family Court
",,,
Buldhana,2017,Industrial Court,53.0,17.0,7.0
Buldhana,2017,Labor Court,,25.0,25.0
Buldhana,2017,Public Court,,,
Buldhana,2018,Civil Court,,884.0,884.0
