Year,District,Taluka,Select Type of Police Establishment,Number
2021,Jalna,Jaffrabad,Police Stations,2
2021,Jalna,Jalna,Police Stations,6
2021,Jalna,Badnapur,Police Stations,1
2021,Jalna,Ambad,Police Stations,2
2021,Jalna,Ghansawangi,Police Stations,1
2021,Jalna,Partur,Police Stations,2
2021,Jalna,Mantha,Police Stations,1
2018,Kolhapur,Shahuwadi,Police Stations,1
2018,Kolhapur,Panhala,Police Stations,3
2018,Kolhapur,Hatkanangale,Police Stations,7
2018,Kolhapur,Shirol,Police Stations,3
2018,Kolhapur,Karveer,Police Stations,8
2018,Kolhapur,Gaganbavada,Police Stations,1
2018,Kolhapur,Radhanagari,Police Stations,1
2018,Kolhapur,Kagal,Police Stations,2
2018,Kolhapur,Bhudargad,Police Stations,1
2018,Kolhapur,Ajara,Police Stations,1
2018,Kolhapur,Gadhinglaj,Police Stations,2
2018,Kolhapur,Chandgad,Police Stations,1
2019,Kolhapur,Shahuwadi,Police Stations,1
2019,Kolhapur,Panhala,Police Stations,3
2019,Kolhapur,Hatkanangale,Police Stations,7
2019,Kolhapur,Shirol,Police Stations,3
2019,Kolhapur,Karveer,Police Stations,8
2019,Kolhapur,Gaganbavada,Police Stations,1
2019,Kolhapur,Radhanagari,Police Stations,1
2019,Kolhapur,Kagal,Police Stations,2
2019,Kolhapur,Bhudargad,Police Stations,1
2019,Kolhapur,Ajara,Police Stations,1
2019,Kolhapur,Gadhinglaj,Police Stations,2
2019,Kolhapur,Chandgad,Police Stations,1
2020,Kolhapur,Shahuwadi,Police Stations,1
2020,Kolhapur,Panhala,Police Stations,3
2020,Kolhapur,Hatkanangale,Police Stations,7
2020,Kolhapur,Shirol,Police Stations,3
2020,Kolhapur,Karveer,Police Stations,8
2020,Kolhapur,Gaganbavada,Police Stations,1
2020,Kolhapur,Radhanagari,Police Stations,1
2020,Kolhapur,Kagal,Police Stations,2
2020,Kolhapur,Bhudargad,Police Stations,1
2020,Kolhapur,Ajara,Police Stations,1
2020,Kolhapur,Gadhinglaj,Police Stations,2
2020,Kolhapur,Chandgad,Police Stations,1
2021,Kolhapur,Shahuwadi,Police Stations,1
2021,Kolhapur,Panhala,Police Stations,3
2021,Kolhapur,Hatkanangale,Police Stations,7
2021,Kolhapur,Shirol,Police Stations,3
2021,Kolhapur,Karveer,Police Stations,8
2021,Kolhapur,Gaganbavada,Police Stations,1
