District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Beed,2014,Labor Court,,,
Beed,2014,Public Court,173.0,72.0,245.0
Beed,2015,Civil Court,1179.0,1163.0,2342.0
Beed,2015,Consumer Forum,,,
Beed,2015,Criminal Court,199.0,168.0,2779.0
Beed,2015,District Magistrate And Executive Magistrate,,,
Beed,2015,"Family Court
",,,
Beed,2015,Industrial Court,,,
Beed,2015,Labor Court,,,
Beed,2015,Public Court,173.0,72.0,245.0
Beed,2016,Civil Court,1846.0,1572.0,3418.0
Beed,2016,Consumer Forum,,,
Beed,2016,Criminal Court,99.0,1638.0,2547.0
Beed,2016,District Magistrate And Executive Magistrate,,,
Beed,2016,Family Court,,,
Beed,2016,Industrial Court,,,
Beed,2016,Labor Court,,,
Beed,2016,Public Court,67.0,1.0,68.0
Beed,2017,Civil Court,1977.0,131.0,3278.0
Beed,2017,Consumer Forum,,,
Beed,2017,Criminal Court,837.0,1659.0,2496.0
Beed,2017,District Magistrate And Executive Magistrate,,,
Beed,2017,"Family Court
",,,
Beed,2017,Industrial Court,,,
Beed,2017,Labor Court,,,
Beed,2017,Public Court,37.0,4.0,41.0
Beed,2018,Civil Court,1187.0,1786.0,2973.0
Beed,2018,Consumer Forum,,,
Beed,2018,Criminal Court,682.0,2285.0,2967.0
Beed,2018,District Magistrate And Executive Magistrate,,,
Beed,2018,"Family Court
",,,
Beed,2018,Industrial Court,,,
Beed,2018,Labor Court,,,
Beed,2018,Public Court,118.0,,118.0
Beed,2019,Civil Court,126.0,826.0,1852.0
Beed,2019,Consumer Forum,,,
Beed,2019,Criminal Court,863.0,1783.0,2646.0
Beed,2019,District Magistrate And Executive Magistrate,,,
Beed,2019,"Family Court
",,,
Beed,2019,Industrial Court,2.0,,2.0
Beed,2019,Labor Court,,,
Beed,2019,Public Court,3.0,,3.0
Beed,2020,Civil Court,329.0,32.0,649.0
Beed,2020,Consumer Forum,,,
Beed,2020,Criminal Court,279.0,2258.0,2537.0
Beed,2020,District Magistrate And Executive Magistrate,,,
Beed,2020,"Family Court
",,,
Beed,2020,Industrial Court,,,
Beed,2020,Labor Court,,,
Beed,2020,Public Court,19.0,,19.0
Beed,2021,Civil Court,236.0,152.0,1288.0
Beed,2021,Consumer Forum,,,
Beed,2021,Criminal Court,296.0,255.0,2846.0
Beed,2021,District Magistrate And Executive Magistrate,,,
Beed,2021,"Family Court
",,,
Beed,2021,Industrial Court,,,
Beed,2021,Labor Court,,,
Beed,2021,Public Court,158.0,16.0,318.0
Bhandara,2012,Civil Court,49.0,29.0,78.0
Bhandara,2012,Consumer Forum,,,
Bhandara,2012,Criminal Court,36.0,47.0,83.0
Bhandara,2012,District Magistrate And Executive Magistrate,26.0,,26.0
Bhandara,2012,Family Court,,,
Bhandara,2012,Industrial Court,123.0,,123.0
Bhandara,2012,Labor Court,,,
Bhandara,2012,Public Court,,,
Bhandara,2013,Civil Court,41.0,25.0,66.0
Bhandara,2013,Consumer Forum,,,
Bhandara,2013,Criminal Court,44.0,4.0,84.0
Bhandara,2013,District Magistrate And Executive Magistrate,215.0,,215.0
Bhandara,2013,"Family Court
",,,
Bhandara,2013,Industrial Court,7.0,,7.0
Bhandara,2013,Labor Court,,,
Bhandara,2013,Public Court,,,
Bhandara,2014,Civil Court,113.0,52.0,165.0
Bhandara,2014,Consumer Forum,,,
Bhandara,2014,Criminal Court,9.0,41.0,131.0
Bhandara,2014,District Magistrate And Executive Magistrate,198.0,,198.0
Bhandara,2014,"Family Court
",,,
Bhandara,2014,Industrial Court,258.0,,258.0
Bhandara,2014,Labor Court,,,
Bhandara,2014,Public Court,,,
Bhandara,2015,Civil Court,23.0,62.0,265.0
Bhandara,2015,Consumer Forum,,,
Bhandara,2015,Criminal Court,114.0,43.0,157.0
Bhandara,2015,District Magistrate And Executive Magistrate,26.0,,26.0
Bhandara,2015,"Family Court
",,,
Bhandara,2015,Industrial Court,162.0,,162.0
Bhandara,2015,Labor Court,,,
Bhandara,2015,Public Court,,,
Bhandara,2016,Civil Court,226.0,67.0,293.0
Bhandara,2016,Consumer Forum,,,
Bhandara,2016,Criminal Court,72.0,71.0,143.0
Bhandara,2016,District Magistrate And Executive Magistrate,,,
Bhandara,2016,Family Court,,,
Bhandara,2016,Industrial Court,154.0,2.0,156.0
Bhandara,2016,Labor Court,,,
Bhandara,2016,Public Court,,,
Bhandara,2017,Civil Court,156.0,59.0,215.0
Bhandara,2017,Consumer Forum,,,
Bhandara,2017,Criminal Court,94.0,14.0,198.0
Bhandara,2017,District Magistrate And Executive Magistrate,,,
Bhandara,2017,"Family Court
",,,
Bhandara,2017,Industrial Court,85.0,,85.0
Bhandara,2017,Labor Court,,,
Bhandara,2017,Public Court,,,
Bhandara,2018,Civil Court,16.0,44.0,24.0
Bhandara,2018,Consumer Forum,,,
Bhandara,2018,Criminal Court,7.0,59.0,129.0
Bhandara,2018,District Magistrate And Executive Magistrate,,,
Bhandara,2018,"Family Court
",,,
Bhandara,2018,Industrial Court,57.0,,57.0
Bhandara,2018,Labor Court,,,
