Year,District,Taluka,Establishment,Number of Officers/Employees
2019,Chandrapur,Savali,Outposts,12
2019,Chandrapur,Sindevahi,Outposts,4
2019,Chandrapur,Bhadravati,Outposts,10
2019,Chandrapur,Chandrapur,Outposts,8
2019,Chandrapur,Mul,Outposts,9
2019,Chandrapur,Ponbhurna,Outposts,
2019,Chandrapur,Ballarpur,Outposts,9
2019,Chandrapur,Korpana,Outposts,
2019,Chandrapur,Rajura,Outposts,
2019,Chandrapur,Gondpipari,Outposts,4
2019,Chandrapur,Jivati,Outposts,
2020,Chandrapur,Varora,Outposts,6
2020,Chandrapur,Chimur,Outposts,10
2020,Chandrapur,Nagbhid,Outposts,
2020,Chandrapur,Bramhapuri,Outposts,5
2020,Chandrapur,Savali,Outposts,7
2020,Chandrapur,Sindevahi,Outposts,6
2020,Chandrapur,Bhadravati,Outposts,10
2020,Chandrapur,Chandrapur,Outposts,9
2020,Chandrapur,Mul,Outposts,5
2020,Chandrapur,Ponbhurna,Outposts,
2020,Chandrapur,Ballarpur,Outposts,12
2020,Chandrapur,Korpana,Outposts,
2020,Chandrapur,Rajura,Outposts,
2020,Chandrapur,Gondpipari,Outposts,7
2020,Chandrapur,Jivati,Outposts,
2021,Chandrapur,Varora,Outposts,6
2021,Chandrapur,Chimur,Outposts,10
2021,Chandrapur,Nagbhid,Outposts,
2021,Chandrapur,Bramhapuri,Outposts,5
2021,Chandrapur,Savali,Outposts,7
2021,Chandrapur,Sindevahi,Outposts,6
2021,Chandrapur,Bhadravati,Outposts,10
2021,Chandrapur,Chandrapur,Outposts,9
2021,Chandrapur,Mul,Outposts,5
2021,Chandrapur,Ponbhurna,Outposts,
2021,Chandrapur,Ballarpur,Outposts,12
2021,Chandrapur,Korpana,Outposts,
2021,Chandrapur,Rajura,Outposts,
2021,Chandrapur,Gondpipari,Outposts,7
2021,Chandrapur,Jivati,Outposts,
2018,Dhule,Shirpur,Outposts,
2018,Dhule,Shindkheda,Outposts,8
2018,Dhule,Sakri,Outposts,7
2018,Dhule,Dhule,Outposts,25
2019,Dhule,Shirpur,Outposts,3
2019,Dhule,Shindkheda,Outposts,11
2019,Dhule,Sakri,Outposts,8
2019,Dhule,Dhule,Outposts,30
2020,Dhule,Shirpur,Outposts,3
2020,Dhule,Shindkheda,Outposts,11
2020,Dhule,Sakri,Outposts,8
2020,Dhule,Dhule,Outposts,30
2021,Dhule,Shirpur,Outposts,6
2021,Dhule,Shindkheda,Outposts,5
2021,Dhule,Sakri,Outposts,10
2021,Dhule,Dhule,Outposts,25
2018,Gadchiroli,Desaiganj,Outposts,
2018,Gadchiroli,Aarmori,Outposts,
2018,Gadchiroli,Kurkheda,Outposts,105
2018,Gadchiroli,Korachi,Outposts,98
2018,Gadchiroli,Dhanora,Outposts,313
2018,Gadchiroli,Gadchiroli,Outposts,46
2018,Gadchiroli,Chomoshi,Outposts,80
2018,Gadchiroli,Mulchera,Outposts,
2018,Gadchiroli,Etapalli,Outposts,308
2018,Gadchiroli,Bhamragad,Outposts,159
2018,Gadchiroli,Aheri,Outposts,75
2018,Gadchiroli,Sironcha,Outposts,54
2019,Gadchiroli,Desaiganj,Outposts,
2019,Gadchiroli,Aarmori,Outposts,
2019,Gadchiroli,Kurkheda,Outposts,59
2019,Gadchiroli,Korachi,Outposts,179
2019,Gadchiroli,Dhanora,Outposts,358
2019,Gadchiroli,Gadchiroli,Outposts,51
2019,Gadchiroli,Chomoshi,Outposts,98
2019,Gadchiroli,Mulchera,Outposts,
2019,Gadchiroli,Etapalli,Outposts,335
2019,Gadchiroli,Bhamragad,Outposts,185
2019,Gadchiroli,Aheri,Outposts,81
2019,Gadchiroli,Sironcha,Outposts,56
2020,Gadchiroli,Desaiganj,Outposts,
2020,Gadchiroli,Aarmori,Outposts,
2020,Gadchiroli,Kurkheda,Outposts,54
2020,Gadchiroli,Korachi,Outposts,182
2020,Gadchiroli,Dhanora,Outposts,333
2020,Gadchiroli,Gadchiroli,Outposts,46
2020,Gadchiroli,Chomoshi,Outposts,92
2020,Gadchiroli,Mulchera,Outposts,
2020,Gadchiroli,Etapalli,Outposts,332
2020,Gadchiroli,Bhamragad,Outposts,178
2020,Gadchiroli,Aheri,Outposts,77
2020,Gadchiroli,Sironcha,Outposts,45
2021,Gadchiroli,Desaiganj,Outposts,
2021,Gadchiroli,Aarmori,Outposts,
2021,Gadchiroli,Kurkheda,Outposts,59
2021,Gadchiroli,Korachi,Outposts,193
2021,Gadchiroli,Dhanora,Outposts,328
2021,Gadchiroli,Gadchiroli,Outposts,46
2021,Gadchiroli,Chomoshi,Outposts,102
2021,Gadchiroli,Mulchera,Outposts,
2021,Gadchiroli,Etapalli,Outposts,358
2021,Gadchiroli,Bhamragad,Outposts,167
2021,Gadchiroli,Aheri,Outposts,86
2021,Gadchiroli,Sironcha,Outposts,45
2018,Gondia,Tiroda,Outposts,
2018,Gondia,Goregaon,Outposts,
2018,Gondia,Gondia,Outposts,
2018,Gondia,Aamgaon,Outposts,
2018,Gondia,Salekasa,Outposts,92
2018,Gondia,Sadak Arjuni,Outposts,
2018,Gondia,Arjuni Morgaon,Outposts,66
2018,Gondia,Devari,Outposts,78
2019,Gondia,Tiroda,Outposts,5
2019,Gondia,Goregaon,Outposts,
2019,Gondia,Gondia,Outposts,
2019,Gondia,Aamgaon,Outposts,
2019,Gondia,Salekasa,Outposts,199
