District,Year,Select Offense,Cases
Raigad,2021,Credit Card/Debit Card Fraud,1
Raigad,2021,ATM Fraud,2
Raigad,2021,Online Banking Fraud,20
Raigad,2021,OTP Frauds,4
Raigad,2021,Other Frauds,0
Ratnagiri,2021,Credit Card/Debit Card Fraud,3
Ratnagiri,2021,ATM Fraud,3
Ratnagiri,2021,Online Banking Fraud,8
Ratnagiri,2021,OTP Frauds,0
Ratnagiri,2021,Other Frauds,9
Sangli,2021,Credit Card/Debit Card Fraud,5
Sangli,2021,ATM Fraud,2
Sangli,2021,Online Banking Fraud,9
Sangli,2021,OTP Frauds,12
Sangli,2021,Other Frauds,4
Satara,2021,Credit Card/Debit Card Fraud,0
Satara,2021,ATM Fraud,0
Satara,2021,Online Banking Fraud,3
Satara,2021,OTP Frauds,6
Satara,2021,Other Frauds,10
