Year,District,Select Offense,Cases
2018,Hingoli,Counterfeiting,0
2018,Hingoli,Cheating,2
2018,Hingoli,Forgery,0
2018,Hingoli,"Forgery, Cheating & Fraud",23
2018,Jalgaon,Counterfeiting,0
2018,Jalgaon,Cheating,147
2018,Jalgaon,Forgery,2
2018,Jalgaon,"Forgery, Cheating & Fraud",156
2018,Jalna,Counterfeiting,2
2018,Jalna,Cheating,102
2018,Jalna,Forgery,13
2018,Jalna,"Forgery, Cheating & Fraud",122
2018,Kolhapur,Counterfeiting,2
2018,Kolhapur,Cheating,202
2018,Kolhapur,Forgery,11
2018,Kolhapur,"Forgery, Cheating & Fraud",232
2018,Latur,Counterfeiting,0
2018,Latur,Cheating,87
2018,Latur,Forgery,0
2018,Latur,"Forgery, Cheating & Fraud",101
2018,Mumbai,Counterfeiting,13
2018,Mumbai,Cheating,2882
2018,Mumbai,Forgery,403
2018,Mumbai,"Forgery, Cheating & Fraud",4022
2018,Nagpur,Counterfeiting,2
2018,Nagpur,Cheating,532
2018,Nagpur,Forgery,17
2018,Nagpur,"Forgery, Cheating & Fraud",618
2018,Nanded,Counterfeiting,0
2018,Nanded,Cheating,101
2018,Nanded,Forgery,4
2018,Nanded,"Forgery, Cheating & Fraud",110
2018,Nandurbar,Counterfeiting,1
2018,Nandurbar,Cheating,36
2018,Nandurbar,Forgery,8
2018,Nandurbar,"Forgery, Cheating & Fraud",64
2018,Nasik,Counterfeiting,2
2018,Nasik,Cheating,232
2018,Nasik,Forgery,92
2018,Nasik,"Forgery, Cheating & Fraud",483
2018,Dharashiv,Counterfeiting,0
2018,Dharashiv,Cheating,57
2018,Dharashiv,Forgery,0
2018,Dharashiv,"Forgery, Cheating & Fraud",68
2018,Palghar,Counterfeiting,1
2018,Palghar,Cheating,407
2018,Palghar,Forgery,44
2018,Palghar,"Forgery, Cheating & Fraud",478
2018,Parbhani,Counterfeiting,0
2018,Parbhani,Cheating,13
2018,Parbhani,Forgery,0
2018,Parbhani,"Forgery, Cheating & Fraud",66
2018,Pune,Counterfeiting,9
2018,Pune,Cheating,908
2018,Pune,Forgery,43
2018,Pune,"Forgery, Cheating & Fraud",1318
2018,Raigad,Counterfeiting,0
2018,Raigad,Cheating,150
2018,Raigad,Forgery,0
2018,Raigad,"Forgery, Cheating & Fraud",163
2018,Ratnagiri,Counterfeiting,0
2018,Ratnagiri,Cheating,48
2018,Ratnagiri,Forgery,8
2018,Ratnagiri,"Forgery, Cheating & Fraud",102
2018,Sangli,Counterfeiting,2
2018,Sangli,Cheating,146
2018,Sangli,Forgery,38
2018,Sangli,"Forgery, Cheating & Fraud",219
2018,Satara,Counterfeiting,4
2018,Satara,Cheating,192
2018,Satara,Forgery,7
2018,Satara,"Forgery, Cheating & Fraud",229
2018,Sindhudurg,Counterfeiting,0
2018,Sindhudurg,Cheating,29
2018,Sindhudurg,Forgery,0
2018,Sindhudurg,"Forgery, Cheating & Fraud",74
2018,Solapur,Counterfeiting,7
2018,Solapur,Cheating,250
2018,Solapur,Forgery,35
2018,Solapur,"Forgery, Cheating & Fraud",294
2018,Thane,Counterfeiting,13
2018,Thane,Cheating,1488
2018,Thane,Forgery,97
2018,Thane,"Forgery, Cheating & Fraud",1763
2018,Wardha,Counterfeiting,1
2018,Wardha,Cheating,20
2018,Wardha,Forgery,14
2018,Wardha,"Forgery, Cheating & Fraud",89
2018,Washim,Counterfeiting,0
2018,Washim,Cheating,48
2018,Washim,Forgery,6
2018,Washim,"Forgery, Cheating & Fraud",54
2018,Yavatmal,Counterfeiting,2
2018,Yavatmal,Cheating,76
2018,Yavatmal,Forgery,18
2018,Yavatmal,"Forgery, Cheating & Fraud",130
2019,Ahilyanagar,Counterfeiting,3
2019,Ahilyanagar,Cheating,228
2019,Ahilyanagar,Forgery,0
2019,Ahilyanagar,"Forgery, Cheating & Fraud",228
2019,Akola,Counterfeiting,0
2019,Akola,Cheating,71
2019,Akola,Forgery,1
2019,Akola,"Forgery, Cheating & Fraud",95
2019,Amravati,Counterfeiting,1
2019,Amravati,Cheating,101
2019,Amravati,Forgery,40
2019,Amravati,"Forgery, Cheating & Fraud",188
2019,Chhatrapati Sambhaji Nagar,Counterfeiting,2
2019,Chhatrapati Sambhaji Nagar,Cheating,164
2019,Chhatrapati Sambhaji Nagar,Forgery,7
2019,Chhatrapati Sambhaji Nagar,"Forgery, Cheating & Fraud",354
2019,Beed,Counterfeiting,0
2019,Beed,Cheating,53
2019,Beed,Forgery,22
2019,Beed,"Forgery, Cheating & Fraud",97
2019,Bhandara,Counterfeiting,0
2019,Bhandara,Cheating,43
2019,Bhandara,Forgery,0
2019,Bhandara,"Forgery, Cheating & Fraud",60
2019,Buldhana,Counterfeiting,2
2019,Buldhana,Cheating,112
2019,Buldhana,Forgery,3
2019,Buldhana,"Forgery, Cheating & Fraud",138
2019,Chandrapur,Counterfeiting,1
2019,Chandrapur,Cheating,84
2019,Chandrapur,Forgery,0
2019,Chandrapur,"Forgery, Cheating & Fraud",138
2019,Dhule,Counterfeiting,2
2019,Dhule,Cheating,116
2019,Dhule,Forgery,0
2019,Dhule,"Forgery, Cheating & Fraud",116
2019,Gadchiroli,Counterfeiting,0
2019,Gadchiroli,Cheating,26
2019,Gadchiroli,Forgery,1
2019,Gadchiroli,"Forgery, Cheating & Fraud",40
2019,Gondia,Counterfeiting,0
2019,Gondia,Cheating,39
2019,Gondia,Forgery,0
2019,Gondia,"Forgery, Cheating & Fraud",51
2019,Hingoli,Counterfeiting,0
2019,Hingoli,Cheating,1
2019,Hingoli,Forgery,2
2019,Hingoli,"Forgery, Cheating & Fraud",32
2019,Jalgaon,Counterfeiting,1
2019,Jalgaon,Cheating,141
2019,Jalgaon,Forgery,0
2019,Jalgaon,"Forgery, Cheating & Fraud",149
2019,Jalna,Counterfeiting,1
2019,Jalna,Cheating,126
2019,Jalna,Forgery,11
2019,Jalna,"Forgery, Cheating & Fraud",157
2019,Kolhapur,Counterfeiting,3
2019,Kolhapur,Cheating,204
2019,Kolhapur,Forgery,8
2019,Kolhapur,"Forgery, Cheating & Fraud",226
2019,Latur,Counterfeiting,1
2019,Latur,Cheating,74
2019,Latur,Forgery,0
2019,Latur,"Forgery, Cheating & Fraud",84
2019,Mumbai,Counterfeiting,12
2019,Mumbai,Cheating,3974
2019,Mumbai,Forgery,347
2019,Mumbai,"Forgery, Cheating & Fraud",4844
2019,Nagpur,Counterfeiting,8
2019,Nagpur,Cheating,401
2019,Nagpur,Forgery,20
2019,Nagpur,"Forgery, Cheating & Fraud",474
2019,Nanded,Counterfeiting,0
2019,Nanded,Cheating,100
2019,Nanded,Forgery,7
2019,Nanded,"Forgery, Cheating & Fraud",132
2019,Nandurbar,Counterfeiting,0
2019,Nandurbar,Cheating,25
2019,Nandurbar,Forgery,2
2019,Nandurbar,"Forgery, Cheating & Fraud",47
2019,Nasik,Counterfeiting,0
2019,Nasik,Cheating,173
2019,Nasik,Forgery,43
2019,Nasik,"Forgery, Cheating & Fraud",440
2019,Dharashiv,Counterfeiting,0
2019,Dharashiv,Cheating,76
2019,Dharashiv,Forgery,2
