District,Year,Type of Court,Functioning Courts
Chandrapur,2006,Criminal Court,
Chandrapur,2006,District Magistrate And Executive Magistrate,
Chandrapur,2006,Family Court,
Chandrapur,2006,Industrial Court,
Chandrapur,2006,Labor Court,
Chandrapur,2006,Public Court,
Chandrapur,2008,Civil Court,
Chandrapur,2008,Consumer Forum,
Chandrapur,2008,Criminal Court,
Chandrapur,2008,District Magistrate And Executive Magistrate,
Chandrapur,2008,Family Court,
Chandrapur,2008,Industrial Court,
Chandrapur,2008,Labor Court,
Chandrapur,2008,Public Court,
Chandrapur,2009,Civil Court,46.0
Chandrapur,2009,Consumer Forum,1.0
Chandrapur,2009,Criminal Court,46.0
Chandrapur,2009,District Magistrate And Executive Magistrate,
Chandrapur,2009,Family Court,
Chandrapur,2009,Industrial Court,1.0
Chandrapur,2009,Labor Court,1.0
Chandrapur,2009,Public Court,13.0
Chandrapur,2010,Civil Court,46.0
Chandrapur,2010,Consumer Forum,1.0
Chandrapur,2010,Criminal Court,46.0
Chandrapur,2010,District Magistrate And Executive Magistrate,
Chandrapur,2010,Family Court,
Chandrapur,2010,Industrial Court,1.0
Chandrapur,2010,Labor Court,1.0
Chandrapur,2010,Public Court,
Chandrapur,2011,Civil Court,42.0
Chandrapur,2011,Consumer Forum,1.0
Chandrapur,2011,Criminal Court,39.0
Chandrapur,2011,District Magistrate And Executive Magistrate,
Chandrapur,2011,Family Court,
Chandrapur,2011,Industrial Court,1.0
Chandrapur,2011,Labor Court,1.0
Chandrapur,2011,Public Court,
Chandrapur,2012,Civil Court*,36.0
Chandrapur,2012,Consumer Forum,1.0
Chandrapur,2012,Criminal Court*,33.0
Chandrapur,2012,District Magistrate And Executive Magistrate,
Chandrapur,2012,Family Court,
Chandrapur,2012,Industrial Court,1.0
Chandrapur,2012,Labor Court,1.0
Chandrapur,2012,Public Court,
Chandrapur,2013,Civil Court*,35.0
Chandrapur,2013,Consumer Forum,1.0
Chandrapur,2013,Criminal Court*,32.0
Chandrapur,2013,District Magistrate And Executive Magistrate,
Chandrapur,2013,"Family Court
",
Chandrapur,2013,Industrial Court,1.0
Chandrapur,2013,Labor Court,1.0
Chandrapur,2013,Public Court,
Chandrapur,2014,Civil Court,36.0
Chandrapur,2014,Consumer Forum,1.0
Chandrapur,2014,Criminal Court,33.0
Chandrapur,2014,District Magistrate And Executive Magistrate,
Chandrapur,2014,"Family Court
",
Chandrapur,2014,Industrial Court,1.0
Chandrapur,2014,Labor Court,1.0
Chandrapur,2014,Public Court,
Chandrapur,2015,Civil Court,36.0
Chandrapur,2015,Consumer Forum,1.0
Chandrapur,2015,Criminal Court,33.0
Chandrapur,2015,District Magistrate And Executive Magistrate,
Chandrapur,2015,"Family Court
",
Chandrapur,2015,Industrial Court,1.0
Chandrapur,2015,Labor Court,1.0
Chandrapur,2015,Public Court,
Chandrapur,2016,Civil Court,46.0
Chandrapur,2016,Consumer Forum,1.0
Chandrapur,2016,Criminal Court,4.0
Chandrapur,2016,District Magistrate And Executive Magistrate,
Chandrapur,2016,Family Court,
Chandrapur,2016,Industrial Court,1.0
Chandrapur,2016,Labor Court,1.0
Chandrapur,2016,Public Court,
Chandrapur,2017,Civil Court,43.0
Chandrapur,2017,Consumer Forum,1.0
Chandrapur,2017,Criminal Court,39.0
Chandrapur,2017,District Magistrate And Executive Magistrate,
Chandrapur,2017,"Family Court
",
Chandrapur,2017,Industrial Court,1.0
Chandrapur,2017,Labor Court,1.0
Chandrapur,2017,Public Court,
Chandrapur,2018,Civil Court,38.0
Chandrapur,2018,Consumer Forum,1.0
Chandrapur,2018,Criminal Court,34.0
Chandrapur,2018,District Magistrate And Executive Magistrate,26.0
Chandrapur,2018,"Family Court
",
Chandrapur,2018,Industrial Court,1.0
Chandrapur,2018,Labor Court,1.0
Chandrapur,2018,Public Court,
Chandrapur,2019,Civil Court,38.0
Chandrapur,2019,Consumer Forum,1.0
Chandrapur,2019,Criminal Court,31.0
Chandrapur,2019,District Magistrate And Executive Magistrate,26.0
Chandrapur,2019,"Family Court
",
Chandrapur,2019,Industrial Court,1.0
Chandrapur,2019,Labor Court,1.0
Chandrapur,2019,Public Court,
Chandrapur,2020,Civil Court,41.0
Chandrapur,2020,Consumer Forum,1.0
Chandrapur,2020,Criminal Court,34.0
Chandrapur,2020,District Magistrate And Executive Magistrate,26.0
Chandrapur,2020,"Family Court
",
Chandrapur,2020,Industrial Court,1.0
Chandrapur,2020,Labor Court,1.0
Chandrapur,2020,Public Court,
Chandrapur,2021,Civil Court,4.0
Chandrapur,2021,Consumer Forum,1.0
Chandrapur,2021,Criminal Court,35.0
Chandrapur,2021,District Magistrate And Executive Magistrate,26.0
Chandrapur,2021,"Family Court
",
Chandrapur,2021,Industrial Court,1.0
Chandrapur,2021,Labor Court,1.0
Chandrapur,2021,Public Court,
Gadchiroli,2006,Civil Court,
Gadchiroli,2006,Consumer Forum,
Gadchiroli,2006,Criminal Court,
Gadchiroli,2006,District Magistrate And Executive Magistrate,
Gadchiroli,2006,Family Court,
Gadchiroli,2006,Industrial Court,
Gadchiroli,2006,Labor Court,
Gadchiroli,2006,Public Court,
Gadchiroli,2008,Civil Court,
Gadchiroli,2008,Consumer Forum,
Gadchiroli,2008,Criminal Court,
Gadchiroli,2008,District Magistrate And Executive Magistrate,
Gadchiroli,2008,Family Court,
Gadchiroli,2008,Industrial Court,
Gadchiroli,2008,Labor Court,
Gadchiroli,2008,Public Court,
Gadchiroli,2009,Civil Court,2.0
Gadchiroli,2009,Consumer Forum,37.0
Gadchiroli,2009,Criminal Court,19.0
Gadchiroli,2009,District Magistrate And Executive Magistrate,16.0
Gadchiroli,2009,Family Court,
Gadchiroli,2009,Industrial Court,
Gadchiroli,2009,Labor Court,
Gadchiroli,2009,Public Court,
Gadchiroli,2010,Civil Court,1.0
Gadchiroli,2010,Consumer Forum,37.0
Gadchiroli,2010,Criminal Court,16.0
Gadchiroli,2010,District Magistrate And Executive Magistrate,16.0
Gadchiroli,2010,Family Court,
Gadchiroli,2010,Industrial Court,
Gadchiroli,2010,Labor Court,
Gadchiroli,2010,Public Court,
Gadchiroli,2011,Civil Court,1.0
Gadchiroli,2011,Consumer Forum,1.0
Gadchiroli,2011,Criminal Court,14.0
Gadchiroli,2011,District Magistrate And Executive Magistrate,19.0
