District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Amravati,2020,Public Court,,,,,,,,
Amravati,2020,Labor Court,1,953,1,1,933,20,,
Amravati,2020,Industrial Court,1,1116,1,1,675,18,199,0
Amravati,2020,Family Court,1,275,1,1,149,126,,
Amravati,2020,District Magistrate And Executive Magistrate,40,5195,40,33,3006,1318,859,12
Amravati,2020,Customer Forum,1,8871,3,3,7498,1373,,
Amravati,2021,Civil Court,68,15042,68,68,3532,9410,1136,964
Amravati,2021,Criminal Court,,32698,,,24193,4791,1096,2618
Amravati,2021,Public Court,,,,,,,,
Amravati,2021,Labor Court,1,1043,1,1,992,51,,
Amravati,2021,Industrial Court,1,1089,1,1,859,45,185,0
Amravati,2021,Family Court,1,500,1,1,259,241,,
Amravati,2021,District Magistrate And Executive Magistrate,41,5714,41,37,3589,564,817,21
Amravati,2021,Customer Forum,1,296,3,2,258,38,,
Beed,2013,Civil Court,48,10719,48,48,6136,1940,1100,1543
Beed,2013,Criminal Court,1,18036,1,1,12528,2841,622,2045
Beed,2013,Public Court,,5217,,,2052,3038,80,47
Beed,2013,Labor Court,2,107,2,2,92,15,0,0
Beed,2013,Industrial Court,1,96,1,1,90,6,0,0
Beed,2013,Family Court,,,,,,,,
Beed,2013,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2013,Customer Forum,1,402,1,1,287,115,0,0
Beed,2014,Civil Court,47,11662,47,47,6838,1935,1114,1775
Beed,2014,Criminal Court,1,20507,1,1,14261,3691,772,1783
Beed,2014,Public Court,,4967,,,3807,915,173,72
Beed,2014,Labor Court,2,254,2,2,248,6,0,0
Beed,2014,Industrial Court,1,16,1,1,16,0,0,0
Beed,2014,Family Court,,,,,,,,
Beed,2014,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2014,Customer Forum,1,353,1,0,256,97,0,0
Beed,2015,Civil Court,51,12496,51,51,7891,2263,1179,1163
Beed,2015,Criminal Court,1,21210,1,1,12993,5438,1099,1680
Beed,2015,Public Court,,4967,,,3807,915,173,72
Beed,2015,Labor Court,2,288,2,2,148,140,0,0
Beed,2015,Industrial Court,1,52,1,1,45,7,0,0
Beed,2015,Family Court,,,,,,,,
Beed,2015,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2015,Customer Forum,1,409,1,,247,162,0,0
Beed,2016,Civil Court,54,14676,54,54,8400,2858,1846,1572
Beed,2016,Criminal Court,1,15288,1,1,8834,3907,909,1638
Beed,2016,Public Court,,5560,,,5207,285,67,1
Beed,2016,Labor Court,,593,,,234,359,0,0
Beed,2016,Industrial Court,,8,,,8,0,0,0
Beed,2016,Family Court,,,,,,,,
Beed,2016,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2016,Customer Forum,1,405,1,,262,143,0,0
Beed,2017,Civil Court,53,16490,53,53,9223,3989,1977,1301
Beed,2017,Criminal Court,54,23167,54,54,16054,4617,837,1659
Beed,2017,Public Court,,5235,,,4947,247,37,4
Beed,2017,Labor Court,,565,,,264,301,0,0
Beed,2017,Industrial Court,,67,,,47,20,0,0
Beed,2017,Family Court,,,,,,,,
Beed,2017,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2017,Customer Forum,1,550,3,2,441,109,0,0
Beed,2018,Civil Court,58,16395,58,58,7472,5950,1187,1786
Beed,2018,Criminal Court,59,17023,59,59,9725,4331,682,2285
Beed,2018,Public Court,,4175,,,4057,,118,
Beed,2018,Labor Court,4,196,4,4,60,136,,
Beed,2018,Industrial Court,1,52,1,1,49,3,,
Beed,2018,Family Court,,,,,,,,
Beed,2018,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2018,Customer Forum,1,357,1,1,267,90,,
Beed,2019,Civil Court,60,17686,60,60,8914,6920,1026,826
Beed,2019,Criminal Court,58,18245,58,58,9279,6320,863,1783
Beed,2019,Public Court,,3619,,,3447,142,30,
Beed,2019,Labor Court,,190,,,138,52,,
Beed,2019,Industrial Court,,35,,,22,11,2,
Beed,2019,Family Court,,,,,,,,
Beed,2019,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2019,Customer Forum,1,315,1,1,217,98,,
Beed,2020,Civil Court,58,9467,58,58,2845,5973,329,320
Beed,2020,Criminal Court,59,10254,59,59,2199,5518,279,2258
Beed,2020,Public Court,,520,,,472,29,19,
Beed,2020,Labor Court,,13,,,10,3,,
Beed,2020,Industrial Court,,24,,,24,0,0,
Beed,2020,Family Court,1,230,1,1,84,146,,
Beed,2020,District Magistrate And Executive Magistrate,,,,,,,,
Beed,2020,Customer Forum,1,392,1,1,269,123,,
Beed,2021,Civil Court,55,17598,55,55,6112,10198,236,1052
Beed,2021,Criminal Court,56,21888,56,56,1744,17298,296,2550
Beed,2021,Public Court,,6593,,,3988,2287,158,160
Beed,2021,Labor Court,,27,,,26,1,,
Beed,2021,Industrial Court,,16,,,13,3,,
Beed,2021,Family Court,1,1215,1,1,1215,,,
Beed,2021,District Magistrate And Executive Magistrate,18,3397,18,18,3397,,,
Beed,2021,Customer Forum,1,366,1,1,240,126,,
Bhandara,2012,Civil Court,1,1195,1,1,848,269,49,29
Bhandara,2012,Criminal Court,18,10699,18,18,9495,1121,36,47
Bhandara,2012,Public Court,,2769,,,2769,0,0,0
Bhandara,2012,Labor Court,1,180,1,1,89,91,0,0
Bhandara,2012,Industrial Court,1,415,1,1,280,12,123,0
Bhandara,2012,Family Court,,,,,,,,
Bhandara,2012,District Magistrate And Executive Magistrate,0,206,0,0,0,0,206,0
Bhandara,2012,Customer Forum,1,187,3,3,155,32,0,0
Bhandara,2013,Civil Court,1,1332,1,1,765,501,41,25
Bhandara,2013,Criminal Court,18,9509,18,18,8237,1188,44,40
Bhandara,2013,Public Court,,2090,,,2090,0,0,0
Bhandara,2013,Labor Court,1,378,1,1,73,305,0,0
Bhandara,2013,Industrial Court,1,310,1,0,240,,70,
Bhandara,2013,Family Court,,,,,,,,
Bhandara,2013,District Magistrate And Executive Magistrate,,215,,,0,0,215,0
Bhandara,2013,Customer Forum,1,72,1,1,61,11,0,0
Bhandara,2014,Civil Court,1,1644,1,1,908,571,113,52
Bhandara,2014,Criminal Court,20,10309,20,20,8912,1266,90,41
Bhandara,2014,Public Court,,2204,,,1604,600,0,0
Bhandara,2014,Labor Court,1,227,1,1,172,55,0,0
Bhandara,2014,Industrial Court,1,768,1,0,356,154,258,0
Bhandara,2014,Family Court,,,,,,,,
Bhandara,2014,District Magistrate And Executive Magistrate,0,198,0,0,0,0,198,0
Bhandara,2014,Customer Forum,1,116,1,1,103,13,0,0
Bhandara,2015,Civil Court,2,1913,2,2,1025,623,203,62
Bhandara,2015,Criminal Court,23,8402,23,23,6394,1851,114,43
Bhandara,2015,Public Court,,1592,,,1144,448,0,0
Bhandara,2015,Labor Court,1,223,1,1,156,67,0,0
Bhandara,2015,Industrial Court,1,864,1,1,486,216,162,0
Bhandara,2015,Family Court,,,,,,,,
Bhandara,2015,District Magistrate And Executive Magistrate,0,206,0,0,0,0,206,0
Bhandara,2015,Customer Forum,1,5097,1,1,4166,931,0,0
Bhandara,2016,Civil Court,2,2019,2,2,1026,700,226,67
Bhandara,2016,Criminal Court,24,7644,24,24,5618,1883,72,71
Bhandara,2016,Public Court,,412,,,412,0,0,0
Bhandara,2016,Labor Court,1,200,1,1,162,38,0,0
Bhandara,2016,Industrial Court,1,407,1,1,188,63,154,2
Bhandara,2016,Family Court,,,,,,,,
Bhandara,2016,District Magistrate And Executive Magistrate,1,9,0,0,0,9,0,0
Bhandara,2016,Customer Forum,1,153,3,2,149,4,0,0
Bhandara,2017,Civil Court,2,2133,2,2,1101,817,156,59
Bhandara,2017,Criminal Court,19,13003,19,19,10625,2180,94,104
Bhandara,2017,Public Court,,,,,0,0,0,0
Bhandara,2017,Labor Court,1,310,1,1,222,88,0,0
Bhandara,2017,Industrial Court,1,272,1,1,173,14,85,0
Bhandara,2017,Family Court,,,,,,,,
Bhandara,2017,District Magistrate And Executive Magistrate,1,12,0,0,0,12,0,0
Bhandara,2017,Customer Forum,1,134,3,2,112,22,0,0
Bhandara,2018,Civil Court,2,2135,2,2,1160,771,160,44
Bhandara,2018,Criminal Court,17,11110,18,18,8936,2045,70,59
Bhandara,2018,Public Court,,,,,,,,
Bhandara,2018,Labor Court,1,196,1,1,147,49,0,0
Bhandara,2018,Industrial Court,1,194,1,1,122,15,57,0
Bhandara,2018,Family Court,,,,,,,,
Bhandara,2018,District Magistrate And Executive Magistrate,,,,,,,,
Bhandara,2018,Customer Forum,1,315,3,2,211,104,0,0
Bhandara,2019,Civil Court,3,2143,3,2,1022,849,194,78
Bhandara,2019,Criminal Court,20,10184,20,20,7823,2143,119,99
Bhandara,2019,Public Court,,,,,,,,
Bhandara,2019,Labor Court,1,129,1,0,83,36,10,0
