Year,District,Select Offense Under,Cases
2018,Gondia,Essential Commodities Act,2
2018,Gondia,"The Antiques and Art Treasures Act, 1972",0
2018,Gondia,"The Copy Right Act, 1957",0
2018,Gondia,"The Information Technology Act, 2000",0
2018,Gondia,"The Electricity Act, 2003",54
2018,Gondia,Wildlife Protection Act,0
2018,Gondia,Environmental (Protection) Act,0
2018,Gondia,The Air & The Water Prevention & Control of Pollution Act,0
2018,Gondia,Railway Property (Unlawful Possession) Act,0
2018,Gondia,"The Prevention of Damage to Public Property Act, 1984",16
2018,Gondia,"The Transplantation of Human Organs Act, 1994",0
2018,Gondia,"The Trade Marks Act, 1999",0
2018,Gondia,"The Citizenship Act, 1955",0
2018,Gondia,"The Representation of the People Act, 1951",0
2018,Gondia,Crime Against Women and Related Acts,5
2018,Gondia,Children Related Acts,86
2018,Gondia,Scheduled Castes and Scheduled Tribes Related Acts,5
2018,Gondia,Information Technology/ Intellectual Property Related Acts,0
2018,Gondia,"The Negotiable Instruments Act, 1881",0
2018,Gondia,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Gondia,"Prevention of Corruption Act, 1988",25
2018,Gondia,Finance & Economic Acts,25
2018,Gondia,Environment & Pollution Related Acts,1
2018,Gondia,Railway Related Acts,0
2018,Gondia,Telegraph/ Cinematograph Acts,0
2018,Gondia,"Food, Drugs and Essential Commodities Acts",2
2018,Gondia,"The Mental Health Act, 1987",0
2018,Hingoli,"The Arms Act, 1959",12
2018,Hingoli,"The Narcotic Drugs & Psychotropic Substances Act, 1985",1
2018,Hingoli,The Gambling Act,366
2018,Hingoli,"The Excise Act, 1944",0
2018,Hingoli,Prohibition Act (State),1005
2018,Hingoli,Indian Railways Act,0
2018,Hingoli,Essential Commodities Act,16
2018,Hingoli,"The Antiques and Art Treasures Act, 1972",0
2018,Hingoli,"The Copy Right Act, 1957",4
2018,Hingoli,"The Information Technology Act, 2000",0
2018,Hingoli,"The Electricity Act, 2003",20
2018,Hingoli,Wildlife Protection Act,0
2018,Hingoli,Environmental (Protection) Act,0
2018,Hingoli,The Air & The Water Prevention & Control of Pollution Act,0
2018,Hingoli,Railway Property (Unlawful Possession) Act,0
2018,Hingoli,"The Prevention of Damage to Public Property Act, 1984",2
2018,Hingoli,"The Transplantation of Human Organs Act, 1994",0
2018,Hingoli,"The Trade Marks Act, 1999",0
2018,Hingoli,"The Citizenship Act, 1955",0
2018,Hingoli,"The Representation of the People Act, 1951",0
2018,Hingoli,Crime Against Women and Related Acts,0
2018,Hingoli,Children Related Acts,40
2018,Hingoli,Scheduled Castes and Scheduled Tribes Related Acts,1
2018,Hingoli,Information Technology/ Intellectual Property Related Acts,4
2018,Hingoli,"The Negotiable Instruments Act, 1881",0
2018,Hingoli,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Hingoli,"Prevention of Corruption Act, 1988",22
2018,Hingoli,Finance & Economic Acts,22
2018,Hingoli,Environment & Pollution Related Acts,3
2018,Hingoli,Railway Related Acts,0
2018,Hingoli,Telegraph/ Cinematograph Acts,0
2018,Hingoli,"Food, Drugs and Essential Commodities Acts",16
2018,Hingoli,"The Mental Health Act, 1987",0
2018,Jalgaon,"The Arms Act, 1959",92
2018,Jalgaon,"The Narcotic Drugs & Psychotropic Substances Act, 1985",5
2018,Jalgaon,The Gambling Act,999
2018,Jalgaon,"The Excise Act, 1944",0
2018,Jalgaon,Prohibition Act (State),2723
2018,Jalgaon,Indian Railways Act,2
2018,Jalgaon,Essential Commodities Act,5
2018,Jalgaon,"The Antiques and Art Treasures Act, 1972",0
2018,Jalgaon,"The Copy Right Act, 1957",6
2018,Jalgaon,"The Information Technology Act, 2000",7
2018,Jalgaon,"The Electricity Act, 2003",363
2018,Jalgaon,Wildlife Protection Act,2
2018,Jalgaon,Environmental (Protection) Act,0
2018,Jalgaon,The Air & The Water Prevention & Control of Pollution Act,0
2018,Jalgaon,Railway Property (Unlawful Possession) Act,0
2018,Jalgaon,"The Prevention of Damage to Public Property Act, 1984",2
2018,Jalgaon,"The Transplantation of Human Organs Act, 1994",0
2018,Jalgaon,"The Trade Marks Act, 1999",0
2018,Jalgaon,"The Citizenship Act, 1955",0
2018,Jalgaon,"The Representation of the People Act, 1951",13
2018,Jalgaon,Crime Against Women and Related Acts,5
2018,Jalgaon,Children Related Acts,123
2018,Jalgaon,Scheduled Castes and Scheduled Tribes Related Acts,1
2018,Jalgaon,Information Technology/ Intellectual Property Related Acts,13
2018,Jalgaon,"The Negotiable Instruments Act, 1881",0
2018,Jalgaon,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Jalgaon,"Prevention of Corruption Act, 1988",30
2018,Jalgaon,Finance & Economic Acts,30
2018,Jalgaon,Environment & Pollution Related Acts,2
2018,Jalgaon,Railway Related Acts,2
2018,Jalgaon,Telegraph/ Cinematograph Acts,0
2018,Jalgaon,"Food, Drugs and Essential Commodities Acts",5
2018,Jalgaon,"The Mental Health Act, 1987",0
2018,Jalna,"The Arms Act, 1959",27
2018,Jalna,"The Narcotic Drugs & Psychotropic Substances Act, 1985",7
2018,Jalna,The Gambling Act,336
2018,Jalna,"The Excise Act, 1944",0
2018,Jalna,Prohibition Act (State),1192
2018,Jalna,Indian Railways Act,0
2018,Jalna,Essential Commodities Act,4
2018,Jalna,"The Antiques and Art Treasures Act, 1972",0
2018,Jalna,"The Copy Right Act, 1957",1
2018,Jalna,"The Information Technology Act, 2000",1
2018,Jalna,"The Electricity Act, 2003",0
2018,Jalna,Wildlife Protection Act,0
2018,Jalna,Environmental (Protection) Act,0
2018,Jalna,The Air & The Water Prevention & Control of Pollution Act,0
2018,Jalna,Railway Property (Unlawful Possession) Act,0
2018,Jalna,"The Prevention of Damage to Public Property Act, 1984",0
2018,Jalna,"The Transplantation of Human Organs Act, 1994",0
2018,Jalna,"The Trade Marks Act, 1999",0
