Year,District,Crime,Cases
2017,Raigad,Kidnapping & Abduction,50.0
2017,Ratnagiri,Kidnapping & Abduction,28.0
2017,Sangli,Kidnapping & Abduction,95.0
2017,Satara,Kidnapping & Abduction,150.0
2017,Sindhudurg,Kidnapping & Abduction,13.0
2017,Solapur,Kidnapping & Abduction,144.0
2017,Thane,Kidnapping & Abduction,667.0
2017,Wardha,Kidnapping & Abduction,56.0
2017,Washim,Kidnapping & Abduction,34.0
2017,Yavatmal,Kidnapping & Abduction,115.0
2019,Ahilyanagar,Kidnapping & Abduction,332.0
2019,Akola,Kidnapping & Abduction,95.0
2019,Amravati,Kidnapping & Abduction,212.0
2019,Chhatrapati Sambhaji Nagar,Kidnapping & Abduction,186.0
2019,Beed,Kidnapping & Abduction,85.0
2019,Bhandara,Kidnapping & Abduction,73.0
2019,Buldhana,Kidnapping & Abduction,91.0
2019,Chandrapur,Kidnapping & Abduction,172.0
2019,Dhule,Kidnapping & Abduction,31.0
2019,Gadchiroli,Kidnapping & Abduction,41.0
2019,Gondia,Kidnapping & Abduction,98.0
2019,Hingoli,Kidnapping & Abduction,30.0
2019,Jalgaon,Kidnapping & Abduction,139.0
2019,Jalna,Kidnapping & Abduction,45.0
2019,Kolhapur,Kidnapping & Abduction,217.0
2019,Latur,Kidnapping & Abduction,96.0
2019,Mumbai City,Kidnapping & Abduction,1329.0
2019,Nagpur,Kidnapping & Abduction,408.0
2019,Nanded,Kidnapping & Abduction,110.0
2019,Nandurbar,Kidnapping & Abduction,6.0
2019,Nasik,Kidnapping & Abduction,448.0
2019,Dharashiv,Kidnapping & Abduction,51.0
2019,Palghar,Kidnapping & Abduction,392.0
2019,Parbhani,Kidnapping & Abduction,61.0
2019,Pune,Kidnapping & Abduction,711.0
2019,Raigad,Kidnapping & Abduction,0.0
2019,Ratnagiri,Kidnapping & Abduction,56.0
2019,Sangli,Kidnapping & Abduction,202.0
2019,Satara,Kidnapping & Abduction,187.0
