Year,District,Crime,Cases
2019,Wardha,Missing Children Deemed as Kidnapped,
2019,Washim,Missing Children Deemed as Kidnapped,19.0
2019,Yavatmal,Missing Children Deemed as Kidnapped,44.0
2020,Ahilyanagar,Missing Children Deemed as Kidnapped,148.0
2020,Akola,Missing Children Deemed as Kidnapped,42.0
2020,Amravati,Missing Children Deemed as Kidnapped,99.0
2020,Chh. Sambhaji Nagar,Missing Children Deemed as Kidnapped,219.0
2020,Beed,Missing Children Deemed as Kidnapped,38.0
2020,Bhandara,Missing Children Deemed as Kidnapped,67.0
2020,Buldhana,Missing Children Deemed as Kidnapped,40.0
2020,Chandrapur,Missing Children Deemed as Kidnapped,67.0
2020,Dhule,Missing Children Deemed as Kidnapped,9.0
2020,Gadchiroli,Missing Children Deemed as Kidnapped,30.0
2020,Gondia,Missing Children Deemed as Kidnapped,
2020,Hingoli,Missing Children Deemed as Kidnapped,
2020,Jalgaon,Missing Children Deemed as Kidnapped,
2020,Jalna,Missing Children Deemed as Kidnapped,
2020,Kolhapur,Missing Children Deemed as Kidnapped,60.0
2020,Latur,Missing Children Deemed as Kidnapped,
2020,Mumbai,Missing Children Deemed as Kidnapped,625.0
2020,Nagpur,Missing Children Deemed as Kidnapped,36.0
2020,Nanded,Missing Children Deemed as Kidnapped,91.0
2020,Nandurbar,Missing Children Deemed as Kidnapped,29.0
2020,Nashik,Missing Children Deemed as Kidnapped,208.0
2020,Dharashiv,Missing Children Deemed as Kidnapped,39.0
2020,Palghar,Missing Children Deemed as Kidnapped,47.0
2020,Parbhani,Missing Children Deemed as Kidnapped,49.0
2020,Pune,Missing Children Deemed as Kidnapped,475.0
2020,Raigad,Missing Children Deemed as Kidnapped,70.0
2020,Ratnagiri,Missing Children Deemed as Kidnapped,33.0
2020,Sangli,Missing Children Deemed as Kidnapped,
2020,Satara,Missing Children Deemed as Kidnapped,88.0
2020,Sindhudurg,Missing Children Deemed as Kidnapped,7.0
2020,Solapur,Missing Children Deemed as Kidnapped,152.0
2020,Thane,Missing Children Deemed as Kidnapped,1016.0
2020,Wardha,Missing Children Deemed as Kidnapped,
2020,Washim,Missing Children Deemed as Kidnapped,28.0
2020,Yavatmal,Missing Children Deemed as Kidnapped,55.0
2021,Ahilyanagar,Missing Children Deemed as Kidnapped,123.0
2021,Akola,Missing Children Deemed as Kidnapped,43.0
2021,Amravati,Missing Children Deemed as Kidnapped,144.0
2021,Chh. Sambhaji Nagar,Missing Children Deemed as Kidnapped,246.0
2021,Beed,Missing Children Deemed as Kidnapped,83.0
2021,Bhandara,Missing Children Deemed as Kidnapped,70.0
2021,Buldhana,Missing Children Deemed as Kidnapped,38.0
2021,Chandrapur,Missing Children Deemed as Kidnapped,139.0
2021,Dhule,Missing Children Deemed as Kidnapped,122.0
