Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2011,Hingoli,Born in other districts of the state,158095,30320,127775,118668,17039,101629,39427,13281,26146
2011,Parbhani,Born in the place of enumeration,1175499,766053,409446,860723,584415,276308,314776,181638,133138
2011,Parbhani,Born elsewhere in the district of enumeration,426670,119406,307264,280226,50033,230193,146444,69373,77071
2011,Parbhani,Born in other districts of the state,223978,53372,170606,123195,16647,106548,100783,36725,64058
2011,Jalna,Born in the place of enumeration,1277401,837670,439731,1058487,713113,345374,218914,124557,94357
2011,Jalna,Born elsewhere in the district of enumeration,402454,101489,300965,332906,66832,266074,69548,34657,34891
2011,Jalna,Born in other districts of the state,266364,66203,200161,187161,35863,151298,79203,30340,48863
2011,Chhatrapati Sambhaji Nagar,Born in the place of enumeration,1943043,1234537,708506,1232616,843279,389337,710427,391258,319169
2011,Chhatrapati Sambhaji Nagar,Born elsewhere in the district of enumeration,980594,356934,623660,610788,169261,441527,369806,187673,182133
2011,Chhatrapati Sambhaji Nagar,Born in other districts of the state,708570,297518,411052,229171,64987,164184,479399,232531,246868
2011,Nashik,Born in the place of enumeration,2736508,1678998,1057510,1539815,1012959,526856,1196693,666039,530654
2011,Nashik,Born elsewhere in the district of enumeration,2266147,966953,1299194,1649789,664320,985469,616358,302633,313725
2011,Nashik,Born in other districts of the state,881462,392380,489082,283687,110927,172760,597775,281453,316322
2011,Thane,Born in the place of enumeration,3784912,2135582,1649330,1507816,904151,603665,2277096,1231431,1045665
2011,Thane,Born elsewhere in the district of enumeration,1642724,678780,963944,704076,216204,487872,938648,462576,476072
2011,Thane,Born in other districts of the state,3060675,1548631,1512044,181835,88238,93597,2878840,1460393,1418447
2011,Mumbai Suburban,Born in the place of enumeration,5129349,2687524,2441825,0,0,0,5129349,2687524,2441825
2011,Mumbai Suburban,Born elsewhere in the district of enumeration,0,0,0,0,0,0,0,0,0
2011,Mumbai Suburban,Born in other districts of the state,1490332,752089,738243,0,0,0,1490332,752089,738243
2011,Mumbai,Born in the place of enumeration,1867846,989495,878351,0,0,0,1867846,989495,878351
2011,Mumbai,Born elsewhere in the district of enumeration,0,0,0,0,0,0,0,0,0
2011,Mumbai,Born in other districts of the state,419674,209140,210534,0,0,0,419674,209140,210534
2011,Raigad,Born in the place of enumeration,1187081,713540,473541,916017,560395,355622,271064,153145,117919
2011,Raigad,Born elsewhere in the district of enumeration,755255,277055,478200,555153,181717,373436,200102,95338,104764
2011,Raigad,Born in other districts of the state,447636,212582,235054,132799,56897,75902,314837,155685,159152
2011,Pune,Born in the place of enumeration,3413377,2006474,1406903,1399578,923236,476342,2013799,1083238,930561
2011,Pune,Born elsewhere in the district of enumeration,2509800,1119021,1390779,1474287,600577,873710,1035513,518444,517069
2011,Pune,Born in other districts of the state,2521927,1242519,1279408,683653,308216,375437,1838274,934303,903971
2011,Ahilyanagar,Born in the place of enumeration,2060965,1338860,722105,1652570,1095080,557490,408395,243780,164615
2011,Ahilyanagar,Born elsewhere in the district of enumeration,1790135,736102,1054033,1502698,599966,902732,287437,136136,151301
2011,Ahilyanagar,Born in other districts of the state,634662,239798,394864,451586,166162,285424,183076,73636,109440
2011,Beed,Born in the place of enumeration,1706280,1139117,567163,1403313,960441,442872,302967,178676,124291
2011,Beed,Born elsewhere in the district of enumeration,602254,146096,456158,478801,88749,390052,123453,57347,66106
2011,Beed,Born in other districts of the state,267133,59820,207313,185306,32380,152926,81827,27440,54387
2011,Latur,Born in the place of enumeration,1546358,1014851,531507,1242391,840059,402332,303967,174792,129175
2011,Latur,Born elsewhere in the district of enumeration,629401,180010,449391,427146,80831,346315,202255,99179,103076
