Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
2001,Gadchiroli,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Chandrapur,Born in India,2067379,1060955,1006424,1405674,716237,689437,661705,344718,316987
2001,Chandrapur,Born Abroad,3722,2038,1684,360,224,136,3362,1814,1548
2001,Chandrapur,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Yavatmal,Born in India,2457617,1265321,1192296,2000950,1029456,971494,456667,235865,220802
2001,Yavatmal,Born Abroad,654,360,294,110,84,26,544,276,268
2001,Yavatmal,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Nanded,Born in India,2875984,1481187,1394797,2187146,1123436,1063710,688838,357751,331087
2001,Nanded,Born Abroad,275,171,104,49,32,17,226,139,87
2001,Nanded,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Hingoli,Born in India,987117,505344,481773,833113,425828,407285,154004,79516,74488
2001,Hingoli,Born Abroad,43,29,14,17,12,5,26,17,9
2001,Hingoli,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Parbhani,Born in India,1527600,780126,747474,1042514,529722,512792,485086,250404,234682
2001,Parbhani,Born Abroad,115,65,50,15,7,8,100,58,42
2001,Parbhani,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Jalna,Born in India,1612816,826798,786018,1305061,667404,637657,307755,159394,148361
2001,Jalna,Born Abroad,164,105,59,54,37,17,110,68,42
2001,Jalna,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Chhatrapati Sambhaji Nagar,Born in India,2895823,1504666,1391157,1809645,934680,874965,1086178,569986,516192
2001,Chhatrapati Sambhaji Nagar,Born Abroad,1190,697,493,218,133,85,972,564,408
2001,Chhatrapati Sambhaji Nagar,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Nashik,Born in India,4989152,2588142,2401010,3055811,1570909,1484902,1933341,1017233,916108
2001,Nashik,Born Abroad,4644,2770,1874,429,312,117,4215,2458,1757
2001,Nashik,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Thane,Born in India,8085398,4351747,3733651,2227329,1146650,1080679,5858069,3205097,2652972
2001,Thane,Born Abroad,46451,26000,20451,2047,1473,574,44404,24527,19877
2001,Thane,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Mumbai Suburban,Born in India,8584503,4710309,3874194,0,0,0,8584503,4710309,3874194
2001,Mumbai Suburban,Born Abroad,55911,31409,24502,0,0,0,55911,31409,24502
2001,Mumbai Suburban,Unclassifiable,5,2,3,0,0,0,5,2,3
2001,Mumbai City,Born in India,3319732,1868455,1451277,0,0,0,3319732,1868455,1451277
2001,Mumbai City,Born Abroad,18299,9791,8508,0,0,0,18299,9791,8508
2001,Mumbai City,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Raigad,Born in India,2204834,1115496,1089338,1671628,832916,838712,533206,282580,250626
2001,Raigad,Born Abroad,3095,2132,963,1466,1049,417,1629,1083,546
2001,Raigad,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Pune,Born in India,7213710,3758401,3455309,3030444,1556542,1473902,4183266,2201859,1981407
2001,Pune,Born Abroad,18845,10727,8118,1274,921,353,17571,9806,7765
2001,Pune,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Ahilyanagar,Born in India,4038847,2082035,1956812,3236513,1661528,1574985,802334,420507,381827
2001,Ahilyanagar,Born Abroad,1795,1018,777,432,283,149,1363,735,628
2001,Ahilyanagar,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Beed,Born in India,2161086,1116256,1044830,1774103,915030,859073,386983,201226,185757
2001,Beed,Born Abroad,164,100,64,77,41,36,87,59,28
2001,Beed,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Latur,Born in India,2080182,1075184,1004998,1590004,819399,770605,490178,255785,234393
2001,Latur,Born Abroad,103,73,30,20,14,6,83,59,24
2001,Latur,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Dharashiv,Born in India,1486526,769335,717191,1253300,648258,605042,233226,121077,112149
2001,Dharashiv,Born Abroad,60,33,27,30,18,12,30,15,15
2001,Dharashiv,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Solapur,Born in India,3849194,1989452,1859742,2624181,1363347,1260834,1225013,626105,598908
2001,Solapur,Born Abroad,349,171,178,78,43,35,271,128,143
2001,Solapur,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Satara,Born in India,2808275,1407861,1400414,2410513,1201582,1208931,397762,206279,191483
2001,Satara,Born Abroad,719,465,254,360,235,125,359,230,129
2001,Satara,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Ratnagiri,Born in India,1695354,793389,901965,1503408,694663,808745,191946,98726,93220
2001,Ratnagiri,Born Abroad,1423,1109,314,1160,972,188,263,137,126
2001,Ratnagiri,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Sindhudurg,Born in India,868474,417679,450795,786244,376114,410130,82230,41565,40665
2001,Sindhudurg,Born Abroad,351,211,140,262,158,104,89,53,36
2001,Sindhudurg,Unclassifiable,0,0,0,0,0,0,0,0,0
2001,Kolhapur,Born in India,3520723,1806333,1714390,2471873,1259833,1212040,1048850,546500,502350
2001,Kolhapur,Born Abroad,2439,1137,1302,936,406,530,1503,731,772
2001,Kolhapur,Unclassifiable,0,0,0,0,0,0,0,0,0
