Year,District,Rural/Urban,Working Population,Male,Female,Main Worker Population,Male Main Workers,Female Main Workers,Marginal Worker Population,Male Marginal Workers,Female Marginal Workers,Unnamed: 12,Unnamed: 13,Unnamed: 14
2011,Nagpur,Urban,1120561,878188,242373,1022448,819058,203390,98113,59130,38983,,,
2011,Bhandara,Rural,516087,286323,229764,348458,213109,135349,167629,73214,94415,,,
2011,Bhandara,Urban,81218,58731,22487,65380,50108,15272,15838,8623,7215,,,
2011,Gondia,Rural,584269,323587,260682,367716,230853,136863,216553,92734,123819,,,
2011,Gondia,Urban,81150,59564,21586,66246,50857,15389,14904,8707,6197,,,
2011,Gadchiroli,Rural,540110,291600,248510,358447,213828,144619,181663,77772,103891,,,
2011,Gadchiroli,Urban,44127,31738,12389,34439,26133,8306,9688,5605,4083,,,
2011,Chandrapur,Rural,797449,443040,354409,581210,353863,227347,216239,89177,127062,,,
2011,Chandrapur,Urban,260723,205525,55198,223223,182889,40334,37500,22636,14864,,,
2011,Yavatmal,Rural,1153322,656157,497165,1011555,596850,414705,141767,59307,82460,,,
2011,Yavatmal,Urban,202677,159318,43359,183545,146852,36693,19132,12466,6666,,,
2011,Nanded,Rural,1200724,695134,505590,1062139,644223,417916,138585,50911,87674,,,
2011,Nanded,Urban,293229,230098,63131,255652,206270,49382,37577,23828,13749,,,
2011,Hingoli,Rural,512590,285540,227050,463701,266999,196702,48889,18541,30348,,,
2011,Hingoli,Urban,56592,45363,11229,50670,41333,9337,5922,4030,1892,,,
2011,Parbhani,Rural,644137,361671,282466,598296,345944,252352,45841,15727,30114,,,
2011,Parbhani,Urban,178660,139751,38909,158121,127302,30819,20539,12449,8090,,,
2011,Jalna,Rural,805304,447556,357748,735619,421019,314600,69685,26537,43148,,,
2011,Jalna,Urban,125582,97474,28108,108873,87279,21594,16709,10195,6514,,,
2011,Chhatrapati Sambhaji Nagar,Rural,1044684,593644,451040,962801,563255,399546,81883,30389,51494,,,
2011,Chhatrapati Sambhaji Nagar,Urban,530395,422220,108175,483835,395260,88575,46560,26960,19600,,,
2011,Nashik,Rural,1861358,1025015,836343,1688085,960199,727886,173273,64816,108457,,,
2011,Nashik,Urban,901970,721271,180699,834938,679682,155256,67032,41589,25443,,,
2011,Thane,Rural,1169729,729418,440311,885453,595115,290338,284276,134303,149973,,,
2011,Thane,Urban,3323038,2633705,689333,3045058,2464388,580670,277980,169317,108663,,,
2011,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,,,
2011,Mumbai Suburban,Urban,3735021,2944322,790699,3515922,2811481,704441,219099,132841,86258,,,
2011,Mumbai City,Rural,0,0,0,0,0,0,0,0,0,,,
2011,Mumbai City,Urban,1284396,1021009,263387,1209334,975508,233826,75062,45501,29561,,,
2011,Raigad,Rural,714556,470497,244059,539278,381638,157640,175278,88859,86419,,,
2011,Raigad,Urban,358413,283346,75067,319547,260017,59530,38866,23329,15537,,,
2011,Pune,Rural,1828587,1109717,718870,1676770,1046069,630701,151817,63648,88169,,,
2011,Pune,Urban,2220406,1700099,520307,2074451,1612763,461688,145955,87336,58619,,,
2011,Ahilyanagar,Rural,1875818,1052563,823255,1740077,996307,743770,135741,56256,79485,,,
2011,Ahilyanagar,Urban,328772,247746,81026,299378,231007,68371,29394,16739,12655,,,
2011,Beed,Rural,1086389,597389,489000,1004728,566122,438606,81661,31267,50394,,,
2011,Beed,Urban,169159,130430,38729,149980,118411,31569,19179,12019,7160,,,
2011,Latur,Rural,857367,517448,339919,794557,494140,300417,62810,23308,39502,,,
2011,Latur,Urban,189490,152570,36920,169620,139181,30439,19870,13389,6481,,,
2011,Dharashiv,Rural,683388,404465,278923,623146,379763,243383,60242,24702,35540,,,
2011,Dharashiv,Urban,90528,69330,21198,78748,61894,16854,11780,7436,4344,,,
2011,Solapur,Rural,1395123,841443,553680,1297320,805368,491952,97803,36075,61728,,,
2011,Solapur,Urban,503272,365490,137782,465855,343569,122286,37417,21921,15496,,,
2011,Satara,Rural,1154701,695373,459328,1001339,640565,360774,153362,54808,98554,,,
2011,Satara,Urban,200246,149432,50814,183068,140243,42825,17178,9189,7989,,,
2011,Ratnagiri,Rural,628226,340433,287793,477284,282446,194838,150942,57987,92955,,,
2011,Ratnagiri,Urban,85850,66575,19275,77689,61643,16046,8161,4932,3229,,,
2011,Sindhudurg,Rural,308963,200343,108620,194546,139697,54849,114417,60646,53771,,,
2011,Sindhudurg,Urban,38215,29333,8882,31992,25043,6949,6223,4290,1933,,,
2011,Kolhapur,Rural,1267257,779259,487998,1101978,721522,380456,165279,57737,107542,,,
2011,Kolhapur,Urban,436797,345945,90852,406585,328550,78035,30212,17395,12817,,,
2011,Sangli,Rural,963991,609192,354799,845830,570873,274957,118161,38319,79842,,,
2011,Sangli,Urban,251113,191022,60091,229118,178378,50740,21995,12644,9351,,,
