Year,District,Rural/Urban,Age Group,Population,Male,Female
1991,Gondia,Urban,0-4,,,
1991,Gondia,Urban,5-9,,,
1991,Gondia,Urban,10-14,,,
1991,Gondia,Urban,15-19,,,
1991,Gondia,Urban,20-24,,,
1991,Gondia,Urban,25-29,,,
1991,Gondia,Urban,30-34,,,
1991,Gondia,Urban,35-39,,,
1991,Gondia,Urban,40-44,,,
1991,Gondia,Urban,45-49,,,
1991,Gondia,Urban,50-54,,,
1991,Gondia,Urban,55-59,,,
1991,Gondia,Urban,60-64,,,
1991,Gondia,Urban,65-69,,,
1991,Gondia,Urban,70-74,,,
1991,Gondia,Urban,75-79,,,
1991,Gondia,Urban,80+,,,
1991,Hingoli,Rural,0-4,,,
1991,Hingoli,Rural,5-9,,,
1991,Hingoli,Rural,10-14,,,
1991,Hingoli,Rural,15-19,,,
1991,Hingoli,Rural,20-24,,,
1991,Hingoli,Rural,25-29,,,
1991,Hingoli,Rural,30-34,,,
1991,Hingoli,Rural,35-39,,,
1991,Hingoli,Rural,40-44,,,
1991,Hingoli,Rural,45-49,,,
1991,Hingoli,Rural,50-54,,,
1991,Hingoli,Rural,55-59,,,
1991,Hingoli,Rural,60-64,,,
1991,Hingoli,Rural,65-69,,,
1991,Hingoli,Rural,70-74,,,
1991,Hingoli,Rural,75-79,,,
1991,Hingoli,Rural,80+,,,
1991,Hingoli,Urban,0-4,,,
1991,Hingoli,Urban,5-9,,,
1991,Hingoli,Urban,10-14,,,
1991,Hingoli,Urban,15-19,,,
1991,Hingoli,Urban,20-24,,,
1991,Hingoli,Urban,25-29,,,
1991,Hingoli,Urban,30-34,,,
1991,Hingoli,Urban,35-39,,,
1991,Hingoli,Urban,40-44,,,
1991,Hingoli,Urban,45-49,,,
1991,Hingoli,Urban,50-54,,,
1991,Hingoli,Urban,55-59,,,
1991,Hingoli,Urban,60-64,,,
1991,Hingoli,Urban,65-69,,,
1991,Hingoli,Urban,70-74,,,
1991,Hingoli,Urban,75-79,,,
1991,Hingoli,Urban,80+,,,
1991,Jalgaon,Rural,0-4,278920.0,144580.0,134340.0
1991,Jalgaon,Rural,5-9,286300.0,151330.0,134970.0
1991,Jalgaon,Rural,10-14,312396.0,164431.0,147965.0
1991,Jalgaon,Rural,15-19,200870.0,115530.0,85340.0
1991,Jalgaon,Rural,20-24,190028.0,97092.0,92936.0
1991,Jalgaon,Rural,25-29,176428.0,84120.0,92308.0
1991,Jalgaon,Rural,30-34,155109.0,76468.0,78641.0
1991,Jalgaon,Rural,35-39,140520.0,72060.0,68460.0
